api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
218.70683999999997,815.9893199999999,696.8887199999999,717.9382799999997,262.56528,593.85888,264.8066400000001,1566.3373199999996,774.9324000000001,4573.494807129,67619.59668
212.3478,830.4479999999998,704.4386399999997,724.0503599999998,257.99076,594.92916,264.91644,1568.4426,789.6024,4492.41228,66927.19284
211.72643999999997,826.86096,703.7535599999999,722.7144000000001,256.97195999999997,594.9583200000001,264.61727999999994,1559.55492,795.2623200000002,4484.67588,66983.82732
211.8078,828.8143200000001,703.7632800000003,722.8807200000001,257.44067999999993,595.7146799999998,266.73012,1563.7478400000007,797.58504,4479.1002,67326.93324000001
210.56256,829.1620800000001,699.6981600000004,726.8306399999997,258.33167999999995,592.2194399999998,267.67908000000006,1558.8450000000007,797.9561999999999,4474.92528,67233.5028
212.55516000000003,831.8624400000001,699.1095600000002,721.9655999999998,259.03404,592.56936,269.6256000000001,1559.1096,803.8137599999999,4471.62768,67243.6602
208.1574,833.4561599999997,696.16404,722.4433199999999,259.11863999999997,589.41828,269.20511999999997,1552.3020000000001,804.3397199999999,4472.063999999999,67494.93624
206.79948,831.9437999999997,693.7588799999997,718.1373599999997,258.57503999999994,590.64228,271.3834800000001,1552.7541600000002,809.2303200000002,4472.3034,67552.33032
207.48312000000004,833.3722799999998,693.9543599999996,715.9046400000001,258.98004000000003,587.2575600000002,271.38168,1556.6634000000004,806.48568,4478.84424,67345.77096
210.11724000000004,826.5005999999997,688.4935199999998,709.73064,259.58880000000005,588.9582,272.8281599999999,1553.904000000001,798.5235599999999,4475.5484400000005,67792.65361790603
