timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-07-01 16:12:04.217000008,0.0,0.0,0.0,19.587424227775088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.01822626023105,38838.13230422473,0.00033804233378795473,0.0002538737071667059,0.000321699712933226,0.0003207875516498422,0.000323581000505444,0.0003397289283998441,0.0002765471634780645,0.0002538261992528417,0.019820969319810915,0.00034721775421381025,0.00207613148191047,5959.298638016805,9099.10760264705,2508.1422037342904,2890.7527025362797,2977.354130296832,4809.6474168248515,2700.541023950881,3617.54635780107,91301.57254928343,5117.288276337637,41474.54067732939,6245.703841812633,1738.5270177285804,2719.826839855087,3035.5201272260933,3869.354962855397,5121.624546564842,3358.1000175315703,3614.3192870090975,59030.93100596552,5254.386965361014,17822.03883559636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42123.36646791754,0.0,0.0,0.0,0.0,0.0,1.908801233333333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4524801491666666e-05,0.0035078777133749997,0.0,0.0,0.0,1.231831345880078e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.566047956258786e-05,0.002442486987132355
2026-07-01 16:12:19.217000008,0.0,0.0,0.0,20.80374926320562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.6518278848333,41908.5278558093,0.00036885725582298676,0.00027310835686676546,0.0003498752318867546,0.0003481507587510364,0.0003535292072490267,0.000369798979827911,0.0002977515665625491,0.00027241260120958817,0.021107506981515506,0.0003761809153200319,0.00225193090946733,6421.352899962376,9758.073258429042,2712.2489715408196,3124.972836647321,3201.309078630859,5175.515072323019,2892.5094211902333,3858.757388875347,97214.04767713624,5490.093662272146,37980.42890928784,6729.964533255298,1864.4327269872497,2941.1600100596097,3281.469886495319,4160.4057256700635,5511.224158095322,3596.811102613276,3855.3151432117647,62865.596365122175,5637.18028375358,24386.141527706666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44861.912737238,0.0,0.0,0.0,0.0,0.0,2.139301233333333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7398176491666667e-05,0.003849073338374999,0.0,0.0,0.0,1.3083246758860425e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6895214953646184e-05,0.002635580751820896
2026-07-01 16:12:34.217000008,0.0,0.0,0.0,22.796394655073545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.92790907223923,45026.76056126021,0.0003797532350751097,0.0002923430065668251,0.00037805075084028334,0.0003755139658522306,0.0003834774139926094,0.00039986903125597797,0.0003054204876703824,0.00029099900316633466,0.022394044643220097,0.0004051440764262534,0.0024185878435221838,13659.713142309181,10417.038914211036,2916.355739347349,3359.192970758363,3425.264026964886,5541.382727821187,1646.3175647385895,4099.968419949624,103126.52280498907,5862.899048206656,37332.300590247825,4093.0067955808863,1990.3384362459192,3162.4931802641327,3527.419645764545,4451.4564884847305,5900.823769625804,2005.6774697292774,4096.310999414432,66700.26172427883,6019.973602146149,25918.619382735353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47600.459006558456,0.0,0.0,0.0,0.0,0.0,2.369801233333333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0271551491666667e-05,0.004190268963374999,0.0,0.0,0.0,1.4336399305301805e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.848479961498749e-05,0.0028316829419636974
2026-07-01 16:12:49.217000008,0.0,0.0,0.0,25.208321699848305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0890093849496,48254.85385967899,0.00040886683696970337,0.0003115776562668847,0.00040622626979381206,0.0004028771729534248,0.00041342562073619214,0.00043446357964656805,0.00032559674411455095,0.0003095854051230811,0.016275004719758613,0.0004318588955371951,0.002547642294562566,14603.24486230894,11076.004569993027,3120.4625071538785,3593.4131048694044,3649.218975298913,4161.934394270979,1747.6147657426654,4341.179451023902,141912.59767497034,3613.9843943778637,37886.44254927666,4375.7273550517475,2116.244145504588,3383.8263504686556,3773.3694050337704,4742.507251299397,4342.218926933536,2129.085928796999,4337.306855617101,91607.21100830367,3704.22395599144,25669.360835901152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32735.019565045477,0.0,0.0,0.0,0.0,0.0,2.600301233333333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.314492649166667e-05,0.004531464588374999,0.0,0.0,0.0,1.5853233424571266e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.050737547909794e-05,0.0030346941427309227
2026-07-01 16:13:04.217000008,0.0,0.0,0.0,27.23467068217304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.91570731626007,51380.20196531565,0.0004379804388642971,0.0002659537083333333,0.0004344017887473408,0.000434927850610114,0.0004525743472197329,0.0004648783423963294,0.0003457730005587194,0.00031280775969749525,0.017158554303184623,0.00046064980509875555,0.0027543440791929345,15546.776582308697,9512.960000000001,3324.5692749604073,2620.7730471673704,2311.145905300115,4417.487547500144,1848.911966746741,2581.2546569934448,149613.9499881376,3837.1876525405282,38149.49319220431,4658.44791452261,1817.6000000000001,3605.159520673178,2755.6958405472815,2971.151509835138,4608.842000165232,2252.49438786472,2508.1191083786302,96588.56332147094,3933.000498919433,31004.68754109202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34515.612684855674,0.0,0.0,0.0,0.0,0.0,2.76461957037037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59662772462963e-05,0.004905606192927778,0.0,0.0,0.0,1.7127581784566599e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213158781566702e-05,0.003231243812485406
2026-07-01 16:13:19.217000008,0.0,0.0,0.0,29.757349533012956,0.0,0.0,4.308045082701628,0.0,0.0,0.0,0.0,370.4036399498279,54464.411187269754,0.0004670940407588907,0.00034919973828170727,0.00047738460161245123,0.0004626246760108226,0.0004832025695145867,0.0004952931051460908,0.000365949257002888,0.00033037204962082346,0.018042103886610626,0.0004894407146603161,0.0030057597598021875,16490.30830230846,7710.375705325927,2449.9186551527328,2781.3460749380806,2449.608903602644,4673.040700729311,1950.2091677508165,2718.9143525468385,157315.30230130482,4060.3909107031923,38751.374715627135,4941.168473993472,1518.9914180233116,2656.809779041049,2924.5354984528335,3149.1560856256215,4875.465073396929,2375.9028469324408,2641.878445891345,101569.9156346382,4161.777041847426,31243.793381463496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36296.20580466588,0.0,0.0,0.0,0.0,0.0,2.9897306814814812e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8835416135185186e-05,0.00524910877626111,0.0,0.0,0.0,1.871406648409481e-06,0.0,0.0,2.709281685343468e-07,0.0,0.0,0.0,0.0,2.329427335684473e-05,0.0034252063035549642
2026-07-01 16:13:34.217000008,0.0,0.0,0.0,31.818069755147334,0.0,0.0,4.4843251972211915,0.0,0.0,0.0,0.0,395.71974326326875,57587.401135552594,0.0004962076426534844,0.0003683827351041759,0.000506558163248016,0.0004903215014115309,0.0005138307918094407,0.000525707867895852,0.00038612551344705654,0.0003479363395441517,0.018925653470036635,0.0005182316242218765,0.0031350244321848094,17433.840022308217,8115.583302629891,2592.1184192182377,2941.919102708792,2588.0719019051735,4928.593853958477,2051.5063687548923,2856.574048100234,165016.6546144721,4283.594168865856,41150.99048693682,5223.889033464334,1598.8198059444612,2811.0180516104133,3093.3751563583864,3327.1606614161046,5142.088146628627,2499.3113060001624,2775.6377834040604,106551.26794780546,4390.553584775418,29588.170699383805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38076.798924476076,0.0,0.0,0.0,0.0,0.0,3.214841792592592e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1704555024074076e-05,0.0055926113595944444,0.0,0.0,0.0,2.0010030534903765e-06,0.0,0.0,2.820142290696882e-07,0.0,0.0,0.0,0.0,2.4886374965223342e-05,0.0036216076714136406
2026-07-01 16:13:49.217000008,0.0,0.0,0.0,34.138908213486474,0.0,0.0,4.660605311740755,0.0,0.0,0.0,0.0,428.25635887927734,60716.99627129521,0.0005062785587264097,0.0003875657319266446,0.0005357317248835808,0.0005180183268122395,0.0005444590141042944,0.0005561226306456135,0.00040630176989122507,0.0003655006294674799,0.019809203053462645,0.000547022533783437,0.003319254251452561,12342.513401524897,8520.790899933854,2734.3181832837413,3102.492130479502,2726.534900207703,5184.147007187644,2152.803569758968,2994.2337436536286,172718.00692763936,4506.79742702852,41635.92442631126,3714.543048961435,1678.6481938656111,2965.2263241797764,3262.214814263938,3505.1652372065887,5408.711219860326,2622.719765067883,2909.3971209167757,111532.6202609727,4619.33012770341,29385.545124210323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39857.39204428628,0.0,0.0,0.0,0.0,0.0,3.439952903703703e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.457369391296296e-05,0.005936113942927777,0.0,0.0,0.0,2.1469580054259267e-06,0.0,0.0,2.931002896050297e-07,0.0,0.0,0.0,0.0,2.6932566569518994e-05,0.003818424432172565
2026-07-01 16:14:04.217000008,0.0,0.0,0.0,36.21545045611959,0.0,0.0,4.836885426260319,0.0,0.0,0.0,0.0,454.0106960785489,63840.32532613769,0.0005342524214658515,0.00040674872874911326,0.0005649052865191456,0.000545715152212948,0.0005547219273561156,0.0005865373933953748,0.00035126396875,0.00038306491939080813,0.020692752636888655,0.0005550187925187496,0.0035626492437043867,12976.074707821997,8925.998497237819,2876.517947349246,3263.065158250213,2120.2610511063417,5439.70016041681,1876.48,3131.893439207023,180419.35924080666,3431.5546586750725,45542.13362243508,3905.2165908760066,1758.476581786761,3119.4345967491404,3431.0544721694905,2717.603828004571,5675.334293092023,2286.08,3043.1564584294906,116513.97257413997,3518.8504161943656,34991.49296066922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41637.98516409648,0.0,0.0,0.0,0.0,0.0,3.7558539458333335e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7312018418055564e-05,0.0062919155395680555,0.0,0.0,0.0,2.277549439795965e-06,0.0,0.0,3.0418635014037117e-07,0.0,0.0,0.0,0.0,2.8552228220050965e-05,0.004014847126065992
2026-07-01 16:14:19.217000008,0.0,0.0,0.0,38.4391380012891,0.0,0.0,5.013165540779883,0.0,0.0,0.0,0.0,482.21462302589816,66830.1455831972,0.0005622262842052933,0.00041750943419412753,0.0005940788481547106,0.0005813911304059473,0.0005841884004243334,0.0005889016251375756,0.00042675398653715534,0.00038964274573137514,0.02157630222031466,0.0005826578140401546,0.0037289495380058756,13609.6360141191,7250.335730578968,3018.7177114147503,2498.3128724761696,2224.3370753897048,3836.0953856441097,1649.695663662004,10084.547741188895,188120.71155397387,3595.62664513491,46139.015239117885,4095.8901327905787,1450.0671461157935,3273.642869318504,2617.9232184943335,2851.001270667766,11604.842307174025,1974.2598481168093,2361.112674733448,121495.32488730724,3687.0962508863736,35140.91481737967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43418.57828390668,0.0,0.0,0.0,0.0,0.0,3.986541445833333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.017312258472223e-05,0.006636090893734722,0.0,0.0,0.0,2.417394678747737e-06,0.0,0.0,3.152724106757126e-07,0.0,0.0,0.0,0.0,3.0325941848073147e-05,0.004202873600009956
