timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission
2026-06-17 10:09:16.311000109,138.97377770581122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.6116471563147,0.0025648858958948013,0.0045338772804967365,0.0021367249999999947,0.004007368878437787,0.0025019267457180483,0.0026715298694467747,0.02169994941240562,0.003965228833942979,0.03664913134911732,62141.98812515936,374608.1836257718,227908.26666666666,130106.94203046722,75508.86956521739,1361.7629399534553,1130791.1899758736,176407.97670684336,955766.5007062503,57162.423050304154,128879.61767886419,0.0,118459.87117881606,71321.1277997365,1361.7629399534553,782550.9637585286,125783.47225276007,831947.4466905356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.025917118589744e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001657185013599379,2.539290870932465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29681753318809e-05
2026-06-17 10:09:31.311000109,132.52537182643815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.8165703862804,0.002437860288419737,0.003710501552414361,0.004114308746724097,0.004007368878437787,0.0025738639704836223,0.0026715298694467747,0.02169994941240562,0.00396522883394298,0.037027873125001054,128249.56028400964,306577.38639504195,170629.4827661336,130106.94203046722,133952.44373203834,1361.7629399534553,1130791.1899758736,176407.9767068434,889245.062953759,118330.26517227692,105474.40786037373,305.97038152922937,118459.87117881606,126415.6763062798,1361.7629399534553,782550.9637585286,125783.47225276008,781723.9032289587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.118753657051282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016789350187753623,2.5719988268092967e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.388914934858135e-05
2026-06-17 10:09:46.311000109,132.52537182643815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.8165703862804,0.002437860288419737,0.0034271342223833145,0.004114308746724097,0.004007368878437787,0.0025738639704836223,0.0026228701127763384,0.02169994941240562,0.0038886253420215024,0.03619169897265694,128549.16932846964,283164.3749184312,170629.4827661336,130106.94203046722,133952.44373203834,1194.65135062371,1130791.1899758736,225255.63234782458,968023.643176992,118330.26517227692,97419.43175544472,305.97038152922937,118459.87117881606,126415.6763062798,1164.0192647102815,782550.9637585286,81125.8080727813,786278.3908242004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2115901955128205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017006850239513458,2.6181751535938996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.495941344487949e-05
2026-06-17 10:10:01.311000109,135.45369254727902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.3487143830039,0.002437860288419737,0.004353982021564028,0.004114308746724097,0.004007368878437787,0.0024971414992577393,0.0026228701127763384,0.02169994941240562,0.003731679750340039,0.03721242345250829,128549.16932846964,169619.47327222684,170629.4827661336,130106.94203046722,76816.67788066174,1194.65135062371,1130791.1899758736,181925.6681649026,1005134.9713491261,118330.26517227692,206.8530161856425,305.97038152922937,118459.87117881606,72573.38758770947,1164.0192647102815,782550.9637585286,84.84019967273555,801881.5969827707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.315965227023808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001728536781625,2.6844830393824092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.655226416485471e-05
2026-06-17 10:10:16.311000109,135.45369254727902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.3487143830039,0.002437860288419737,0.004353982021564028,0.004114308746724097,0.004007368878437787,0.0024971414992577393,0.0027277047928203186,0.016957840799534003,0.003731679750340039,0.03584828230339347,128549.16932846964,169619.47327222684,170629.4827661336,130106.94203046722,76816.67788066174,762.5739927439373,63669.310470872166,181925.6681649026,1042185.9835605202,118330.26517227692,206.8530161856425,305.97038152922937,118459.87117881606,72573.38758770947,762.5739927439373,63513.14888247129,84.84019967273555,827885.4640562272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4090074889285723e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017503646288472225,2.7310082689859694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.762939106267398e-05
2026-06-17 10:10:31.311000109,145.44221509974903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.7091443348556,0.0024709926622706636,0.004353982021564028,0.004114308746724097,0.004068375774714893,0.0024971414992577393,0.0027277047928203186,0.021307221849636595,0.003731679750340039,0.03492360046862668,72660.55276513504,169619.47327222684,170629.4827661336,133992.9433219246,76816.67788066174,762.5739927439373,79999.34303272518,181925.6681649026,821291.74925323,66246.17270113286,206.8530161856425,305.97038152922937,122057.80132940416,72573.38758770947,762.5739927439373,79803.12880664633,84.84019967273555,599054.7560362522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.502049750833333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017721924760694444,2.797320926314768e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.895729267538844e-05
2026-06-17 10:10:46.311000109,145.44221509974903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.7091443348556,0.0024709926622706636,0.004353982021564028,0.0040026509637863346,0.004068375774714893,0.0024971414992577393,0.0027678090041695067,0.021307221849636595,0.003731679750340039,0.035927438764704486,72660.55276513504,169619.47327222684,151425.16871774514,133992.9433219246,76816.67788066174,691.1962200206717,79999.34303272518,181925.6681649026,785505.8614806578,66246.17270113286,206.8530161856425,271.00701336509195,122057.80132940416,72573.38758770947,691.1962200206717,79803.12880664632,84.84019967273555,566877.752493107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.595092012738094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017940203232916666,2.844177605748834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.003801568122029e-05
2026-06-17 10:11:01.311000109,140.7673735290896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.8881893813486,0.0024709926622706636,0.004353982021564028,0.0040026509637863346,0.004068375774714893,0.0018362379425552655,0.0027678090041695067,0.021307221849636595,0.003731679750340039,0.035649488078268565,72660.55276513504,169619.47327222684,151425.16871774514,133992.9433219246,2452.664758715922,691.1962200206717,79999.34303272518,181925.6681649026,791593.5384250302,66246.17270113286,206.8530161856425,271.00701336509195,122057.80132940416,2452.664758715922,691.1962200206717,79803.12880664632,84.84019967273555,570671.8118654273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.731060999333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018257894327183334,2.892617884161571e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14160474434853e-05
2026-06-17 10:11:16.311000109,140.7673735290896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.8881893813486,0.0024709926622706636,0.004114138978157094,0.0040026509637863346,0.004068375774714893,0.00239829286473672,0.0027678090041695067,0.021013148441828913,0.003730018386421284,0.036441429158688296,72660.55276513504,249.21594548401194,151425.16871774514,133992.9433219246,3203.402050517517,691.1962200206717,70435.82933679807,112233.98423534617,828638.966308875,66246.17270113286,203.90395539600976,271.00701336509195,122057.80132940416,3203.402050517517,691.1962200206717,80746.85213137933,191.76356424181546,592569.4340579765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.824817666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001847734124385,2.939500228539923e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.249980599539896e-05
2026-06-17 10:11:31.311000109,134.3022591336813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.44211208046016,0.002512184977617994,0.004114138978157094,0.0040026509637863346,0.004068375774714893,0.0018977641474226987,0.002265356526478223,0.021013148441828913,0.0037380151470443545,0.03577208482437433,3176.201050368334,249.21594548401194,151425.16871774514,133992.9433219246,2534.84536882024,565.7203462168566,70435.82933679807,150342.3648597828,711196.1507243093,1491.8520085063387,203.90395539600976,271.00701336509195,122057.80132940414,2534.84536882024,565.7203462168566,80746.85213137933,236.98355116611413,562880.9999509539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.918574332666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018696788160516665,2.9720029274394222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.360221889818257e-05
