timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-28 21:06:28.721999884,0.0,0.0,0.0,58.43628450276022,0.0,20.600848067845426,0.0,0.0,0.0,0.0,43284.95959676773,0.10631085982414608,0.05877239022661858,0.05452739184710085,0.06218717620786454,0.0,0.0034386790399493464,0.05698450950693356,0.03266059399440066,0.11262051385707281,198428.13662495773,121618.86860861185,90062.27885153459,384942.34907690564,0.0,1904.5885355863786,117152.47856712205,182121.47873064433,450568.1219317718,104235.37368955021,81365.83690331937,45630.6142654212,319412.84403669724,0.0,486.27792397950094,116911.5480199403,109281.34227453936,502016.52502981824,0.0,0.0,0.0,0.0,0.0,0.0,503062.9825154773,0.0,0.0,0.0,0.0,0.0,5.193910308333333e-06,0.0,6.051791179166666e-06,0.0,0.0,0.0,0.0,0.0135329282156375,0.0,0.0,0.0,3.650120668094218e-06,0.0,3.4706908836411516e-06,0.0,0.0,0.0,0.0,0.007459823253473603
2026-06-28 21:06:43.721999884,0.0,0.0,0.0,64.22434754780383,0.0,20.600848067845426,0.0,0.0,0.0,0.0,43284.95959676773,0.12166860762577658,0.06139696877176578,0.0,0.06784277152349108,0.0,0.0034386790399493464,0.04048893957094704,0.037649909881625164,0.1041638716473275,319150.20099890366,121618.86860861185,0.0,384942.34907690564,0.0,1904.5885355863786,1298026.237266443,126050.18721365616,314677.9443516149,215365.57436959434,81365.83690331937,0.0,319412.84403669724,0.0,486.27792397950094,919938.1496997522,82136.23572641225,463352.9233613903,0.0,0.0,0.0,0.0,0.0,0.0,254557.97721539708,0.0,0.0,0.0,0.0,0.0,5.347056141666667e-06,0.0,6.2227182625e-06,0.0,0.0,0.0,0.0,0.013909734663554166,0.0,0.0,0.0,3.7571799114917914e-06,0.0,3.56958694297083e-06,0.0,0.0,0.0,0.0,0.007672388171467814
2026-06-28 21:06:58.721999884,0.0,0.0,0.0,75.40294635570847,0.0,21.965357228578284,0.0,0.0,0.0,0.0,41429.511560924875,0.12166860762577658,0.06139696877176578,0.0028850324395974306,0.05181392500395634,0.0,0.0032423020152239678,0.040488939570947034,0.029603769333929376,0.07275016304892111,319150.20099890366,121618.86860861185,235124.5708974096,293888.51353997557,0.0,96708.89040694838,1298026.2372664427,36071.16674117122,201513.56174427335,215365.57436959434,81365.83690331937,0.0,243859.2848114169,0.0,90213.33073094564,919938.1496997521,31640.089405453735,408793.3066095612,0.0,0.0,0.0,0.0,0.0,0.0,254557.97721539706,0.0,0.0,0.0,0.0,0.0,5.5002019749999995e-06,0.0,6.393645345833334e-06,0.0,0.0,0.0,0.0,0.014286541111470832,0.0,0.0,0.0,4.709125928743133e-06,0.0,3.743080574663963e-06,0.0,0.0,0.0,0.0,0.00786074061075642
2026-06-28 21:07:13.721999884,0.0,0.0,0.0,82.87144383550685,0.0,21.965357228578284,0.0,0.0,0.0,0.0,41429.511560924875,0.0897576355923715,0.0,0.004372659934385893,0.04615832968832981,0.0028956823102009727,0.001841027022934757,0.040488939570947034,0.029603769333929376,0.05877209273888146,235444.19550358006,0.0,342133.5157405508,261809.98445023346,0.0,156712.41885251986,1298026.2372664427,36071.16674117122,63404.24567154961,158879.97011410238,0.0,0.0,217241.54780835882,76.11472957529244,147491.63060936687,919938.1496997521,31640.089405453735,304482.7866902065,0.0,0.0,0.0,0.0,0.0,0.0,254557.97721539706,0.0,0.0,0.0,0.0,0.0,8.508519596296298e-06,0.0,6.8355800407407395e-06,0.0,0.0,0.0,0.0,0.014568798873155556,0.0,0.0,0.0,4.839592869009301e-06,0.0,3.8439876570142034e-06,0.0,0.0,0.0,0.0,0.008072652800280867
2026-06-28 21:07:28.721999884,0.0,0.0,0.0,98.85561013140963,4.9567536751225045,23.333311109481368,0.0,0.0,0.0,0.0,40847.09065331458,0.05412708419173192,0.0,0.004372659934385893,0.03149812235228708,0.0028956823102009727,0.0020849104246588404,0.02359157804356339,0.029603769333929376,0.040468952771490374,140398.92479447485,0.0,356363.3381176953,327436.42769515264,0.0,177472.33020962562,2507663.181996204,36071.16674117122,26366.583111649285,95849.52354791663,0.0,0.0,271494.0080859113,76.11472957529244,167030.05136622454,1742524.5081794355,31640.089405453735,256178.11531922902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739010337037037e-06,0.0,7.013848559259258e-06,0.0,0.0,0.0,0.0,0.014943175687970368,0.0,0.0,0.0,6.17644846122454e-06,3.117247311243708e-07,4.010378885382647e-06,0.0,0.0,0.0,0.0,0.008299909840508811
2026-06-28 21:07:43.721999884,0.0,0.0,0.0,108.0680857129523,6.557307026900897,23.333311109481365,0.0,0.0,0.0,0.0,40847.090653314575,0.05412708419173192,0.0047921728105189045,0.004372659934385893,0.004412613743001439,0.0028956823102009727,0.002926600820688995,0.018150049503493026,0.029603769333929376,0.036850933226072025,140398.92479447485,263398.0934491665,356363.3381176953,284609.39888866624,0.0,242378.0193445091,1929256.7376066572,36071.16674117122,133144.32073799294,95849.52354791663,213580.5776003757,0.0,235806.87677270378,76.11472957529244,229223.76101197102,1340601.5496761363,31640.089405453735,387602.7925235831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.969501077777778e-06,0.0,7.192117077777776e-06,0.0,0.0,0.0,0.0,0.015317552502785185,0.0,0.0,0.0,6.3385838003091444e-06,4.123817530251008e-07,4.112960991877654e-06,0.0,0.0,0.0,0.0,0.008512214527794434
2026-06-28 21:07:58.721999884,0.0,0.0,0.0,111.53257905579743,4.1172685345689715,25.39986265659483,0.0,0.0,0.0,0.0,39490.53637266733,0.003277172729252914,0.0047921728105189045,0.004372659934385893,0.004412613743001439,0.0028956823102009727,0.002926600820688995,0.021278398333224795,0.0,0.033609367803827735,5822.6507239564835,263398.0934491665,356363.3381176953,284609.39888866624,0.0,249118.93628526895,2162300.7747900253,0.0,201365.54456047987,5869.607584633552,213580.5776003757,0.0,235806.87677270378,76.11472957529244,234461.04908229157,1500791.0410834039,0.0,434146.77463280415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.199991818518519e-06,0.0,7.370385596296296e-06,0.0,0.0,0.0,0.0,0.015691929317599995,0.0,0.0,0.0,7.479143528366985e-06,2.589304433962264e-07,4.282353607350514e-06,0.0,0.0,0.0,0.0,0.008692408658558245
2026-06-28 21:08:13.721999884,0.0,0.0,0.0,111.53257905579743,4.925072388159211,25.39986265659483,0.0,0.0,0.0,0.0,39490.53637266733,0.003277172729252914,0.0047921728105189045,0.004372659934385893,0.004412613743001439,0.0028956823102009727,0.0021545635241912386,0.021278398333224795,0.0,0.025722895342048326,5822.6507239564835,263398.0934491665,356363.3381176953,284609.3988886663,0.0,183401.36089321502,2162300.7747900253,0.0,264913.33888451854,5869.607584633552,213580.5776003757,0.0,235806.8767727038,76.11472957529244,172610.2243343831,1500791.0410834039,0.0,472037.8912082013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.348347234e-05,6.206032999999999e-07,7.78716468e-06,0.0,0.0,0.0,0.0,0.016036828751013334,0.0,0.0,0.0,7.665681886052025e-06,3.097323301886792e-07,4.3865615019031324e-06,0.0,0.0,0.0,0.0,0.008903931967456535
2026-06-28 21:08:28.721999884,0.0,0.0,0.0,105.94856956176784,4.957491866124408,25.569075065504798,0.0,0.0,0.0,0.0,38711.460840461645,0.003277172729252914,0.0047921728105189045,0.004414145663644285,0.004412613743001439,0.0,0.0031510084321273134,0.019517438420255922,0.004496331823152637,0.020669722176085235,5822.6507239564835,263398.0934491665,336900.7735259464,284609.3988886663,0.0,109451.38777306609,1899385.8997293704,325239.84794042597,263023.84017501376,5869.607584633552,213580.5776003757,105961.78474463397,235806.8767727038,0.0,103013.07084523868,1316766.019907344,251310.06613549966,435898.2843192908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3813022339999999e-05,7.103533000000001e-07,7.97126468e-06,0.0,0.0,0.0,0.0,0.016410518684346665,0.0,0.0,0.0,8.345156197829687e-06,3.117711551362683e-07,4.5516352788197755e-06,0.0,0.0,0.0,0.0,0.009084649333917522
2026-06-28 21:08:43.721999884,0.0,0.0,0.0,105.94856956176784,5.656038435895725,25.569075065504798,0.0,0.0,0.0,0.0,38711.460840461645,0.003277172729252914,0.0047921728105189045,0.0044555761748745855,0.0,0.002799777647881349,0.0031510084321273134,0.019517438420255922,0.004496331823152637,0.018771562870863172,5822.6507239564835,263398.0934491665,317464.11385276954,0.0,46.94609680340175,109451.38777306609,1899385.8997293704,325239.84794042597,630119.4177216043,5869.607584633552,213580.5776003757,211782.53301935087,0.0,0.0,103013.07084523868,1316766.019907344,251310.06613549966,578754.1250614193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142572340000002e-05,8.001033000000001e-07,8.15536468e-06,0.0,0.0,0.0,0.0,0.01678420861768,0.0,0.0,0.0,8.543404805668965e-06,3.5570197274633115e-07,4.657255560236255e-06,0.0,0.0,0.0,0.0,0.009295457792952757
