timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-29 20:52:42.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36507.07460497367,0.002621830221558377,0.004208320525177794,0.0,0.004541665009391227,0.002806955990220049,0.0024481031252059776,0.01612930617141143,0.0024364093634405676,0.016146391336616866,19944.675130694548,59397.88643724872,0.0,58061.73903436084,135907.4164629177,16661.5380269489,51547.672600304184,739.5728639013879,314955.94720547553,25165.36718944486,63630.430440861055,0.0,66298.08860899348,9096.658516707417,23565.277163115225,49485.765696292015,878.2427758828982,59334.33127782615,0.0,0.0,0.0,0.0,0.0,0.0,464192.27556069667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004498155417361111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031539144270444175
2026-06-29 20:52:57.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36507.07460497366,0.002481811122288699,0.0,0.0038629584363842825,0.003757135336953236,0.002806955990220049,0.0014155638483460062,0.01612930617141143,0.002724508852623741,0.00945052331341094,12289.228922892287,0.0,6858.660610318247,7347.013579512774,135907.4164629177,1042.2599350761866,51547.672600304184,827.0255586336227,104934.95622147628,15421.777471864832,0.0,6740.407841174829,7267.1547362572,9096.658516707417,1042.2599350761866,49485.765696292015,982.0928508774269,127557.24948127192,0.0,0.0,0.0,0.0,0.0,0.0,464192.27556069667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004848388125694445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003358547724772372
2026-06-29 20:53:12.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36688.00106673779,0.001628637808767104,0.0,0.0038629584363842825,0.003757135336953237,0.002806955990220049,0.0016010988257821443,0.016045474436503563,0.0034571938701980823,0.011134042008696398,883.4604483548501,0.0,6858.660610318247,7347.013579512775,135907.4164629177,1178.8667534566487,1906137.438152831,1049.432336786818,32535.7041033207,967.5995386743597,0.0,6740.407841174829,7267.154736257202,9096.658516707417,1178.8667534566487,1246589.1148982956,1246.2008999343464,222043.59002656362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005134112738148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035397028463798235
2026-06-29 20:53:27.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36688.00106673778,0.0022796572644411856,0.0034392365273700413,0.0038629584363842825,0.003757135336953237,0.0,0.0022264197292336555,0.016045474436503563,0.002555356039207995,0.014557133135950803,1236.608298110929,1623.9085494208823,6858.660610318247,7347.013579512775,0.0,1639.2818205655456,1906137.438152831,775.6791664665035,130375.49411665183,1354.3805169786363,1585.2440601489564,6740.407841174829,7267.154736257202,0.0,1639.2818205655456,1246589.1148982956,921.1190101789729,277026.46146226197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005479999515925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037429880134527663
2026-06-29 20:53:42.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36755.60637375825,0.0022796572644411856,0.0034392365273700413,0.0038629584363842825,0.003757135336953237,0.0,0.0022264197292336555,0.016045474436503563,0.002267256550024821,0.01784627361902375,1236.608298110929,1623.9085494208823,6858.660610318247,7347.013579512775,0.0,1639.2818205655456,1906137.438152831,688.2264717342686,134493.00808848947,1354.3805169786363,1585.2440601489564,6740.407841174829,7267.154736257202,0.0,1639.2818205655456,1246589.1148982956,817.2689351844439,317892.6936190402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005825886293703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003922501606352512
2026-06-29 20:53:57.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36755.60637375825,0.0024203728070175436,0.0034392365273700413,0.0038629584363842825,0.003757135336953237,0.002397555335898612,0.0022264197292336555,0.016045474436503563,0.0019791570608416473,0.013906161445614486,1424.8033877797943,1623.9085494208823,6858.660610318247,7347.013579512775,4337.910827126063,1639.2818205655456,1906137.438152831,600.7737770020337,109399.16749985772,1393.8294010889292,1585.2440601489564,6740.407841174829,7267.154736257202,4410.209340911497,1639.2818205655456,1246589.1148982956,713.4188601899151,262197.6093265733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061717730714814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004124562314952682
2026-06-29 20:54:12.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36638.04413627574,0.0024203728070175436,0.0034392365273700413,0.0,0.003757135336953237,0.002397555335898612,0.0016757209937069588,0.016045474436503563,0.0040804593459504105,0.017384936935926253,1424.8033877797943,1623.9085494208823,0.0,7347.013579512775,4337.910827126063,1233.8100158092705,1906137.438152831,1259.5989948512486,125781.45376450648,1393.8294010889292,1585.2440601489564,0.0,7267.154736257202,4410.209340911497,1233.8100158092705,1246589.1148982956,1259.5989948512486,228381.4709113494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006494953109166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004305524008852463
2026-06-29 20:54:27.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36638.04413627574,0.0024203728070175436,0.0034392365273700413,0.0,0.0,0.002397555335898612,0.0014901860162708207,0.016045474436503563,0.0040804593459504105,0.01862388171260749,1424.8033877797943,1623.9085494208823,0.0,0.0,4337.910827126063,1097.2031974288084,1906137.438152831,1259.5989948512486,125916.9620613596,1393.8294010889292,1585.2440601489564,0.0,0.0,4410.209340911497,1097.2031974288084,1246589.1148982956,1259.5989948512486,289298.48010444717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006839634859166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004506599564971017
2026-06-29 20:54:42.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36708.43242882859,0.002576524361060591,0.0,0.0,0.0,0.002397555335898612,0.00251946594928511,0.016284358374843256,0.0040804593459504105,0.015471904780876547,1633.6428320730033,0.0,0.0,0.0,4337.910827126063,1387.5753499726002,4487.727739938779,1259.5989948512486,40024.67606101729,1437.6056922242428,0.0,0.0,0.0,4410.209340911497,1305.9532705624472,4395.197271074063,1259.5989948512486,321504.6121466591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007184316609166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004689499234940895
2026-06-29 20:54:57.650000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36708.432428828586,0.0025546089113157953,0.0,0.003982756272767507,0.0038959775058501436,0.0,0.00251946594928511,0.016284358374843256,0.0040804593459504105,0.01516918618590315,1629.2125192054216,0.0,135578.11595683108,1250.2011709536891,0.0,1387.5753499726002,4487.727739938779,1259.5989948512486,40308.869218038446,100084.76122883502,0.0,128745.17413951588,1325.9709388902763,0.0,1305.9532705624472,4395.197271074063,1259.5989948512486,262787.71244768694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075289983591666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004889798499288019
