timestamp,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-30 12:52:56.107000113,0.0,0.0,0.0,41965.139280440104,25.971128521420226,0.0,0.0,0.0,20.21376896149354,8.76746124354059,0.0,0.003997229249011861,0.0067321302954171415,0.006077921576193656,0.002789236867962468,0.0024804580024269745,0.020282696852254496,0.006486182813162502,0.016919585561511574,0.0,161.897233201581,30516.850038984667,47034.81629771472,2035.4404074856282,4133.844360875155,1514695.302013423,61961.85043850841,347177.0857950034,0.0,107.931488801054,35058.89283548471,44693.34509337434,1942.9203889635542,4035.4194951400323,1007912.5815294452,60971.82638191516,377766.167824558,0.0,0.0,0.0,2300.3927621589733,0.0,147.6372986026841,0.0,819.3302537323426,0.0,0.0,0.0,0.0,0.056552208037329105,3.1932205571321323e-05,0.0,0.0,0.0,3.407392647612613e-05,5.9474415913793105e-06,0.0,0.0,0.0,0.03236512100069192,1.8237017231562147e-05,0.0,0.0,0.0,1.9397719749647612e-05,7.792618034894428e-06
2026-06-30 12:53:11.107000113,0.0,0.0,0.0,41965.17768684117,25.971128521420226,0.0,0.0,0.0,20.21376896149354,8.76746124354059,0.0,0.003997229249011861,0.0,0.005987999878633418,0.002789236867962468,0.0024804580024269745,0.020282696852254492,0.0042614042773863586,0.016673578881097478,0.0,161.897233201581,0.0,205384.11311365975,2035.4404074856282,4133.844360875155,1514695.3020134228,255954.2219520046,274059.6830894398,0.0,107.931488801054,0.0,163601.38357910063,1942.9203889635542,4035.4194951400323,1007912.5815294451,174982.0106577018,321064.16972794407,0.0,0.0,0.0,1391.9291219127372,0.0,147.6372986026841,0.0,0.0,0.0,0.0,0.0,0.0,0.05688285678465367,3.226469770497075e-05,0.0,0.0,0.0,3.419327713991228e-05,5.811420150925926e-06,0.0,0.0,0.0,0.032573235401645875,1.835505627991232e-05,0.0,0.0,0.0,1.9522515823396394e-05,7.855713226402256e-06
2026-06-30 12:53:26.107000113,0.0,0.0,0.0,38923.67080505144,28.746616170371627,0.0,0.0,0.0,21.22871354465321,5.371987891557428,0.0025786433993887532,0.003997229249011861,0.004362738277763778,0.003971820230345528,0.002789236867962468,0.0024804580024269745,0.020282696852254492,0.0042614042773863586,0.0196045920686296,201791.5015281475,161.897233201581,5061.534588892195,304157.56968786515,2035.4404074856282,4133.844360875155,1514695.3020134228,255954.2219520046,326099.7845308328,146386.67061027308,107.931488801054,5248.998832925239,234762.81088299115,1942.9203889635542,4035.4194951400323,1007912.5815294451,174982.0106577018,354793.25103586144,0.0,0.0,0.0,0.0,0.0,147.6372986026841,0.0,0.0,0.0,0.0,0.0,0.0,0.057250441589721895,3.2473877529532166e-05,0.0,0.0,0.0,3.4414310034649124e-05,5.8587673731481484e-06,0.0,0.0,0.0,0.032747530951552334,1.8554481072280525e-05,0.0,0.0,0.0,1.96241588573158e-05,7.800249594035344e-06
2026-06-30 12:53:41.107000113,0.0,0.0,0.0,38923.67080505144,28.746616170371627,0.0,0.0,0.0,21.22871354465321,5.371987891557428,0.0025786433993887532,0.003997229249011861,0.004362738277763778,0.003971820230345528,0.002626705661696924,0.0024352242978945096,0.020282696852254492,0.0042614042773863586,0.019873961714958886,201791.5015281475,161.897233201581,5061.534588892195,304157.56968786515,1588.5558063388119,3430.1916901306295,1514695.3020134228,255954.2219520046,326158.97839283285,146386.67061027308,107.931488801054,5248.998832925239,234762.81088299115,1510.4301109450998,3322.154156583208,1007912.5815294451,174982.0106577018,354857.8261580434,0.0,0.0,0.0,0.0,0.0,81.02815016056606,0.0,0.0,0.0,0.0,0.0,0.0,0.05761802639479013,3.2683057354093566e-05,0.0,0.0,0.0,3.463534292938596e-05,5.90611459537037e-06,0.0,0.0,0.0,0.03295543065857192,1.8673040157776747e-05,0.0,0.0,0.0,1.9748807264999535e-05,7.862400136642406e-06
2026-06-30 12:53:56.107000113,0.0,0.0,0.0,37696.82549207871,28.68578972635621,0.0,0.0,0.0,21.275804128660553,9.077052328372542,0.0025786433993887532,0.004222922309250179,0.004362738277763778,0.003971820230345528,0.001720755758245806,0.0024352242978945096,0.020282696852254492,0.0042614042773863586,0.01710115526460358,201791.5015281475,162758.60722738696,5061.534588892195,304157.56968786515,721.0494118103439,3430.1916901306295,1514695.3020134228,255954.2219520046,170651.08835599833,146386.67061027308,129127.49188687994,5248.998832925239,234762.81088299115,678.6347405273825,3322.154156583208,1007912.5815294451,174982.0106577018,235582.1598209431,0.0,0.0,0.0,0.0,0.0,81.02815016056606,0.0,0.0,0.0,0.0,0.0,0.0,0.057985611199858345,3.289223717865496e-05,0.0,0.0,0.0,3.48563758241228e-05,5.953461817592594e-06,0.0,0.0,0.0,0.033133362479417186,1.887534568175808e-05,0.0,0.0,0.0,1.98523171649206e-05,8.03764994679176e-06
2026-06-30 12:54:11.107000113,0.0,0.0,0.0,37696.82549207871,28.68578972635621,0.0,0.0,0.0,21.275804128660553,9.077052328372542,0.0025786433993887532,0.004417511813885859,0.004362738277763778,0.003971820230345528,0.0024173576561636236,0.0017772811999415452,0.011357378133778415,0.0042614042773863586,0.014259001361420262,201791.5015281475,302947.2918938568,5061.534588892195,304157.56968786515,1012.9469611009281,1922.1543278443598,1461427.9447770966,255954.2219520046,394731.71036616253,146386.67061027308,240366.41221374043,5248.998832925239,234762.81088299115,953.3618457420499,1832.7518009678781,969538.3673338671,174982.0106577018,300950.4490294043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05823859974782935,3.3392711390598286e-05,0.0,0.0,0.0,3.499577273703704e-05,5.817114859856631e-06,0.0,0.0,0.0,0.03334107431832919,1.899443313639584e-05,0.0,0.0,0.0,1.9976832405247138e-05,8.100687502331791e-06
2026-06-30 12:54:26.107000113,0.0,0.0,0.0,37475.69971195387,28.89102256361016,0.0,0.0,0.0,21.46303408545363,9.203072491598657,0.0025786433993887532,0.004417511813885859,0.004362738277763778,0.0,0.0024173576561636236,0.002380198772288815,0.01624991009200802,0.0,0.013441164637668737,201791.5015281475,302947.2918938568,5061.534588892195,0.0,1012.9469611009281,2574.2180648933063,2083369.2408417077,0.0,427414.1283835293,146386.67061027308,240366.41221374043,5248.998832925239,0.0,953.3618457420499,2454.486992107571,1383929.8692998842,0.0,334304.818410744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05860546281620541,3.360374985213675e-05,0.0,0.0,0.0,3.521628983105413e-05,5.8630127093189975e-06,0.0,0.0,0.0,0.033515982434139203,1.9210203304853063e-05,0.0,0.0,0.0,2.007704282075094e-05,8.267749086519546e-06
2026-06-30 12:54:41.107000113,0.0,0.0,0.0,37475.69971195387,28.89102256361016,0.0,0.0,0.0,21.46303408545363,9.203072491598657,0.0,0.004417511813885859,0.004362738277763778,0.0,0.0024173576561636236,0.0023801987722888145,0.01624991009200802,0.0039815037746250845,0.011221148244045513,0.0,302947.2918938568,5061.534588892195,0.0,1012.9469611009281,2574.218064893306,2090981.9527753352,46.08305300226141,586578.8404032581,0.0,240366.41221374043,5248.998832925239,0.0,953.3618457420499,2454.486992107571,1387196.1569255404,0.0,564205.9051725394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.08305300226141,0.0,0.0,0.0,0.0,0.058972325884581484,3.381478831367521e-05,0.0,0.0,0.0,3.543680692507122e-05,5.908910558781362e-06,0.0,0.0,0.0,0.033723491154260994,1.9329893144501033e-05,0.0,0.0,0.0,2.0201406952736394e-05,8.33158988034167e-06
2026-06-30 12:54:56.107000113,0.0,0.0,0.0,37363.23571771493,28.930628900624068,0.0,0.0,0.0,21.491838694191028,9.141862698031685,0.0,0.004417511813885859,0.0,0.0,0.001737193790307719,0.0018173478792750735,0.01624991009200802,0.0039815037746250845,0.017236350921352964,0.0,302947.2918938568,0.0,0.0,727.9374511458304,1965.4869986033973,2090981.9527753352,46.08305300226141,822586.135878913,0.0,240366.41221374043,0.0,0.0,685.1176010784286,1874.0689986683556,1387196.1569255404,0.0,770123.6135622471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.08305300226141,0.0,0.0,0.0,0.0,0.05933918895295755,3.402582677521367e-05,0.0,0.0,0.0,3.5657324019088315e-05,5.954808408243729e-06,0.0,0.0,0.0,0.033899292760382164,1.953314443982882e-05,0.0,0.0,0.0,2.0294933703601743e-05,8.267988732017091e-06
2026-06-30 12:55:11.107000113,0.0,0.0,0.0,37363.23571771493,28.930628900624068,0.0,0.0,0.0,21.491838694191028,9.141862698031685,0.0025050704198141373,0.004417511813885859,0.004266944082509041,0.004016833185348645,0.0015357473189607505,0.002470755796367656,0.016518754557693336,0.0039815037746250845,0.018835907039775255,195260.52433299203,302947.2918938568,207652.6398854857,237703.09388550298,643.5252043874198,137091.7555464959,2228106.1311493805,46.08305300226141,962991.9515448367,140896.1959776666,240366.41221374043,161687.17769906958,180431.19574493764,605.6707805999245,106522.17940793541,1476060.3578841086,0.0,926390.4456579753,0.0,0.0,0.0,0.0,0.0,0.0,57.44096034105571,46.08305300226141,0.0,0.0,0.0,0.0,0.059590720067626494,3.455512495041665e-05,0.0,0.0,0.0,3.577696720138888e-05,6.2292384847222225e-06,0.0,0.0,0.0,0.03410660755615516,1.9653348504241358e-05,0.0,0.0,0.0,2.0419108636926595e-05,8.330860427908286e-06
2026-06-30 12:55:26.107000113,0.0,0.0,0.0,36529.09978329724,30.889548258042964,0.0,0.0,0.0,21.337156192698785,9.249941656942825,0.0025050704198141373,0.0,0.004266944082509041,0.004016833185348645,0.0026155301330940688,0.002470755796367656,0.016518754557693336,0.0039815037746250845,0.017485678239112828,195260.52433299203,0.0,207652.6398854857,237703.09388550298,190267.68356512638,137091.7555464959,2228106.1311493805,46.08305300226141,844106.9877978535,140896.1959776666,0.0,161687.17769906958,180431.19574493764,152367.27979662034,106522.17940793541,1476060.3578841086,0.0,838102.4596958954,0.0,0.0,0.0,0.0,0.0,0.0,57.44096034105571,46.08305300226141,0.0,0.0,0.0,0.0,0.059956874549205445,3.476814370041666e-05,0.0,0.0,0.0,3.599686303472221e-05,6.276884318055556e-06,0.0,0.0,0.0,0.03427797705256962,1.9857206914172753e-05,0.0,0.0,0.0,2.0514917148367876e-05,8.275711823199178e-06
2026-06-30 12:55:41.107000113,0.0,0.0,0.0,36529.09978329724,30.889548258042964,0.0,0.0,0.0,21.337156192698785,9.249941656942825,0.0025050704198141373,0.004026330261730029,0.004266944082509041,0.004016833185348645,0.0026155301330940683,0.0025448181883382308,0.016518754557693333,0.0039815037746250845,0.01740315987583003,195260.52433299203,239571.81482094576,207652.6398854857,237703.09388550298,190267.68356512635,247107.41351693802,2228106.13114938,46.08305300226141,764722.6271034232,140896.1959776666,188945.31810406665,161687.17769906958,180431.19574493764,152367.2797966203,191634.320686605,1476060.3578841083,0.0,733331.4825103122,0.0,0.0,0.0,0.0,0.0,0.0,57.4409603410557,46.08305300226141,0.0,0.0,0.0,0.0,0.060323029030784396,3.4981162450416654e-05,0.0,0.0,0.0,3.6216758868055546e-05,6.32453015138889e-06,0.0,0.0,0.0,0.034485074665687135,1.9977919516052305e-05,0.0,0.0,0.0,2.0638920113807623e-05,8.337699509681334e-06
2026-06-30 12:55:56.107000113,0.0,0.0,0.0,36718.67497916313,29.215269211535286,0.0,0.0,0.0,21.538789798299725,13.581463577262879,0.0025050704198141373,0.004026330261730029,0.004266944082509041,0.004016833185348645,0.0026155301330940683,0.0025448181883382308,0.016827107953091263,0.0039815037746250845,0.015445906790276484,195260.52433299203,239571.81482094576,207652.6398854857,237703.09388550298,190267.68356512635,247107.41351693802,2385381.8477426344,46.08305300226141,773069.5149896248,140896.1959776666,188945.31810406665,161687.17769906958,180431.19574493764,152367.2797966203,191634.320686605,1577983.8920920708,0.0,722520.8131213422,0.0,0.0,0.0,0.0,0.0,0.0,123.32334743402531,46.08305300226141,0.0,0.0,0.0,0.0,0.06068918351236333,3.519418120041666e-05,0.0,0.0,0.0,3.643665470138889e-05,6.3721759847222225e-06,0.0,0.0,0.0,0.0346704534889503,2.008662745629882e-05,0.0,0.0,0.0,2.0752042798286837e-05,8.513035901872336e-06
2026-06-30 12:56:11.107000113,0.0,0.0,0.0,36718.67497916313,29.215269211535286,0.0,0.0,0.0,21.538789798299725,13.581463577262879,0.0025050704198141373,0.004026330261730029,0.004266944082509041,0.0,0.0026155301330940683,0.0025448181883382308,0.016827107953091263,0.004256879014687112,0.01614943731766309,195260.52433299203,239571.81482094576,207652.6398854857,0.0,190267.68356512635,247107.41351693802,2385381.8477426344,313785.75541030243,532143.95315686,140896.1959776666,188945.31810406665,161687.17769906958,0.0,152367.2797966203,191634.320686605,1577983.8920920708,210947.629852903,401716.48414429236,0.0,0.0,0.0,0.0,0.0,0.0,123.32334743402531,508.6418080626771,0.0,0.0,0.0,0.0,0.060951757071645345,3.553305899281843e-05,0.0,0.0,0.0,3.658399013794038e-05,6.23514912037037e-06,0.0,0.0,0.0,0.034877421444549715,2.0207267958050762e-05,0.0,0.0,0.0,2.087598025798721e-05,8.57586007454681e-06
2026-06-30 12:56:26.107000113,0.0,0.0,0.0,38460.1212145457,27.489298715845884,0.0,0.0,0.0,20.875305036604427,12.583510021202546,0.0,0.004026330261730029,0.0,0.0,0.0026155301330940683,0.0029691575175068625,0.01887058845042607,0.004256879014687112,0.01773465027346224,0.0,239571.81482094576,0.0,0.0,190267.68356512635,130890.04546087704,2316667.5200234065,313785.75541030243,673603.0244028117,0.0,188945.31810406665,0.0,0.0,152367.2797966203,101506.56586761893,1532101.4372965659,210947.629852903,378173.6944813258,0.0,0.0,0.0,0.0,0.0,0.0,272367.59682551294,508.6418080626771,0.0,0.0,0.0,0.0,0.0613172903987769,3.574684151314363e-05,0.0,0.0,0.0,3.680344948753387e-05,6.281424372895623e-06,0.0,0.0,0.0,0.035148400376807484,2.031674947669615e-05,0.0,0.0,0.0,2.094513264276811e-05,8.697443646753332e-06
2026-06-30 12:56:41.107000113,0.0,0.0,0.0,38460.121214545696,27.48929871584588,0.0,0.0,0.0,20.875305036604423,12.583510021202544,0.003508093766099956,0.004026330261730029,0.0033633870589016494,0.0,0.002017930684284793,0.0025902245586369808,0.01887058845042607,0.004256879014687112,0.019960639746373746,4980.195775373519,239571.81482094576,296.3669704768778,0.0,0.0,0.0,2316667.5200234065,313785.75541030243,745747.9451349826,4980.195775373519,188945.31810406665,296.3669704768778,0.0,0.0,0.0,1532101.4372965659,210947.629852903,432567.0413417941,0.0,0.0,0.0,0.0,0.0,0.0,272367.59682551294,508.6418080626771,0.0,0.0,0.0,0.0,0.061682823725908435,3.596062403346883e-05,0.0,0.0,0.0,3.702290883712737e-05,6.327699625420876e-06,0.0,0.0,0.0,0.035355745980547734,2.043732375297665e-05,0.0,0.0,0.0,2.106874635478571e-05,8.760695140911527e-06
