timestamp,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission
2026-06-30 12:16:53.750999928,0.0,0.0,0.0,37848.67355734262,18.44423585188742,0.0,0.0,0.0,20.177018424053294,0.0034098968356979817,0.004744584991581539,0.004664451503233076,0.0030944047222222215,0.0032544509090014517,0.001936710377796725,0.020233266981836338,0.004127917392742479,0.022027890002159975,40468.692655417806,824.1345053507879,83726.92220458153,46104.20916855805,1939.7279145858447,18905.822409078883,25371.694975183662,1247.5567444447388,51393.51057728877,51697.26536275344,1905.811043623697,86630.07484690406,75944.38407508525,3955.0296440256834,22930.12163584512,24728.015610062725,1518.7647323675083,66890.8653678812,0.0,0.0,0.0,1945.6,546.9125833353834,0.0,487533.4791320176,0.0,0.0,0.0,0.0,0.0,0.0033334206397333333,1.9077431833333333e-06,0.0,0.0,0.0,1.958208066666667e-06,0.0,0.0,0.0,0.002250284441892638,1.1599374991298087e-06,0.0,0.0,0.0,1.2480891973794232e-06
2026-06-30 12:17:08.750999928,0.0,0.0,0.0,37859.172364640224,20.227528176198767,0.0,0.0,0.0,20.99621916821701,0.0034098968356979817,0.004574418839021768,0.00497271962652151,0.002957689202109579,0.0032544509090014517,0.0017048911714148515,0.020233266981836338,0.00420448393675345,0.01467761913075963,40468.692655417806,13126.793872614888,83726.92220458153,40422.99254191199,1939.7279145858447,16642.8445280726,25371.694975183662,1247.5567444447388,104547.03329720521,51697.26536275344,16236.495565708141,86630.07484690406,66586.0954222997,3955.0296440256834,20185.445580611336,24728.015610062725,1518.7647323675083,104946.41711002402,0.0,0.0,0.0,1945.6,597.2951265713795,0.0,487533.4791320176,0.0,0.0,0.0,0.0,0.0,0.003660805871466666,2.1008263833333333e-06,0.0,0.0,0.0,2.118884875e-06,0.0,0.0,0.0,0.0024487151529824116,1.2720867719698333e-06,0.0,0.0,0.0,1.35812493857582e-06
2026-06-30 12:17:23.750999928,0.0,0.0,0.0,37422.149888716995,21.95037153011622,0.0,0.0,0.0,21.70888650321066,0.0,0.004574418839021768,0.00497271962652151,0.0025420031775270544,0.002850203679369251,0.00297211669434441,0.014044191629689576,0.002833658665663173,0.02118472982329935,0.0,13126.793872614888,83726.92220458153,34741.775915265935,2691.1957950065703,3324.613289048943,17610.84586692742,840.8047296601366,118513.95797888175,0.0,16236.495565708141,86630.07484690406,57227.80676951415,2798.843626806833,3286.3993431978056,17164.05907960579,1023.5883665427749,222243.97261215618,0.0,0.0,0.0,1945.6,0.0,0.0,338403.75916385476,0.0,0.0,0.0,0.0,0.0,0.004006794538133333,2.3090763833333333e-06,0.0,0.0,0.0,2.3190932083333336e-06,0.0,0.0,0.0,0.0026440322278219876,1.3800082329341818e-06,0.0,0.0,0.0,1.4802533415401759e-06
2026-06-30 12:17:38.750999928,0.0,0.0,0.0,37425.11128769945,22.198587708126343,0.0,0.0,0.0,21.70888650321066,0.002723186632273059,0.004353110979673683,0.0,0.004206898596230448,0.002850203679369251,0.00297211669434441,0.020125523074797827,0.0044718174773305955,0.013996326059733704,1911.2046272900948,27240.092903821464,0.0,20112.4685801134,2691.1957950065703,3324.613289048943,1597495.2766531717,23950.323561084104,158006.19845441685,1875.144162624244,32676.293656861755,0.0,20146.67345865101,2798.843626806833,3286.3993431978056,1030452.5699469754,23785.433209544797,249510.32821682547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043527832048,2.5173263833333334e-06,0.0,0.0,0.0,2.5193015416666667e-06,0.0,0.0,0.0,0.0028422265896037363,1.4918149731336646e-06,0.0,0.0,0.0,1.5911951913443044e-06
2026-06-30 12:17:53.750999928,0.0,0.0,0.0,37354.493493355294,20.938327254299224,0.0,0.0,0.0,20.92032353353027,0.002723186632273059,0.004353110979673682,0.004033911392699913,0.004206898596230448,0.002850203679369251,0.00297211669434441,0.020125523074797824,0.0044718174773305955,0.014258690941792475,1911.2046272900948,27240.09290382146,2337.5183433882275,20112.4685801134,2691.1957950065703,3324.613289048943,1597495.2766531713,23950.323561084104,173623.82989360963,1875.144162624244,32676.29365686175,2480.631711350772,20146.67345865101,2798.843626806833,3286.3993431978056,1030452.5699469752,23785.433209544797,262935.7132407235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004698771871466667,2.7255763833333335e-06,0.0,0.0,0.0,2.719509875e-06,0.0,0.0,0.0,0.0030379590756061145,1.5498641371873825e-06,0.0,0.0,0.0,1.6676222809378885e-06
2026-06-30 12:18:08.750999928,0.0,0.0,0.0,37354.493493355294,20.938327254299224,0.0,0.0,0.0,20.92032353353027,0.002723186632273059,0.004171054833239117,0.004033911392699913,0.004206898596230448,0.0028594131453773776,0.00297211669434441,0.020125523074797824,0.0044718174773305955,0.01819102103355868,1911.2046272900948,14787.895232711511,2337.5183433882275,20112.4685801134,1644.85463647001,3324.613289048943,1597495.2766531713,23950.323561084104,218836.6727717402,1875.144162624244,17689.90390050876,2480.631711350772,20146.67345865101,1701.5737618655276,3286.3993431978056,1030452.5699469752,23785.433209544797,301902.1153328743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005055039414805555,2.7869390222222223e-06,0.0,0.0,0.0,2.8510546999999993e-06,0.0,0.0,0.0,0.003235991887908914,1.6579228242768894e-06,0.0,0.0,0.0,1.776314466629517e-06
2026-06-30 12:18:23.750999928,0.0,0.0,0.0,37224.3376785357,20.938187637527502,0.0,0.0,0.0,21.003000600120018,0.002723186632273059,0.004171054833239117,0.004033911392699913,0.004206898596230448,0.0028594131453773776,0.00297211669434441,0.020125523074797824,0.0044718174773305955,0.019659560188609933,1911.2046272900948,14787.895232711511,2337.5183433882275,20112.4685801134,1644.85463647001,3324.613289048943,1597495.2766531713,23950.323561084104,189076.6723559165,1875.144162624244,17689.90390050876,2480.631711350772,20146.67345865101,1701.5737618655276,3286.3993431978056,1030452.5699469752,23785.433209544797,278914.73999069625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005401712887027778,2.9833834666666662e-06,0.0,0.0,0.0,3.0465547e-06,0.0,0.0,0.0,0.003420036971499613,1.7892293696896958e-06,0.0,0.0,0.0,1.9044183702616706e-06
2026-06-30 12:18:38.750999928,0.0,0.0,0.0,37224.3376785357,20.938187637527502,0.0,0.0,0.0,21.003000600120018,0.002723186632273059,0.004171054833239117,0.004033911392699913,0.0,0.0028696696960384014,0.0017586022631594883,0.019938980866521187,0.0044718174773305955,0.016987719581459622,1911.2046272900948,14787.895232711511,2337.5183433882275,0.0,479.54808212963366,1072.4866252341924,916583.97870861,23950.323561084104,192486.6406895545,1875.144162624244,17689.90390050876,2480.631711350772,0.0,479.54808212963366,929.4884085363002,594335.9148344402,23785.433209544797,284298.3638630007,0.0,0.0,0.0,0.0,0.0,73.1153291900859,0.0,0.0,0.0,0.0,0.0,0.0,0.00574838635925,3.179827911111112e-06,0.0,0.0,0.0,3.2420546999999994e-06,0.0,0.0,0.0,0.0036172441035393866,1.8987105705665155e-06,0.0,0.0,0.0,2.0142297955944375e-06
2026-06-30 12:18:53.750999928,0.0,0.0,0.0,37212.83656530204,20.97279637284971,0.0,0.0,0.0,21.034004533937857,0.0,0.003971863754024874,0.004033911392699913,0.0,0.0028696696960384014,0.002494510609849705,0.013732879052967259,0.0,0.013565612585470722,0.0,1163.7098301660458,2337.5183433882275,0.0,479.54808212963366,1521.281600515017,24700.14358560648,0.0,153628.54809990257,0.0,1293.0109224067176,2480.631711350772,0.0,479.54808212963366,1318.4440537796816,20891.059439654447,0.0,198031.997951839,0.0,0.0,0.0,0.0,0.0,85.79267586104439,0.0,0.0,0.0,0.0,0.0,0.0,0.006095059831472221,3.3762723555555553e-06,0.0,0.0,0.0,3.4375547e-06,0.0,0.0,0.0,0.0038074701004323992,2.026762733502745e-06,0.0,0.0,0.0,2.1352098087081504e-06
2026-06-30 12:19:08.750999928,0.0,0.0,0.0,37212.84136594212,20.97279637284971,0.0,0.0,0.0,21.034004533937857,0.0024904722013477393,0.003971863754024874,0.003955000714343394,0.003985148383677795,0.0028696696960384014,0.002494510609849705,0.019697579791256973,0.0036639181292451787,0.020006562108353516,2523.0064183903514,1163.7098301660458,1933.671662929305,1220.9856915739272,479.54808212963366,1521.281600515017,35428.33569395361,1281.5114600890163,51795.46276068082,908.2823106205266,1293.0109224067176,2010.0008075186197,1175.7639992934112,479.54808212963366,1318.4440537796816,29964.824466110207,1364.1896188044368,133618.23882812416,0.0,0.0,0.0,0.0,0.0,98.47002253200286,0.0,0.0,0.0,0.0,0.0,0.0,0.006413547037987498,3.629952562499999e-06,0.0,0.0,0.0,3.6795131999999997e-06,0.0,0.0,0.0,0.004004334678805011,2.137256373159871e-06,0.0,0.0,0.0,2.24559861569008e-06
