timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-29 16:27:12.710000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38463.358623908265,0.0030721599393455498,0.005625555663690794,0.0050009743017609696,0.004333929289644931,0.002798758748604762,0.002681713580444037,0.021751573344114334,0.0053385500227031936,0.02303184868383707,19904.85859890191,85308.07393111287,47592.885124941364,63048.205433458264,17084.303922390118,18040.176173595446,1769063.899557532,73808.31777744142,274893.92740354704,25193.979240800796,88702.9375895426,52162.632960178504,73181.6330136999,23681.590928134516,23800.232424144768,5933.831952024796,76391.43669172426,241835.40844721138,0.0,0.0,0.0,0.0,0.0,0.0,384181.11987062864,546.9574439380606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005454694567907409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033288928638359975
2026-06-29 16:27:27.710000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38463.358623908265,0.00310166487594752,0.0057265567093313765,0.00394025068063903,0.004728438554674058,0.0030810048049563403,0.002958281873754193,0.021751573344114334,0.0053385500227031936,0.018158330137079768,19904.85859890191,85308.07393111287,1851.5847331381312,63048.205433458264,17084.303922390118,18040.176173595446,1769063.899557532,73808.31777744142,205042.2546608582,25193.979240800796,88702.9375895426,1977.8291467611855,73181.6330136999,23681.590928134516,23800.232424144768,5933.831952024796,76391.43669172426,208186.41065710795,0.0,0.0,0.0,0.0,0.0,0.0,384181.11987062864,601.4899543506981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005822080040129631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003546655437257909
2026-06-29 16:27:42.710000038,5.7575315648673655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37487.813906353134,0.00310166487594752,0.004059253816307576,0.00394025068063903,0.004734111180349519,0.003363250861307918,0.0032348501670643494,0.021751573344114334,0.0,0.012781546162452188,19904.85859890191,60470.39123919733,1851.5847331381312,63048.205433458264,17084.303922390118,18040.176173595446,1769063.899557532,0.0,156824.83937117105,25193.979240800796,62876.83091329842,1977.8291467611855,73181.6330136999,23681.590928134516,23800.232424144768,5933.831952024796,0.0,102398.53048825264,0.0,0.0,0.0,0.0,0.0,0.0,384181.11987062864,0.0,144.93430661635222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006189465512351853,3.6208476285721427e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037096732196469366
2026-06-29 16:27:57.710000038,6.398829662224666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37487.813906353134,0.00310166487594752,0.0,0.00394025068063903,0.0,0.003386952676218939,0.0033188195197218725,0.021751573344114334,0.0,0.011243364574459262,19904.85859890191,0.0,1851.5847331381312,0.0,17084.303922390118,18040.176173595446,1769063.899557532,0.0,10800.213679699627,25193.979240800796,0.0,1977.8291467611855,0.0,23681.590928134516,23800.232424144768,5933.831952024796,0.0,9841.945068436424,0.0,0.0,0.0,0.0,0.0,0.0,384181.11987062864,0.0,172.30278057996637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065568509845740745,4.024152876465734e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039242112244639435
2026-06-29 16:28:12.710000038,5.6320928201401435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37556.7013580996,0.0,0.004679870866114473,0.00394025068063903,0.0,0.003386952676218939,0.0033188195197218725,0.02132524968675111,0.0,0.021531061541407544,0.0,157084.41305533197,1851.5847331381312,0.0,17084.303922390118,18040.176173595446,1893483.790129314,0.0,40389.6340202673,0.0,1843.4641116852317,1977.8291467611855,0.0,23681.590928134516,23800.232424144768,620954.8556622021,0.0,37965.71122849606,0.0,292.7749918017101,0.0,0.0,0.0,0.0,208081.1649209883,0.0,647.1299299575967,6.303725e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006821940330097221,3.541960595777023e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041067533235672705
2026-06-29 16:28:27.710000038,6.145130442899146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37556.7013580996,0.003248186016147768,0.004679870866114473,0.0,0.004463503091581533,0.0,0.0,0.020821502123142217,0.0,0.021531061541407544,2241.4100976354366,157084.41305533197,0.0,2896.663767811237,0.0,0.0,1999629.7656617127,0.0,40389.6340202673,2123.4411451283086,1843.4641116852317,0.0,2818.3755578703926,0.0,0.0,1327761.1663128096,0.0,37965.71122849606,0.0,325.2719553089818,0.0,0.0,0.0,0.0,0.0,0.0,724.5585172919194,7.016225e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007183898184263887,3.864604256312129e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004319605327893501
2026-06-29 16:28:42.710000038,5.632195427664695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37598.51482442046,0.003248186016147768,0.004679870866114473,0.004530125499900572,0.004463503091581533,0.003298765034252627,0.0,0.020821502123142217,0.0041515845951405755,0.021591727139035226,2241.4100976354366,157084.41305533197,1719.5253982633287,2896.663767811237,23886.981922513176,0.0,2040499.363057325,1973.719813925904,38993.86584092114,2123.4411451283086,1843.4641116852317,1674.274729887978,2818.3755578703926,23801.823341684252,0.0,1347668.7898089173,1973.719813925904,100668.95478426764,0.0,357.7689188162535,0.0,0.0,0.0,0.0,0.0,0.0,801.987104626242,7.728725e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007545856038430556,3.489388773571277e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004507862149683368
2026-06-29 16:28:57.710000038,6.145233050423697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37598.51482442046,0.003248186016147768,0.004679870866114473,0.004530125499900572,0.004463503091581533,0.003298765034252627,0.0030897369299840442,0.020821502123142217,0.0041515845951405755,0.015583538898452787,2241.4100976354366,157084.41305533197,1719.5253982633287,2896.663767811237,23886.981922513176,21771.06600868242,2040499.363057325,1973.719813925904,33027.65102728197,2123.4411451283086,1843.4641116852317,1674.274729887978,2818.3755578703926,23801.823341684252,21467.106971911988,1347668.7898089173,1973.719813925904,153167.91339907196,0.0,389.9635620872606,0.0,0.0,0.0,195.24133262422748,0.0,0.0,621.9171337299299,8.441225e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007907813892597223,3.758259685753336e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004719541693049881
2026-06-29 16:29:12.710000038,5.632263832681063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37779.21927608025,0.003248186016147768,0.0,0.004530125499900572,0.004463503091581533,0.003298765034252627,0.0030897369299840442,0.020821502123142217,0.0041515845951405755,0.01154019671667661,2241.4100976354366,0.0,1719.5253982633287,2896.663767811237,23886.981922513176,21771.06600868242,2040499.363057325,1973.719813925904,32436.006899572938,2123.4411451283086,0.0,1674.274729887978,2818.3755578703926,23801.823341684252,21467.106971911988,1347668.7898089173,1973.719813925904,258714.4819533588,0.0,0.0,0.0,0.0,0.0,220.5712523550971,0.0,0.0,0.0,6.102483333333333e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008229499037888886,3.4518207472950313e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004904037160079272
2026-06-29 16:29:27.710000038,6.145301455440066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37779.21927608025,0.003248186016147768,0.0027131771286985143,0.004530125499900572,0.004463503091581533,0.003298765034252627,0.0030897369299840442,0.020910520260933808,0.0041515845951405755,0.010318671635430012,2241.4100976354366,179.30604527917802,1719.5253982633287,2896.663767811237,23886.981922513176,21771.06600868242,994233.2851312702,1973.719813925904,9359.700810706388,2123.4411451283086,71.7224181116712,1674.274729887978,2818.3755578703926,23801.823341684252,21467.106971911988,658619.0044667245,1973.719813925904,235990.45554250223,0.0,71.7224181116712,0.0,0.0,0.0,245.90117208596672,0.0,0.0,0.0,6.577483333333334e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008589694204555555,3.6822811633267294e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051145336245797205
