api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
3577.276998133088,7816.857326417121,6943.209097680147,7152.014419908465,220471.23158662362,3059.8064176177663,6180.371630320945,3198.6605755873675,15949.825146318739,7885.9851126625,60054.958626304746,558351.1821513748
3574.594533322164,7863.086953438683,6973.306379639937,7182.012520229725,221404.53452283004,3067.1685980799507,6205.110963220672,3203.185554999132,16031.357513545629,7927.360258156555,60144.45185929261,560407.160285069
3580.157514775238,7901.912192022017,7000.323777304623,7212.802108114879,222313.7667696768,3081.947259856919,6232.210773921727,3210.259765940453,16096.645762277914,7962.443522876554,60306.648911084216,562700.6736832525
3578.085929201008,7946.067455886929,7030.466123127534,7244.39445045621,223244.27013044283,3089.89321791014,6254.607499037115,3215.3694966127223,16171.25869820229,7999.897463618997,60406.64117981453,564732.4217196433
3582.49133410761,7980.518062482166,7058.970278111204,7275.4595870108315,224151.014212787,3101.052092364542,6280.840646393931,3223.8453788513543,16237.603135660085,8033.419340632329,60563.29009632108,566922.0709380317
3580.481955956349,8022.092346205182,7088.719677282632,7306.196807372445,225073.9803309465,3112.231521286111,6305.147283290896,3232.0320756300657,16322.941377256722,8071.825727692856,60650.12075855514,569084.5028368438
3585.1012066595235,8057.168855560924,7119.604558711343,7336.972999074125,225983.92031227238,3126.767259553501,6332.059560510575,3243.484763540371,16394.58054411357,8104.7432945499995,60812.99554914606,571377.8242779318
3583.553621838095,8102.841369733473,7150.355460152626,7365.277647422107,226914.5391325597,3134.4985155934173,6357.330272737711,3245.8387370172622,16469.07828492239,8149.019495216579,60886.801685259976,573467.895950309
3590.9599569990078,8137.6660428269615,7180.386938686257,7394.029631169772,227817.28450366665,3154.521562460417,6384.2084264821,3259.437301141033,16537.401361009277,8181.205808016578,61046.94621035789,575692.6219852783
3590.317590139764,8179.526490602623,7210.950616870653,7424.65420774022,228739.8608692883,3162.5423421056075,6409.330868267071,3262.0500273023304,16618.66314298873,8220.087748299286,61127.8280160519,577882.5106176562
3596.7966156027383,8213.035895821458,7242.80089523671,7453.681533277101,229643.92653053897,3182.248525684961,6433.828550061967,3275.2448467201866,16688.609007977506,8254.378219499284,61291.66267282457,580062.9760653813
3595.342861751198,8256.947436605667,7274.716691346701,7482.925102811069,230580.0038154443,3192.39461938244,6458.734664971708,3280.5163205297104,16759.787729406078,8296.195196631406,61375.87407711186,582239.4774728917
3601.993057641423,8287.10727672378,7304.9584443595095,7508.045024354232,231463.34829352787,3210.7511335521326,6480.896847907933,3296.3183141032846,16830.114437401757,8325.948143173628,61525.53658474972,584380.8300265294
3600.576283730041,8329.012979898866,7333.398840213061,7537.578115846096,232378.33066533183,3218.822957100643,6504.884036562337,3300.5165803752484,16907.048406271122,8367.396508402557,61604.76335324342,586578.1133719278
3606.721665398676,8362.87607904758,7364.391796873363,7565.723631586484,233272.02596635433,3234.9418234602877,6526.080362418807,3314.3790186362003,16975.98714496209,8397.474208773465,61760.227927903696,588683.8837797936
3605.187597519251,8401.52880539014,7397.4987357334285,7599.830473111689,234197.75048363212,3239.5944516115487,6547.5551981003155,3317.000932040198,17044.92974790327,8440.888195710437,61858.40416534109,590853.5719102547
3610.781743588984,8436.877414641795,7428.39846389966,7627.8749235264695,235091.49774112098,3256.5936896175176,6569.952832415831,3333.268397315564,17111.534075703737,8470.87199013771,62013.57309843173,592971.1746293219
3610.2472595338236,8475.55531646739,7464.0510887142655,7659.636686743983,236017.82957322896,3263.7827172247144,6593.315247809168,3335.0154695790848,17193.44444092675,8509.291490131027,62109.02537619672,595123.7766659134
3616.6133651467994,8511.58486095807,7493.268469239259,7688.096957671584,236916.07950698107,3281.298221012508,6618.187575834006,3351.9251977916233,17260.530911308964,8540.86324626436,62266.62390367335,597202.7985973418
3614.1897849108595,8547.360128124796,7529.684868854126,7719.816019248211,237843.99753400384,3290.0117827448935,6639.951754789635,3357.8574137741703,17334.736149754342,8582.762998260156,62375.26651427522,599339.16585724
3622.2913242556583,8584.065949670798,7561.071746435224,7750.174736124963,238749.45809506197,3305.651859954216,6665.443878099014,3372.120530156601,17401.209444215183,8614.87797457444,62534.719816913734,601457.1640044997
3620.2024235553777,8618.481221652315,7594.711826614272,7784.390820852234,239678.32006171477,3312.411068777745,6688.578243008412,3376.691944442315,17482.925512842634,8657.301422462746,62637.73473458911,603677.5254693177
3626.3998569550563,8653.765565273696,7627.369164791148,7818.201429719531,240586.27150010457,3325.8453623373666,6716.637939666216,3388.1164924775962,17549.21375012884,8689.797494249411,62792.04194993226,605735.5477492136
3624.1338839771147,8688.086210747948,7658.530626285753,7846.448441039636,241509.10497112808,3335.7283259052942,6739.413921427469,3393.3437679065178,17623.337646399847,8738.870895882632,62886.1783839652,607816.280792351
3630.5930671688548,8722.856802776952,7690.81273760696,7879.458876964006,242420.05582045796,3350.6900558371854,6768.977450593128,3412.3376415249645,17692.028721102517,8771.024742212632,63045.438322813476,609957.3944353823
3628.559363649947,8758.720150034207,7718.729404664889,7910.312431746725,243347.7780253051,3362.2009854590337,6793.083728827592,3418.73795376236,17772.36021059832,8819.047252565546,63143.78647792892,612173.4068909694
3634.8037259422504,8795.892583338655,7749.933054739356,7941.7865639829515,244257.35120777145,3376.412729373062,6821.071996285365,3434.149092436819,17839.478151463296,8851.424988542016,63301.40234690759,614259.8485389283
3632.1821603493463,8831.279489615998,7780.329516844071,7965.130354199636,245173.7825938421,3383.7154836914565,6844.698545661025,3441.386771708528,17917.658791752743,8898.387785600304,63384.36010045174,616333.0364857572
3638.9214946605075,8862.56438012837,7808.400966402661,7993.5321015152285,246063.4094452142,3398.5513073304624,6869.081173264595,3457.288173524779,17985.635834754274,8931.798307510107,63531.297108897554,618316.3694777193
3637.2333462809806,8900.442040604348,7838.922805236347,8023.557435057198,246991.41114146487,3403.825341509046,6893.519739524989,3462.324253123285,18068.651549924554,8980.136119804627,63622.720557655055,620482.602195576
3642.3561468644875,8938.29894041435,7869.569152219726,8051.672273563389,247893.8689049899,3416.695351176754,6920.453398527654,3473.6008346103386,18138.810163121703,9014.114331028019,63780.20179113344,622418.6788568528
3641.0182660982337,8973.49187725571,7902.408913028224,8081.70303091402,248826.5423769988,3427.6990332974965,6943.589339395512,3478.7472482215726,18212.17683854187,9067.334817288816,63894.40477991933,624512.714104206
3645.6616534134596,9011.371456859131,7931.476680421729,8110.121345409818,249732.39184817995,3439.747284569145,6967.630243372511,3490.1369589465453,18289.323302560646,9102.057242882502,64058.48778325003,626598.3530643542
3643.9130898280255,9049.122147995424,7966.050357748186,8146.715384753444,250673.34184223425,3448.0924312428156,6991.138611435762,3497.136137938142,18369.79922973151,9148.720703891007,64180.91858398551,628574.2381477689
3647.8878853517786,9083.8867474352,7996.986036425536,8173.954238108422,251574.48099999796,3461.4418507256814,7015.260182680621,3510.2572524459006,18445.533755842098,9182.080002942437,64334.12399804353,630684.5289499768
3646.214852088473,9119.606733536973,8031.99707186651,8206.648400665,252505.1939935847,3467.140158626114,7038.794048160021,3516.6584227094595,18516.799444344775,9225.920536318206,64436.8717842781,632773.0295247061
3649.472122485245,9158.75733549903,8064.866451831767,8232.707878070587,253413.979787074,3478.861175194695,7064.011487319188,3529.0087784721386,18593.619742931514,9258.824218330328,64597.710042828105,634986.4919411575
3648.5415380530535,9191.570306546319,8101.069609975399,8264.097209552483,254337.10004376023,3485.9975234318154,7088.610041373578,3533.429130113784,18670.583724663335,9296.226941888859,64687.61352719518,637065.7610605235
3652.81704955721,9229.539824716428,8132.069550825344,8293.390317308085,255245.2561664383,3497.7442772458835,7114.54512659213,3545.500682152735,18747.39958122809,9329.594496978187,64859.53845210533,639227.2617672598
3651.250834441815,9262.186399255808,8169.07702888357,8324.440228949474,256171.5075307916,3508.460934907862,7138.776949842297,3553.3601872145423,18814.626282120942,9369.39727308798,64946.80432631777,641258.7677689095
3655.144725198776,9302.259181318528,8201.912506837849,8354.88303111334,257081.9738984017,3523.18705509831,7164.650670737891,3569.063533905231,18892.455778952637,9402.601150211893,65120.54873716705,643454.0513405461
3655.413938115443,9336.303146092272,8235.95267774442,8388.296021833043,258014.46680368693,3530.3344204834634,7189.758604662555,3578.7036414402446,18967.610871809782,9444.683072908656,65220.19389624032,645526.8044132033
3660.0668262361046,9372.605805672885,8267.058412986005,8417.666750006927,258918.54226637198,3537.794747890914,7217.598057729131,3587.7797582978237,19041.82989935856,9477.46704014599,65384.772812914125,647620.7602320592
3659.642626038949,9408.139190880041,8299.029013073747,8432.049848393199,259780.34372249572,3542.0358485276306,7240.420941819565,3596.3895970664084,19107.976800619064,9519.253412710275,65462.72472563043,649606.8000978316
3662.9782558550637,9443.799910101836,8325.617791653394,8451.071720475366,260536.4625301887,3549.8001703902046,7263.540568408469,3608.1941638386143,19177.941680817956,9552.198583467814,65594.78069842326,651280.4709896306
3662.789187119877,9477.871717442498,8356.3395459105,8495.929565705379,261643.81795564014,3559.1031149992436,7286.760524133417,3615.8279493134874,19247.820444045465,9587.128367977208,65712.10612188977,653761.2212321786
3666.516980961054,9508.354631195829,8382.918784114743,8525.690296428224,262536.35227781377,3570.3601660817767,7311.470384866893,3630.6414056316535,19317.765489665933,9619.76663331054,65863.05334643164,655774.8238618599
3666.3102986158933,9550.22853450455,8411.195249214305,8560.289083503038,263451.61547221034,3577.0908987692965,7334.208931113761,3641.155076811237,19384.347783258367,9656.879816071847,65939.06650563108,657790.209193596
3670.867672015132,9583.015326142297,8441.87650934051,8596.64815205201,264350.80343572603,3590.8808093973053,7357.990133831144,3656.695928593885,19455.176661642257,9691.325112219465,66097.96345567274,659833.3400614612
3671.470481870971,9621.110390296346,8471.58587768818,8613.446497178315,265273.7565652854,3597.5895472088087,7381.965034002729,3664.9624906411186,19531.635541097487,9730.424822876012,66174.68836128677,661814.4481316654
3676.658178553469,9655.450079979411,8505.167329695983,8649.723544382023,266181.72824255965,3606.7444523557674,7408.764759877366,3675.8887027709484,19599.49581913384,9766.191235979459,66336.30754457708,663878.2464033695
3677.546124484599,9696.696221613633,8538.090671388336,8666.659030808034,267109.75823529396,3616.440322656646,7432.590348560966,3686.4689132437584,19674.965596654853,9805.931650199456,66425.32200424843,666022.1318409661
3683.5734972549653,9731.534828680811,8571.888639699724,8703.09777444452,268013.7488412506,3624.9994578347196,7458.71397293513,3699.627878863304,19748.466947391473,9840.361466088192,66585.56139903831,668179.0331340238
3684.594965706216,9768.79246961377,8602.68111275818,8724.837011774938,268935.9999003504,3630.2815951031753,7481.336840675535,3709.089206619245,19827.77375269101,9878.943020562345,66668.39979402265,670404.3996619101
3690.0679124742273,9806.6698567719,8636.687820476158,8760.086120353651,269840.81897472445,3640.2692706314033,7505.838248953915,3723.384491167053,19900.14338463754,9914.000151795894,66833.31569429587,672524.489148775
3690.0531050463164,9841.799946338033,8670.483541484575,8783.21688239202,270766.1518692169,3649.443711922235,7527.873371821222,3732.682328180387,19977.459764889645,9952.982007242477,66918.3140860836,674721.1458861668
3695.6916589887587,9880.354056849046,8703.933320078488,8818.691584975497,271670.949602274,3655.2375004001137,7552.7717847986605,3743.672039914904,20053.560163320133,9987.930004348525,67088.09601288264,676879.3294294202
3695.732470899887,9913.892137539073,8737.57332105428,8841.29039427468,272603.9163975234,3661.861860469426,7577.425558878686,3751.5745228813867,20132.109420195604,10029.10783722866,67183.36584963805,679124.9602581229
3701.0471707252523,9946.118511844317,8770.696755376388,8876.08908545115,273504.25706634484,3671.0542380121083,7603.658406067949,3763.1744049032277,20210.6132067563,10063.686391386234,67355.60142975561,681151.6576076909
3700.692262111807,9980.29190568478,8805.282542186917,8899.937345898588,274443.9872137588,3675.058619282798,7626.907988957003,3771.451847034625,20281.69143469748,10111.996435954114,67464.42147093503,683377.5008921971
3705.3770103429556,10013.211454944818,8836.354823503083,8938.218686654893,275343.1814813237,3683.988967563739,7654.119013182018,3784.194535195294,20354.46220324639,10145.814668614004,67626.5567749267,685490.4390383345
3705.498658032031,10049.59214205801,8867.295499276443,8956.86563383613,276269.41245799995,3694.277386471303,7678.855500387647,3791.4558925482347,20430.303990641343,10188.980224862353,67728.78488378994,687702.9608516131
3710.682964604454,10081.775995171454,8894.701872093612,8996.00021263515,277166.9407250555,3701.363606947189,7704.9744663436895,3800.8494980752134,20509.97042859619,10222.759923075462,67886.24305449596,689822.1693938794
3710.9141784349854,10119.036024547802,8923.209887445393,9013.870008329413,278093.25276952336,3709.7355118374794,7730.028626749109,3810.269361637306,20577.125318127,10264.510977127013,67976.37728421985,692018.9367499435
3715.2594273168756,10151.721443178638,8952.045857864783,9051.163843312506,278990.1690443659,3715.428385093915,7755.391802992242,3818.392993183832,20651.487757494524,10297.405194831457,68135.25850629677,694161.7155269351
3715.881885583966,10185.459237724705,8978.916806976446,9070.234273389091,279907.2789157083,3719.8025011432624,7781.678788963611,3825.6304873812855,20723.987857369604,10336.090467566055,68209.8640110957,696356.476187614
3721.6387796151303,10219.488580411999,9007.568448680597,9109.363064400304,280805.15893556626,3729.8915834793393,7805.349027265021,3836.722915906834,20805.56257677407,10368.421101755845,68373.133130847,698422.0991257542
3722.015570025676,10257.296101735003,9036.292261828183,9131.545445736536,281733.9606120377,3733.33464441118,7830.945208971601,3843.6546832410077,20868.744017839974,10410.188954249628,68468.3511117745,700677.9313908922
3728.521394876481,10290.635743770343,9065.633082917628,9167.232042972504,282626.5591665025,3743.9625557088098,7854.841479976195,3856.097166331189,20942.74949328036,10441.429691553185,68628.0708280004,702828.770527075
3729.7682640545167,10328.272401213339,9097.309605940813,9189.380484125375,283549.8696421479,3749.6293101670703,7878.831575791399,3865.797159935109,21014.77655452794,10484.17692658089,68719.59477976889,705080.7911789989
3738.087822765969,10361.211115154625,9125.943246477105,9222.936230338475,284443.6484445325,3760.2185126108902,7903.204454599534,3877.9230492580627,21094.355772288163,10515.546118275357,68885.2252073984,707056.8041902507
3737.9525013010375,10396.756236037834,9154.100588376446,9246.254433232947,285364.47938967845,3765.761600254986,7927.813197938206,3885.4953821860418,21155.803542823876,10559.02293759031,68963.6911064466,709379.5049805512
3747.623274845444,10434.251560889927,9185.15276637646,9278.314338814462,286263.45413647284,3776.6586125648805,7950.332592111998,3896.979713630704,21232.49172374212,10590.360274736979,69137.82820183088,711557.7514067235
3747.849886037542,10468.519563908909,9215.417005954108,9301.903660552782,287171.52219818725,3780.7108256579836,7973.339394498641,3903.256692003577,21299.820280054893,10626.40738846751,69210.03284754578,713746.7140002683
3758.058904894961,10505.106003675986,9250.159533887023,9333.578844623971,288069.09667559544,3792.3998737379793,7995.997700923057,3917.026325578275,21368.093679242276,10658.177001255804,69380.84955346108,715862.4764434589
3757.8669266890447,10539.868148645543,9280.293877629134,9360.587389431683,288978.7754566335,3798.634848758475,8019.451983655042,3923.4851989385947,21428.27064913023,10695.056461499313,69452.59744579857,718115.9775052943
3768.312535014142,10578.231868087909,9312.379680745657,9394.338483904356,289887.2036367555,3810.209246802938,8043.448440814049,3939.214013681518,21491.155417708516,10728.880865282821,69629.54106883494,720284.341788991
3768.8209140855383,10611.405209615334,9343.677173511607,9415.152109196148,290787.05167660135,3813.0657039148523,8066.156095666585,3948.471249228062,21562.931895038982,10766.157381757477,69700.87035457755,722466.7098559336
3779.7027971398506,10650.033833746524,9374.14270627912,9451.771246520539,291696.46435460815,3825.2352128893012,8090.39334120968,3963.521030790229,21627.6127087104,10799.651218538873,69879.15029819291,724592.0231984771
3779.5251712393315,10683.697763978029,9405.710428752453,9475.068181748227,292608.1286448142,3829.030028493926,8116.066995678208,3969.9034541595233,21691.232209426602,10839.017059692449,69947.59687180245,726717.8985639309
3790.3915340092494,10724.422399793182,9435.94141663749,9510.610697467395,293517.45087683346,3840.4461711656877,8139.370692917881,3984.5240648013587,21755.446630278722,10873.986886639805,70127.32871759102,728907.6505645787
3790.1813116055914,10760.451073516206,9464.884530436952,9531.499765053579,294421.80931459984,3844.6570201460368,8164.960721594311,3989.8248427966478,21825.093151380494,10912.02451633803,70191.74682085919,731160.9765192531
3800.3886544094808,10800.055344804847,9496.721034885622,9570.332182629596,295332.4199098813,3858.1844875791016,8190.556603185524,4006.0702302414884,21888.293323423462,10944.568553972776,70368.43927194425,733271.4105629042
3800.343012710337,10838.630457303329,9526.589720447815,9597.999751164863,296261.79750184546,3863.4703623020346,8218.385926802088,4015.463896823919,21949.30024962002,10984.08413599335,70445.69791914492,735437.8299210038
3809.053119883001,10878.011994000664,9557.804664321618,9633.864106247693,297170.4979495494,3872.0329553665556,8243.17992864029,4028.6751527078195,22007.063742919403,11020.128377411127,70621.49205150676,737639.6277001739
3809.803489555105,10915.130451753297,9588.791352598462,9652.78431282696,298076.09621671034,3876.2723879628124,8269.568796311805,4031.7014447285133,22079.728747433972,11057.066418600834,70690.36100998623,739865.4011145785
3818.176273658171,10953.801114632173,9618.642163422997,9689.79371795018,298987.1021231752,3884.9936420208323,8295.565517941917,4046.1716817124693,22140.310849521804,11094.202805690196,70866.64367021986,742007.0247780611
3818.301789605374,10993.339592902043,9650.92891200135,9721.017345112921,299916.5617946519,3893.4144272844064,8321.179130941158,4055.2337586594717,22204.270304441277,11131.024949991917,70954.6669354367,744235.2056305473
3826.488034841875,11035.043157709384,9679.818216589936,9755.462484274836,300823.2014125317,3903.4781045159857,8344.631648587607,4067.7146658417164,22265.412550328834,11166.789487285003,71132.64382540256,746385.9594522152
3826.4659383657854,11073.052888853752,9707.387348017006,9770.838787867324,301621.9394382095,3908.0086041908557,8368.499576087155,4077.334381071558,22337.836766115146,11207.415030540675,71182.98876971727,748234.0434228118
3834.266375466001,11113.103082907583,9740.888350873829,9795.17698160054,302446.04504519823,3916.6445019906373,8390.815823869047,4087.1484830270497,22408.25526374747,11244.740937917546,71349.21447695799,750096.5448932862
3834.2346576208633,11154.1339511474,9768.011998514938,9823.794767023892,303418.911170199,3920.2048569006015,8414.820178435804,4094.8976212143248,22473.33916252898,11274.731107073974,71442.32663918703,752453.9196607992
3840.9712284249836,11185.451175630855,9796.532857440367,9854.713595130701,304265.64673776674,3929.3551849343844,8436.841651729848,4106.9039922098045,22543.797792959056,11311.231256493402,71599.61983837625,754349.8501689326
3840.2495567303054,11219.241325464283,9826.137475052079,9860.047356301078,305301.30474306067,3935.833901250911,8459.284517670449,4110.454565851261,22604.208274051492,11336.645836372927,71643.72163340922,756568.7193554615
3845.7169656033907,11239.755520515313,9852.744896637629,9893.14066627603,306174.41268514213,3946.44624830822,8478.586381124573,4120.139897408844,22677.658217652843,11372.606772638654,71794.287804139,758387.8509547844
3846.678896625799,11271.393209998823,9886.561120891229,9907.831997703002,307088.1182952299,3955.9773356142964,8503.159013814526,4130.674332915739,22743.41555176725,11405.895048275104,71897.2044340349,760330.1547477283
3851.7236657381145,11307.633497279896,9922.140769811314,9931.165531314457,307997.9637885808,3965.947198366846,8528.568926129099,4141.269915670655,22816.280676671526,11442.532933036191,72079.35467077022,762476.1460123888
3854.5319565840614,11335.736551947588,9958.652740101743,9941.431970446478,308909.93491923745,3974.3524262691462,8553.49760604721,4149.266670126174,22892.62478734221,11476.887417119315,72227.75304047075,764640.3638954515
3860.19298129862,11370.359378826084,9992.917487217792,9965.406045279104,309820.4750327135,3986.4161577283,8579.505552781922,4159.519544288293,22964.02139022884,11512.472131496672,72412.64817236614,766729.2498951094
3862.0714223466325,11403.818038929187,10027.026857115085,10011.377651365612,310740.51565770066,4000.0680766139885,8605.048804275402,4166.289999740494,23027.819660498062,11550.257870814798,72564.59905283798,768786.9677332286
3867.95584485043,11437.0877150559,10060.203978770309,10047.9672745873,311648.11985793046,4010.73202839499,8628.6718036213,4177.051933577865,23095.824736099934,11582.70850555358,72746.43031798466,770872.2293463923
3869.9183040340026,11469.554627423653,10091.618863319061,10072.731217365554,312563.33306563547,4020.2480889791223,8654.84562510349,4185.277649786875,23169.042691753104,11618.26833668825,72885.97211740677,773078.7301398519
3876.9400567191037,11501.72057775636,10123.332114058014,10107.744234530788,313467.7452424114,4031.541251610505,8679.46878261508,4193.277983224762,23239.2622736187,11651.485929874245,73063.47044418754,775112.0776169412
3878.609888475215,11532.346382009904,10155.573888058176,10131.972995348364,314383.06684039545,4038.455722380176,8705.664946625999,4199.638363643974,23298.61661159139,11692.618158364805,73201.66529206099,777311.6331621617
3886.1101103374144,11565.402017225368,10185.578744573706,10167.474282730742,315289.9627287571,4051.519292646741,8732.89375414848,4211.772477397445,23360.752311687058,11724.958466664286,73379.26641954826,779372.8231939733
3887.547638717187,11596.278982282694,10216.149433346503,10194.564446734925,316204.85547154944,4059.3056500522034,8758.290154243616,4216.9779978576025,23423.968439174892,11766.182007694131,73518.75496824265,781518.6421415955
3895.8811191300883,11630.20139065826,10245.545136286333,10231.146325011816,317109.9271642632,4070.24456956162,8782.918350114618,4225.5473379409095,23486.577220375646,11800.21567469062,73700.09511072742,783654.0699672404
3896.441755061957,11663.296388978442,10272.82626533846,10260.671942136343,318017.56504348124,4080.371155757078,8808.284817943686,4231.042727883184,23542.33424721569,11840.933865479623,73835.85605223913,785647.0206374842
3903.5707531246494,11698.61434415471,10304.082933286676,10297.038839081393,318924.50203615933,4089.975292059036,8835.755272746954,4239.894333869696,23608.84893499779,11872.364874518948,74018.60099710351,787716.4814022584
