timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,aggregator_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,policy_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,policy_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,policy_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,policy_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-08-21 04:40:49.806999922,9369.697215189872,5249.4926582278495,9723.508860759497,9046.259240506335,9356.39392405063,8781.116962025317,328803.0622784811,2861.872405063292,7874.3817721519035,3536.773670886073,19531.86835443038,9040.818227848098,118303.2,893446.9367088608,0.00804494996217434,0.004577250757381083,0.003693767526500632,0.0039986633764273714,0.0033476059708237704,0.0005234023069930787,0.004050148670515782,0.015996040554960962,185016.9912276288,200656.64940018122,165217.13214623684,168848.68744606015,117254.13605343521,17744.780392489305,54288.44089411795,729440.281902504,180711.6075971307,195786.9054220371,161445.8464199317,164604.91020509062,113949.1110710148,2758.9240075506473,46523.94354154331,663073.6648638691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006605385285212014,0.00275693148756429,0.006729506911149569,0.006610752869223542,0.006614924890887396,0.006158325223156763,0.22435801828411198,0.0021106077015319922,0.005281666248036292,0.0022666098690009287,0.013476359236735888,0.006359793010540439,0.06706603414131505,0.6049940758377281,0.004705214980504201,0.0015673958773333334,0.006008479712403362,0.004811487046963584,0.005804710041254901,0.0030544065412944476,0.12607171744823809,0.0009322780786442574,0.002966220832386555,0.0013317589063641451,0.007494574344571427,0.005578517631663863,0.04955217504863328,0.31238165116665173
2026-08-21 04:41:04.806999922,9377.00962025317,5249.4926582278495,9723.508860759497,9071.416708860757,9356.39392405063,8781.116962025317,328838.7706329115,2861.872405063292,7874.3817721519035,3536.773670886073,19531.86835443038,9040.818227848098,118162.32911392405,894100.3260759495,0.00804494996217434,0.004571244565950474,0.003693767526500632,0.0038412500366812926,0.0033476059708237704,0.000514279868354607,0.004050148670515782,0.015937237072243385,185016.9912276288,201177.53329636433,165217.13214623684,158811.47642769938,117254.13605343521,18405.50263813189,54288.44089411795,724820.6108215948,180711.6075971307,196100.3382753687,161445.8464199317,161020.04369988295,113949.1110710148,2861.929057760287,46523.94354154331,658921.8742513758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006612078533651773,0.0027559262382128168,0.006738444407138833,0.00662006304052296,0.006621292288648964,0.006167795863531047,0.2245936251117565,0.002112626648980913,0.005285733517317846,0.0022660540674049787,0.013490710881567636,0.006370843913306869,0.06705177969224987,0.6057841198840666,0.004709034177277309,0.0015673958773333334,0.006008479712403362,0.004825304598857143,0.005804710041254901,0.003065954440028639,0.12616958597674646,0.0009322780786442574,0.002966220832386555,0.0013317589063641451,0.007494574344571427,0.005578517631663863,0.04954944953020462,0.3126501479992745
2026-08-21 04:41:19.806999922,9377.00962025317,5211.384303797469,9745.221265822782,9071.416708860757,9364.85164556962,8794.231898734177,328897.17873417726,2858.813164556964,7861.637468354429,3512.2997468354424,19526.594430379748,9059.201012658232,117855.77316455697,894887.6840506331,0.00804494996217434,0.004571244565950474,0.0036624659689336128,0.003936397172162625,0.003338678974125983,0.000514279868354607,0.004050148670515782,0.015855717687317313,185016.9912276288,201177.53329636433,165575.99914707217,162745.21073797919,116838.46849819025,18405.50263813189,54288.44089411795,719812.9439846117,180711.6075971307,196100.3382753687,156255.7406830643,165008.48386046133,113446.85363403718,2861.929057760287,46523.94354154331,654273.1858314215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006618921065463669,0.0027587782682958048,0.006745417588328322,0.006626913835128769,0.006628144296256154,0.006174109905903929,0.22482604532856146,0.0021148128889532506,0.0052912033817715115,0.002268399080890456,0.013504671668912033,0.0063774368026568,0.0671349144659789,0.6064110127495576,0.004709034177277309,0.001573121921764706,0.006015772931563023,0.004825304598857143,0.005808739782100839,0.0030798713279794076,0.12633380939555464,0.0009374422610588233,0.002972927886408964,0.0013291247820000002,0.007502940381058822,0.005590803272056022,0.04946394043694412,0.31309667291319354
2026-08-21 04:41:34.806999922,9381.867341772155,5211.384303797469,9745.221265822782,9108.340253164559,9364.85164556962,8794.231898734177,328939.6101265823,2858.813164556964,7861.637468354429,3512.2997468354424,19526.594430379748,9059.201012658232,117675.5088607595,895511.3316455698,0.00804494996217434,0.004523801926182313,0.0036624659689336128,0.003936397172162625,0.003338678974125983,0.000514279868354607,0.004021767330703026,0.015807083450478196,185016.9912276288,195742.5460690398,165575.99914707217,162745.21073797919,116838.46849819025,18405.50263813189,56507.043163260365,717234.3943603279,180711.6075971307,190802.51591748855,156255.7406830643,165008.48386046133,113446.85363403718,2861.929057760287,48362.430003462825,652075.601460125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006625763597275564,0.002761630298378792,0.006752390769517809,0.006633764629734577,0.0066349963038633475,0.0061804239482768095,0.22505846554536643,0.0021169991289255877,0.005296673246225177,0.0022707440943759336,0.013518632456256431,0.006384029692006731,0.06721804923970794,0.6070379056150488,0.004712357038028009,0.001573121921764706,0.006015772931563023,0.004839178887098039,0.005808739782100839,0.0030798713279794076,0.1264269545363445,0.0009374422610588233,0.002972927886408964,0.0013291247820000002,0.007502940381058822,0.005590803272056022,0.049449399083948145,0.31335414302533854
2026-08-21 04:41:49.806999922,9381.867341772155,5172.884050632913,9760.089113924052,9108.340253164559,9397.786329113926,8790.443544303798,328985.89974683546,2857.913924050635,7846.5630379746835,3491.9635443037982,19540.657215189873,9062.278481012658,117370.3382278481,896466.3159493671,0.00804494996217434,0.004523801926182313,0.0035644416717585553,0.003936397172162625,0.003338678974125983,0.000514279868354607,0.0039929657108135185,0.01575884998239139,185016.9912276288,195742.5460690398,166938.71052725895,162745.21073797919,116838.46849819025,18405.50263813189,54482.36497429986,712908.7073741345,180711.6075971307,190802.51591748855,157383.4385818175,165008.48386046133,113446.85363403718,2861.929057760287,46629.577748032745,648204.9635410901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006632606129087459,0.0027644823284617794,0.0067593639507072985,0.0066406154243403865,0.006641848311470539,0.006186737990649691,0.22529088576217138,0.0021191853688979257,0.0053021431106788424,0.0022730891078614106,0.01353259324360083,0.00639062258135666,0.06730118401343697,0.6076647984805397,0.004712357038028009,0.0015803721930980395,0.006022459844229692,0.004839178887098039,0.005821109169882352,0.003093100229417088,0.126578491241334,0.0009430971099831936,0.0029773069602352935,0.0013279761523809525,0.007516296679417362,0.005595875800521007,0.04937481420623576,0.3138374564632129
2026-08-21 04:42:04.806999922,9374.709873417723,5172.884050632913,9760.089113924052,9129.745822784811,9397.786329113926,8790.443544303798,329012.8070886077,2857.913924050635,7846.5630379746835,3491.9635443037982,19540.657215189873,9062.278481012658,117190.31696202532,896783.5594936709,0.007685999795914647,0.004523801926182313,0.003658858515757682,0.003936397172162625,0.003338678974125983,0.0005218287133402607,0.0039929657108135185,0.015632441590353863,170986.68716664906,195742.5460690398,171360.67268591907,162745.21073797919,116838.46849819025,20809.189456622003,54482.36497429986,713615.450067618,166959.97365505894,190802.51591748855,161552.29556897486,165008.48386046133,113446.85363403718,2772.8309736719234,46629.577748032745,648566.1391191104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006638398021105968,0.0027638516856721856,0.006769248267066666,0.006650923307956336,0.006651846269158161,0.006193065660696651,0.2255271265767033,0.0021213735782927823,0.005305900345124747,0.0022728511207080276,0.013548912393333713,0.006398478934810008,0.06729065663032315,0.6084821836109491,0.004712877851568627,0.0015803721930980395,0.006022459844229692,0.004848553069467786,0.005821109169882352,0.003093100229417088,0.12667200306629411,0.0009430971099831936,0.0029773069602352935,0.0013279761523809525,0.007516296679417362,0.005595875800521007,0.049359422336992004,0.31406171605941885
2026-08-21 04:42:19.806999922,9374.709873417723,5134.076962025319,9774.185316455696,9129.745822784811,9417.062278481017,8790.953924050633,329049.75493670895,2857.066329113927,7829.702278481017,3470.9681012658234,19545.885569620255,9064.73316455696,116848.11341772151,897305.097721519,0.007890418765279572,0.004523801926182313,0.003658858515757682,0.003913300715747413,0.0032298376442424902,0.0005218287133402607,0.0039929657108135185,0.01544640381654269,175534.2962342824,195742.5460690398,171360.67268591907,164602.07967744675,117376.79399022427,20809.189456622003,54482.36497429986,720038.1001294107,171400.48714009745,190802.51591748855,161552.29556897486,166455.70280277712,113910.90441960418,2772.8309736719234,46629.577748032745,654818.2339812489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006645239470141781,0.0027667001260991827,0.006776224448884848,0.006657777665394352,0.006658701519158161,0.006199379759307763,0.22575955073613857,0.002123559820372672,0.005311368444987006,0.0022751934722920497,0.013562875611653272,0.0064050731262700646,0.0673731533856224,0.6091092728092962,0.004712877851568627,0.0015865132439495794,0.006032743894588235,0.004848553069467786,0.005834422261988794,0.0031057814271168824,0.1268253174003095,0.000948927244509804,0.002980889023619048,0.0013262716124649856,0.007530418296974791,0.005598908338151259,0.04928734184747466,0.3144343269148038
2026-08-21 04:42:34.806999922,9369.806582278487,5134.076962025319,9774.185316455696,9153.584810126584,9417.062278481017,8790.953924050633,329058.61670886085,2857.066329113927,7829.702278481017,3470.9681012658234,19545.885569620255,9064.73316455696,116635.13620253163,897799.7832911394,0.007696024652618839,0.004523801926182313,0.003658858515757682,0.003913300715747413,0.003159323784722222,0.0005162394452639462,0.0039929657108135185,0.01530923166949998,168353.74567979394,195742.5460690398,171360.67268591907,164602.07967744675,114814.2222222222,18267.18443863702,54482.36497429986,716143.6200100823,164387.5979935969,190802.51591748855,161552.29556897486,166455.70280277712,111423.99999999999,2837.6723794049963,46629.577748032745,650754.2295805005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006652080919177593,0.0027695485665261803,0.006783200630703031,0.006664632022832368,0.006665556769158161,0.006205693857918873,0.2259919748955738,0.0021257460624525613,0.005316836544849266,0.0022775358238760718,0.013576838829972833,0.006411667317730119,0.06745565014092164,0.6097363620076433,0.004716224241747902,0.0015865132439495794,0.006032743894588235,0.004856212612705881,0.005834422261988794,0.0031057814271168824,0.126920228113493,0.000948927244509804,0.002980889023619048,0.0013262716124649856,0.007530418296974791,0.005598908338151259,0.04927652327012169,0.31477795730231745
2026-08-21 04:42:49.806999922,9369.806582278487,5094.161012658226,9787.8835443038,9153.584810126584,9446.041518987338,8783.842025316457,329091.9645569621,2856.1124050632916,7823.125063291145,3448.967088607597,19569.997974683556,9065.939240506326,116279.4258227848,898418.8951898733,0.007696024652618839,0.004510430760054405,0.003658858515757682,0.0039119781779132865,0.00329983256201829,0.000528787804428365,0.0039929657108135185,0.015218453711919835,168353.74567979394,202970.3109947705,171360.67268591907,168728.94625365429,121077.19390447566,18711.20938357609,54482.36497429986,711462.5770357368,164387.5979935969,197833.92541350142,161552.29556897486,170638.99769715796,117346.51409758312,2906.648379852848,46629.577748032745,646142.5559675116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006658922368213408,0.002772397006953177,0.006790176812521214,0.006671486380270386,0.00667241201915816,0.006212007956529985,0.22622439905500913,0.0021279323045324517,0.0053223046447115245,0.002279878175460094,0.01359080204829239,0.006418261509190175,0.06753814689622091,0.6103634512059904,0.004716224241747902,0.0015922023002016802,0.006041258992011206,0.004856212612705881,0.0058493509273725465,0.003116710958443651,0.12706917440434032,0.0009552441739159661,0.0029850478838095245,0.0013238645064201679,0.0075533773782857135,0.005600625211159664,0.04919940354280139,0.3152457382745348
2026-08-21 04:43:04.806999922,9355.573670886079,5094.161012658226,9787.8835443038,9171.882531645573,9446.041518987338,8783.842025316457,329101.29417721526,2856.1124050632916,7823.125063291145,3448.967088607597,19569.997974683556,9065.939240506326,116047.95341772152,898754.8070886073,0.007696024652618839,0.004408156489581265,0.003625865873914286,0.0039119781779132865,0.00329983256201829,0.000528787804428365,0.0039929657108135185,0.015161994713716351,168353.74567979394,198367.9478084113,164139.866910699,168728.94625365429,121077.19390447566,18711.20938357609,54482.36497429986,705414.9846173994,164387.5979935969,193348.03005829605,154745.1925986268,170638.99769715796,117346.51409758312,2906.648379852848,46629.577748032745,640555.3598425917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006663571132284431,0.0027716341822197317,0.006798793052987484,0.006679491715822063,0.006682961196781575,0.006216906323772219,0.22645691283417968,0.002130133873466392,0.005327042883886646,0.002279373235298188,0.013609387296035289,0.0064238365074733425,0.06752141132639926,0.6111494857190845,0.004718342272408962,0.0015922023002016802,0.006041258992011206,0.004862186801366945,0.0058493509273725465,0.003116710958443651,0.12716099934061764,0.0009552441739159661,0.0029850478838095245,0.0013238645064201679,0.0075533773782857135,0.005600625211159664,0.04918996672091382,0.3155389288574181
