timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-29 11:30:37.848000050,0.0,0.0,0.0,0.0,41895.849206852,0.0,0.0,0.0,0.0,9.535499999999999,0.0,0.007572490616459972,0.006692475909973103,0.007225201480563051,0.005416269290830258,0.003039780680851875,0.002689566870061017,0.01837688707594335,0.009469612460750287,0.014900347359662152,39878.87008077566,42258.435765603186,56685.580920428845,21011.175377528856,323.4626008782725,21119.353988014584,20793.473396161273,90325.5660221451,37340.36233847543,21892.124540894776,42014.36889236951,56237.47356137407,19581.843719193563,323.4626008782725,19592.204934207533,19431.68420648824,85756.40390018179,153516.3514151361,0.0,0.0,37.342279921231125,0.0,0.0,0.0,623175.6837972967,32.402739675719346,0.0,0.0,0.0,0.0,0.0,0.01316437274448333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007347027978414388,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:30:52.848000050,0.0,0.0,0.0,0.0,41896.42788298476,0.0,0.0,0.0,0.0,10.67325,0.0,0.007572490616459972,0.006692475909973103,0.0,0.005416269290830258,0.0,0.002689566870061017,0.01837688707594335,0.009469612460750287,0.01759776281614636,39878.87008077566,42258.435765603186,0.0,21011.175377528856,0.0,21119.353988014584,20793.473396161273,90325.5660221451,41881.30543451144,21892.124540894776,42014.36889236951,0.0,19581.843719193563,0.0,19592.204934207533,19431.68420648824,85756.40390018179,241284.80881332845,0.0,0.0,0.0,0.0,0.0,0.0,623175.6837972967,35.9283277327898,0.0,0.0,0.0,0.0,0.0,0.013524825317399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007551193887711142,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:31:07.848000050,0.0,0.0,0.0,0.0,38603.700995874584,0.0,0.0,0.0,0.0,9.550678602383533,0.0,0.0018521920074684238,0.006692475909973103,0.002532736775279392,0.005416269290830258,0.0026476862053768186,0.002689566870061017,0.01837688707594335,0.007252038644902598,0.016408770029794368,243.1841963029157,42258.435765603186,36.31990166173977,21011.175377528856,19043.095775110396,21119.353988014584,20793.473396161273,55970.34698323494,38295.204075012225,583.6420711269976,42014.36889236951,72.63980332347954,19581.843719193563,19007.699686309075,19592.204934207533,19431.68420648824,196542.82196192344,315451.18844713684,0.0,0.0,0.0,0.0,0.0,0.0,623175.6837972967,24.1200411145841,0.0,0.0,0.0,0.0,0.0,0.013837039576577776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007723723274812653,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:31:22.848000050,0.0,0.0,0.0,0.0,38605.426918466845,0.0,0.0,0.0,0.0,7.9612961538461535,0.0,0.0024241852513792878,0.0,0.00366583672369316,0.005416269290830258,0.0026476862053768186,0.002689566870061017,0.01837688707594335,0.002442706013135874,0.019042671031129433,318.284248970394,0.0,52.568759064132344,21011.175377528856,19043.095775110396,21119.353988014584,20793.473396161273,1252.5059065857195,50853.68672552637,763.8821975289457,0.0,105.13751812826469,19581.843719193563,19007.699686309075,19592.204934207533,19431.68420648824,240653.89349984925,329246.87309107196,0.0,0.0,0.0,0.0,0.0,0.0,623175.6837972967,0.0,0.0,0.0,0.0,0.0,0.0,0.014196460382133331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007927173440080128,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:31:37.848000050,0.0,0.0,0.0,0.0,37041.87605625562,0.0,0.0,0.0,0.0,7.15064710980732,0.0,0.0024052470936039333,0.0027159918620414136,0.00366583672369316,0.0,0.0026476862053768186,0.001451578552820646,0.0188196838030593,0.0027563573315975876,0.017579097966811556,145244.2810914466,204941.75639922766,52.568759064132344,0.0,19043.095775110396,76.27816735253772,30647.092570338118,1413.331698502187,148790.56514254256,108556.84551156565,158235.97301551368,105.13751812826469,0.0,19007.699686309075,1449.2851796982168,32180.68396610968,271554.6284156616,466330.2398860288,0.0,0.0,0.0,0.0,0.0,0.0,294301.13591758104,0.0,0.0,0.0,0.0,0.0,0.0,0.014555881187688888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00810283863240367,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:31:52.848000050,0.0,0.0,0.0,0.0,37043.050673717364,0.0,0.0,0.0,0.0,5.3670282018801245,0.0,0.0024052470936039333,0.0040472255143484915,0.00366583672369316,0.0,0.0026476862053768186,0.0016520599057013047,0.019215930884540575,0.0037638158215405598,0.010954988342809197,145244.2810914466,296894.3026702473,52.568759064132344,0.0,19043.095775110396,86.81314677640603,39464.83579356906,1929.909502997612,123765.45831054666,108556.84551156565,235794.7666289367,105.13751812826469,0.0,19007.699686309075,1649.4497887517146,43589.42670786131,370517.22999814065,287277.29133406095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014915301993244444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008305560234147845,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:32:07.848000050,0.0,0.0,0.0,0.0,37149.550140991145,0.0,0.0,0.0,0.0,0.0,0.0,0.0024052470936039333,0.0040472255143484915,0.00366583672369316,0.0,0.0,0.0018525412585819632,0.019215930884540575,0.002954145853019543,0.013626502601909493,145244.2810914466,305393.22191890277,52.568759064132344,0.0,0.0,97.34812620027434,39464.83579356906,1514.748442884711,189903.78193485906,108556.84551156565,235794.7666289367,105.13751812826469,0.0,0.0,1849.6143978052123,43589.42670786131,291040.6318535728,451502.36926467594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015196445674724444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008493776300949468,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:32:22.848000050,0.0,0.0,0.0,0.0,37151.00703692779,0.0,0.0,0.0,0.0,0.0,0.0,0.0023852080249958892,0.0040472255143484915,0.004041210055858245,0.004151432129514323,0.0,0.0024057762345679034,0.019215930884540575,0.0026404945345578305,0.01323720024407074,298595.0994902154,305393.22191890277,145691.7147038414,217719.27684974452,0.0,126.41975308641975,39464.83579356906,1353.922650968244,208652.55502478508,222616.01710245025,235794.7666289367,118562.71857200768,171811.43127066604,0.0,2401.975308641975,43589.42670786131,260139.8969377605,543412.436505485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015553901421946665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008696117440516262,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:32:37.848000050,0.0,0.0,0.0,0.0,37031.40538846702,0.0,0.0,0.0,0.0,0.0,0.0,0.002648708977121819,0.0040472255143484915,0.004041210055858245,0.004151432129514323,0.002936632833284893,0.002609227337254107,0.019215930884540575,0.002326843216096117,0.01633856235486067,144455.8777921799,305393.22191890277,145691.7147038414,217719.27684974452,457.8684969482887,1757.172051230052,39464.83579356906,1193.0968590517762,367440.537171213,107780.04500886658,235794.7666289367,118562.71857200768,171811.43127066604,45.78684969482887,2875.3724474673577,43589.42670786131,229239.16202194817,568702.4633333433,0.0,0.0,0.0,0.0,347.8203124495418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015911357169168885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00887070148909451,0.0,0.0,0.0,0.0,5.99677e-07,0.0
2026-06-29 11:32:52.848000050,0.0,0.0,0.0,0.0,37031.40538846702,0.0,0.0,0.0,0.0,0.0,0.0,0.002648708977121819,0.003021849687995205,0.004473680319384887,0.004151432129514323,0.002936632833284893,0.002609227337254107,0.019215930884540575,0.004145433453634825,0.01623309125143926,144455.8777921799,228021.00083124338,313483.60195179656,217719.27684974452,457.8684969482887,1757.172051230052,39464.83579356906,729.0761336574109,309929.04664944764,107780.04500886658,176055.5075180327,255038.53319532753,171811.43127066604,45.78684969482887,2875.3724474673577,43589.42670786131,253643.07284377993,472306.9029262129,0.0,0.0,0.0,0.0,385.97602052856587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016268812916391106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009072428841613536,0.0,0.0,0.0,0.0,5.99677e-07,0.0
