timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-07-02 18:55:20.002000093,0.0,0.0,0.0,0.0,13.519892784989898,0.0,0.0,0.0,0.0,17.83604275935639,41805.294341207766,0.00262346413758873,0.0036902855555555557,0.004514612619469634,0.0040202371209614035,0.0,0.0031297906988992223,0.0220771085486572,0.007013085225817889,0.02406407509710337,49673.59963796281,56897.938136772835,134674.84020056916,36243.38120247414,0.0,20781.347421735147,1864154.4820569346,68897.28388253137,157580.42969636508,64490.402963449575,60559.4481269462,22757.208013914154,39224.28116095246,0.0,26790.41173645374,1164326.0063166374,70430.12743495303,72649.57805717352,0.0,0.0,0.0,0.0,0.0,802.5023920204535,516156.6017338958,0.0,681.1025862873331,0.0,0.0,0.0,6.015626777777778e-07,0.0,0.0,0.0,0.0,1.6371964333333331e-06,0.00592624924024074,0.0,0.0,0.0,0.0,9.064521562063129e-07,0.0,0.0,0.0,0.0,1.1216889113106348e-06,0.0033204764159497344
2026-07-02 18:55:35.002000093,0.0,0.0,0.0,0.0,13.517647318868603,0.0,0.0,0.0,0.0,20.551301192619263,38632.00701454919,0.002896375576542668,0.0034787870506155024,0.0,0.004121649159273969,0.0028001365479217413,0.003168150897262368,0.0220771085486572,0.0,0.017857777977124206,31799.174064318926,50209.12557489542,0.0,4066.961137300026,37871.303853060934,20781.347421735147,1864154.4820569346,0.0,126462.96671316342,41089.19455012519,53440.19546794542,0.0,4142.979102483205,41512.775377393715,26790.41173645374,1164326.0063166374,0.0,116124.3273419623,0.0,0.0,0.0,0.0,0.0,888.9423052778143,516156.6017338958,0.0,561.7777777777777,0.0,0.0,0.0,6.549793444444443e-07,0.0,0.0,0.0,0.0,1.8604464333333337e-06,0.006322773268018518,0.0,0.0,0.0,0.0,1.064495098115479e-06,0.0,0.0,0.0,0.0,1.2924484972247225e-06,0.0034654512684950877
2026-07-02 18:55:50.002000093,0.0,0.0,0.0,0.0,13.543751843652899,0.0,0.0,0.0,0.0,22.649636026102613,38632.00701454919,0.003174210869034457,0.003015346306371831,0.004237048736065041,0.004121649159273969,0.003090908849267735,0.003168150897262368,0.0220771085486572,0.0,0.01782545567659935,31799.174064318926,43520.313013018,24290.639050443013,4066.961137300026,37871.303853060934,20781.347421735147,1864154.4820569346,0.0,123910.04232812967,41089.19455012519,46320.942808944645,24290.639050443013,4142.979102483205,41512.775377393715,26790.41173645374,1164326.0063166374,0.0,115594.80071164497,0.0,0.0,0.0,0.0,0.0,975.382218535175,516156.6017338958,0.0,360.35180217340377,0.0,0.0,0.0,7.083960111111111e-07,0.0,0.0,0.0,0.0,2.0836964333333334e-06,0.006719297295796295,0.0,0.0,0.0,0.0,1.1416704835856828e-06,0.0,0.0,0.0,0.0,1.4244104434193418e-06,0.0036848818353352707
2026-07-02 18:56:05.002000093,0.0,0.0,0.0,0.0,13.346623639854919,0.0,0.0,0.0,0.0,26.037977384254322,36446.8712662684,0.0033340235099014724,0.004322190668679272,0.004237048736065041,0.004121649159273969,0.0033816811506137273,0.0,0.013200994037017253,0.0040602544957599115,0.013739860439328002,31799.174064318926,1816.3924919623746,24290.639050443013,4066.961137300026,37871.303853060934,0.0,1587341.3852931615,2965.617731440001,11996.766464595212,41089.19455012519,2689.6581130981317,24290.639050443013,4142.979102483205,41512.775377393715,0.0,991806.108443359,1742.3004172210005,218586.79049295106,0.0,0.0,0.0,0.0,0.0,0.0,440062.3676771788,0.0,0.0,0.0,0.0,0.0,5.328290703703702e-07,0.0,0.0,0.0,0.0,2.5209353055555557e-06,0.006831919183722221,0.0,0.0,0.0,0.0,1.066010404099795e-06,0.0,0.0,0.0,0.0,1.6094017952065996e-06,0.0038360621767565706
2026-07-02 18:56:20.002000093,0.0,0.0,0.0,0.0,13.346623639854919,0.0,0.0,0.0,0.0,26.037977384254322,36446.8712662684,0.0033340235099014724,0.004322190668679272,0.004237048736065041,0.004121649159273969,0.0034892676161519176,0.0,0.018579719657075996,0.0040602544957599115,0.020483877238812495,31799.174064318926,1816.3924919623746,24290.639050443013,4066.961137300026,37871.303853060934,0.0,2234101.2999567534,2965.617731440001,17723.085415415488,41089.19455012519,2689.6581130981317,24290.639050443013,4142.979102483205,41512.775377393715,0.0,1395916.0497595973,1742.3004172210005,221445.18838949245,0.0,0.0,0.0,0.0,0.0,0.0,619365.1326668194,0.0,0.0,0.0,0.0,0.0,5.703012925925925e-07,0.0,0.0,0.0,0.0,2.764893638888889e-06,0.0072127762670555545,0.0,0.0,0.0,0.0,1.1335084871684092e-06,0.0,0.0,0.0,0.0,1.7458600840907472e-06,0.0040516569302018355
2026-07-02 18:56:35.002000093,0.0,0.0,0.0,0.0,13.332488781912376,0.0,0.0,0.0,0.0,26.7261853168068,35922.488181836365,0.003326278934998873,0.004322190668679272,0.004237048736065041,0.004121649159273969,0.0034892676161519176,0.0,0.018579719657075996,0.0040602544957599115,0.020413465288128613,1516.4997907343616,1816.3924919623746,24290.639050443013,4066.961137300026,37871.303853060934,0.0,2234101.2999567534,2965.617731440001,17351.9226136157,1582.434564244551,2689.6581130981317,24290.639050443013,4142.979102483205,41512.775377393715,0.0,1395916.0497595973,1742.3004172210005,286589.04367319593,0.0,0.0,0.0,0.0,0.0,0.0,619365.1326668194,0.0,0.0,0.0,0.0,0.0,6.077735148148148e-07,0.0,0.0,0.0,0.0,3.008851972222223e-06,0.007593633350388889,0.0,0.0,0.0,0.0,1.305211720125629e-06,0.0,0.0,0.0,0.0,1.908710745883316e-06,0.004204563796057887
2026-07-02 18:56:50.002000093,0.0,0.0,0.0,0.0,13.332488781912376,0.0,0.0,0.0,0.0,26.7261853168068,35922.488181836365,0.002437460244912341,0.004322190668679272,0.0,0.003052248429217841,0.0014179544604961195,0.002380348343319641,0.018579719657075996,0.0040602544957599115,0.018552826750317247,1111.2741966524654,1816.3924919623746,0.0,1070.7319974143502,143639.52930077445,38403.237482229604,2234101.2999567534,2965.617731440001,16655.744562580636,1159.5904660721378,2689.6581130981317,0.0,1070.7319974143502,721.8066799033893,38260.34171485387,1395916.0497595973,1742.3004172210005,188313.49789052905,0.0,0.0,0.0,0.0,0.0,0.0,619365.1326668194,0.0,0.0,0.0,0.0,0.0,6.452457370370371e-07,0.0,0.0,0.0,0.0,3.2528103055555562e-06,0.007974490433722222,0.0,0.0,0.0,0.0,1.3785662786880913e-06,0.0,0.0,0.0,0.0,2.047082444803746e-06,0.004416991398313019
2026-07-02 18:57:05.002000093,0.0,0.0,0.0,0.0,13.332488781912376,0.0,0.0,0.0,0.0,28.30318507010888,36392.93097125636,0.0021602703336624346,0.0,0.0,0.004528558500323207,0.0016150632250973417,0.002380348343319641,0.018579719657075996,0.0040602544957599115,0.018756457100535466,984.8992140912686,0.0,0.0,1588.623141564318,163606.75036263466,38403.237482229604,2234101.2999567534,2965.617731440001,16412.620723539767,1027.7209190517585,0.0,0.0,1588.623141564318,822.1444741840937,38260.34171485387,1395916.0497595973,1742.3004172210005,238009.80131504868,0.0,0.0,0.0,0.0,0.0,0.0,619365.1326668194,0.0,0.0,0.0,0.0,0.0,9.841877444444444e-07,0.0,0.0,0.0,0.0,3.581774059259259e-06,0.008175559203733333,0.0,0.0,0.0,0.0,1.2961928681122415e-06,0.0,0.0,0.0,0.0,2.2080842794101633e-06,0.004598769969062078
2026-07-02 18:57:20.002000093,0.0,0.0,0.0,0.0,13.332488781912376,0.0,0.0,0.0,0.0,28.30318507010888,36392.93097125636,0.0028670634920634924,0.0027682725032298025,0.0,0.004528558500323207,0.0018121719896985638,0.002380348343319641,0.018579719657075996,0.0,0.019926825981294916,1772.7062151025284,1147.536773367628,0.0,1588.623141564318,183573.9714244948,38403.237482229604,2234101.2999567534,0.0,15823.373440717722,1747.7385219320704,999.4675122879341,0.0,1588.623141564318,922.482268464798,38260.34171485387,1395916.0497595973,0.0,228063.4034009894,0.0,0.0,0.0,0.0,0.0,0.0,619365.1326668194,0.0,0.0,0.0,0.0,0.0,1.038104411111111e-06,0.0,0.0,0.0,0.0,3.8316629481481485e-06,0.008548337203733335,0.0,0.0,0.0,0.0,1.3616796570425766e-06,0.0,0.0,0.0,0.0,2.3478887808769975e-06,0.004809791156624378
2026-07-02 18:57:35.002000093,0.0,0.0,0.0,0.0,9.091272778188948,0.0,0.0,0.0,0.0,27.025383553697523,36301.603424479435,0.002587191209653684,0.004047247767031339,0.0,0.004528558500323207,0.002365305175214667,0.002380348343319641,0.012318870235965193,0.0,0.01997041845829346,1928.853134504071,1677.7125944717511,0.0,1588.623141564318,239606.65274232227,38403.237482229604,1481271.2202407706,0.0,17687.759534093173,1848.4842538997348,1461.2335500237832,0.0,1588.623141564318,1204.0535313684536,38260.34171485387,925531.1164364396,0.0,98348.19681676269,0.0,0.0,0.0,0.0,0.0,0.0,410656.28754511976,0.0,0.0,0.0,0.0,0.0,1.0920210777777776e-06,0.0,0.0,0.0,0.0,4.081551837037037e-06,0.008921115203733334,0.0,0.0,0.0,0.0,1.2912386040623464e-06,0.0,0.0,0.0,0.0,2.4262534039936074e-06,0.00497060036914502
