timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-09-22 07:49:10.096999884,0.0,64.20411674483739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.9707253762198,61802.149491427095,0.0005144489662281253,7.67153936864108e-05,0.0005430571544246093,0.0003699876656177965,0.0005144929436414908,0.00033551090441009474,0.00027185049275518905,0.00041942472484948203,4.879423106847273e-05,0.050324010005916166,0.00028445671256575265,0.0007796330954110544,6278.690013009358,6009.783984457972,9845.95687335196,5851.986048246194,7134.534395786867,9827.780601449685,4686.877110955872,23706.979355226464,230.0894784352028,246570.25367159935,19308.614674311582,88162.11139459144,6606.273839775064,6570.018084704054,10957.344692124598,5894.66665961914,7384.5133471543995,9755.221105622739,5490.775126750892,160.18229294071935,242.199450984424,136529.32275933656,88.14203560313419,8452.870374355296,0.0,0.0,0.0,0.0,0.0,0.0,15.167887090472076,0.0,0.0,155604.6653732658,0.0,0.0,0.0,6.380627655555557e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.924488022222223e-06,0.006104563502911112,0.0,4.0377255641753285e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4819367292155996e-06,0.003886668512460859
2026-09-22 07:49:25.096999884,0.0,68.66958433087144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.4967858613561,64745.36909428886,0.0005569651754689663,8.270851849753197e-05,0.0005871743074826658,0.00039931243363670735,0.0005528016970926634,0.00036575436804490996,0.0002935809739468013,0.00044097965051658323,5.303621173983448e-05,0.041905989729166655,0.0003073547902216968,0.0008055994327416349,6797.587155147089,6479.277573371325,10645.82772091483,6315.807275984084,7665.766403018364,10713.671704612125,5061.524564689724,24925.319971595207,250.09256279237138,205505.70666666667,20862.911474879755,77428.75296285233,7152.243876285198,7083.278025126279,11847.503028045121,6361.870700201148,7934.358597063516,10634.57158538201,5929.682499733592,168.41432413240005,263.2553292551278,113690.45333333335,95.23725637605594,10038.15683552284,0.0,0.0,0.0,0.0,0.0,0.0,16.38033839705412,0.0,0.0,129562.45333333332,0.0,0.0,0.0,7.336794322222224e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96215468888889e-06,0.006520637836244444,0.0,4.318553859030359e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703686755280838e-06,0.004071764323040832
2026-09-22 07:49:40.096999884,0.0,76.10068751354596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.2985064061953,68529.17670353942,0.00045027500000000004,8.870164330865316e-05,0.00047367116666666663,0.00042863720165561825,0.0005911104505438361,0.00028409499999999994,0.00031531145513841364,0.00031480356954600834,5.7278192411196225e-05,0.041905989729166655,0.00033025286787764096,0.000831917538707351,5495.466666666667,6948.771162284678,8587.946666666667,6779.628503721975,8196.99841024986,8321.706666666667,5436.172018423577,17080.694346243952,270.09564714953996,205505.70666666667,22417.208275447927,80790.1525279646,5782.186666666667,7596.537965548504,9557.333333333334,6829.074740783156,8484.20384697263,8260.266666666666,6368.589872716294,115.38225372613526,284.3112075258315,113690.45333333335,102.3324771489777,18750.889495451294,0.0,0.0,0.0,0.0,0.0,0.0,17.59278970363617,0.0,0.0,129562.45333333332,0.0,0.0,0.0,8.292960988888891e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.999821355555556e-06,0.006936712169577777,0.0,4.785887681407446e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194328291767392e-06,0.004309723779355922
2026-09-22 07:49:55.096999884,0.0,81.09446579842356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.8181149881967,71255.34189738112,0.00045027500000000004,9.469476811977435e-05,0.00047367116666666663,0.0004579619696745291,0.00047793358144304475,0.00028409499999999994,0.0002447055,0.000329426597435944,5.653958416448771e-05,0.03692469854358741,0.00035315094553358507,0.0008819303154311434,5495.466666666667,7418.264751198032,8587.946666666667,7243.449731459866,6985.958806366328,8321.706666666667,4218.88,17874.114415034142,2678.069090382132,172877.90607823423,23971.5050760161,79857.80198623493,5782.186666666667,8109.79790597073,9557.333333333334,7296.278781365164,7143.241180993712,8260.266666666666,4942.506666666667,120.74190678430783,2687.0408461288057,95564.612829393,109.42769792189945,22857.410800780748,0.0,0.0,0.0,0.0,0.0,0.0,13.653333333333334,0.0,0.0,107232.3684822927,0.0,0.0,0.0,9.249127655555559e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0037488022222225e-05,0.00735278650291111,0.0,5.099940849100858e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.667228120368814e-06,0.004481169279324191
2026-09-22 07:50:10.096999884,0.0,88.29078076661465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.59509254191173,74981.64261166727,0.0005062611314011842,6.507409576009993e-05,0.0005248856482541364,0.00039945612500000006,0.0005074317091487866,0.00038106131119560577,0.0001685783996838036,0.0003440496253258797,6.060548845834777e-05,0.03893348442166126,0.00036401386162160214,0.0008214824423052059,5941.645107645245,4764.097906729095,5605.676520897696,6318.08,7417.133164098298,5392.393170253888,2850.7746420589197,18667.534483824336,2870.655802413131,182222.17066949815,15562.915847403663,72770.61637726917,6122.2288358983615,5187.7654156759645,6226.102137396116,6364.16,7584.123028956046,5353.784149941807,16179.829622016294,126.10155984248043,2880.272739774649,100762.74677420205,219.8773078186446,34161.2737415015,0.0,0.0,0.0,0.0,0.0,0.0,8.978817770264314,0.0,0.0,113068.79872925508,0.0,0.0,0.0,8.804445572222223e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.673861225e-06,0.007555562714033332,0.0,5.5525091015448765e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.156313597635781e-06,0.004715512190911519
2026-09-22 07:50:25.096999884,0.0,98.66724218528583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.56876331627294,78019.83729630147,0.000536603453073737,6.911034105971971e-05,0.0005558848154205872,0.00039945612500000006,0.0005369298368545282,0.0004050122925687383,0.00017854823203099476,0.00035867265321581535,6.467139275220784e-05,0.04094227029973511,0.00038734571543696926,0.0008716869838507853,6297.752452132368,5059.592873787154,5936.741590271093,6318.08,7848.3075218302665,5731.323165461564,3019.3712433688206,19460.954552614523,3063.2425144441295,191566.43526076202,16560.437413958574,77283.29654381447,6489.1593094618165,5509.53851955044,6593.808859030637,6364.16,8025.004876918378,5690.287438739882,17136.714899372015,131.461212900653,3073.504633420492,105960.88071901108,233.9705766312316,36255.954789038944,0.0,0.0,0.0,0.0,0.0,0.0,9.509830687775812,0.0,0.0,118905.22897621746,0.0,0.0,0.0,9.62936223888889e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0580236225e-05,0.00796020921403333,0.0,6.2050732307635305e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.783546670778941e-06,0.004906580878856291
2026-09-22 07:50:40.096999884,0.0,106.11985375856493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.50951319540533,81712.44273994106,0.00056694577474629,7.31465863593395e-05,0.000586883982587038,0.00039945612500000006,0.00056642796456027,0.00042896327394187074,0.00018851806437818596,0.00037329568110575095,6.873729704606788e-05,0.04295105617780896,0.00041067756925233643,0.0009040929383704197,6653.859796619491,5355.087840845213,6267.806659644489,6318.08,8279.481879562238,6070.253160669241,3187.9678446787216,20254.374621404713,3255.829226475128,200910.6998520259,17557.958980513486,79218.25462970384,6856.0897830252725,5831.311623424915,6961.515580665157,6364.16,8465.886724880711,6026.7907275379575,18093.600176727738,136.82086595882558,3266.7365270663345,111159.01466382015,248.06384544381865,38191.60510047698,0.0,0.0,0.0,0.0,0.0,0.0,10.040843605287312,0.0,0.0,124741.65922317986,0.0,0.0,0.0,1.0454278905555557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1486611225e-05,0.008364855714033332,0.0,6.673759691927527e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0282931607622155e-05,0.005138804732311849
2026-09-22 07:50:55.096999884,0.0,113.41222824480465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.40196998530192,84563.16687533709,0.0005972880964188429,7.718283165895926e-05,0.0006178831497534888,0.0005093226670717255,0.0005959260922660117,0.00045291425531500314,0.0001984878967253771,0.0003208383187878101,7.280320133992794e-05,0.04495984205588282,0.00043400942306770366,0.0009061887295896032,7009.967141106614,5650.582807903273,6598.871729017886,5135.012160878402,8710.656237294206,6409.183155876916,3356.5644459886225,31695.79766066226,3448.415938506127,210254.96444328976,18555.480547068397,65031.753074113185,7223.0202565887275,6153.084727299389,7329.222302299679,19619.117719545022,8906.768572843044,6363.294016336032,19050.485454083457,6243.810698801009,3459.9684207121777,116357.14860862918,262.15711425640575,43862.83158787138,0.0,0.0,0.0,0.0,0.0,0.0,10.57185652279881,0.0,0.0,130578.08947014227,0.0,0.0,0.0,1.1279195572222223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2392986225000001e-05,0.008769502214033333,0.0,7.132369020728826e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0905057223520096e-05,0.005318083605715643
2026-09-22 07:51:10.096999884,0.0,120.85392587269833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.4693463785571,88218.18853110213,0.0006276304180913959,8.121907695857905e-05,0.0006488823169199395,0.0005346213791705776,0.0006254242199717532,0.00047686523668813554,0.00015252950980710646,0.00033294708535282886,5.3801937501973956e-05,0.04696862793395667,0.0004573412768830708,0.00095292441565103,7366.074485593738,5946.077774961332,6929.9367983912825,5390.074820918766,9141.830595026175,6748.113151084593,2551.361260723945,32892.02950857583,2417.251217638961,219599.22903455366,19553.002113623308,68412.47862884784,7589.9507301521835,6474.857831173864,7696.9290239342,20593.624535968254,9347.650420805376,6699.797305134106,14480.481864014328,6479.45850581358,2425.349211667902,121555.28255343823,276.2503830689928,46130.480944787574,0.0,0.0,0.0,0.0,0.0,0.0,8.035783498343134,0.0,0.0,136414.51971710465,0.0,0.0,0.0,1.2445670175925924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.364356847777778e-05,0.00901822788225074,0.0,7.600369115994137e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.141240556114037e-05,0.005547943856511533
2026-09-22 07:51:25.096999884,0.0,125.66603602207509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.68875255229625,91257.30304780157,0.0006579727397639487,8.525532225819883e-05,0.0006798814840863902,0.0005599200912694296,0.0005938236307045248,0.000476730622897958,0.00015992900177065118,0.00034505585191784755,5.6645798797474486e-05,0.03777902796379415,0.0004806731306984379,0.0009495066446663755,7722.181830080861,6241.572742019392,7261.0018677646785,5645.137480959129,6657.706143077549,5146.652153215504,2675.1325700836937,34088.261356489405,2545.0222143450324,169169.01229599823,20550.52368017822,76967.21735718571,7956.881203715639,6796.630935048339,8064.635745568719,21568.131352391483,21569.651175533076,19130.541663558884,15182.95713792383,6715.106312826152,2553.5482519140273,93676.2302807739,290.3436518815798,58740.6231420352,0.0,0.0,0.0,0.0,0.0,0.0,8.42561439396439,0.0,0.0,103952.1864716899,0.0,0.0,0.0,1.3293864620370371e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4573401811111113e-05,0.009415990887806295,0.0,7.902997376499388e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.186642599384441e-05,0.0057390703916728545
