api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,0.0,0.0,0.0,19072.186422774834,53.40667172039263,0.0,35.03498431425683,7.126719765172058,54.14398155602261,22367.321288259824
0.0,0.0,0.0,0.0,18345.49296663875,54.11251308565241,0.0,33.84136403826886,12.367426166106469,55.556598618855105,21824.139597950303
0.0,0.0,0.0,0.0,18009.909603375454,55.17198770357409,0.0,33.84136403826886,13.588201047271472,55.5244730380354,21269.759286594963
0.0,0.0,0.0,0.0,17691.88585090637,53.54083020463651,0.0,33.466580743268246,18.340146086389698,53.23345439947065,20986.814579460035
0.0,0.0,0.0,0.0,17501.09372719545,52.24838061423546,0.0,33.466580743268246,20.150457681871824,53.70313161725383,20639.75614579988
0.0,0.0,0.0,0.0,17182.016699711246,51.51987376653561,0.0,35.23744470792659,24.072037709148763,51.9839927658883,20466.825744342757
0.0,0.0,0.0,0.0,17045.084322421604,50.8543408117312,0.0,35.23744470792659,26.448099233682093,51.762575195937934,20110.269109149496
0.0,0.0,0.0,0.0,16692.129495511723,50.17516015814262,0.0,36.27652061168558,30.225432703090366,51.260569096817385,19734.23385556166
0.0,0.0,0.0,0.0,16544.522748773314,50.7401130152786,0.0,36.27652061168558,33.17995718711357,51.76035573203666,19494.528447873457
0.0,0.0,0.0,0.0,16461.573100740996,51.46015591958232,0.0,36.57398484277781,34.858431433287635,50.04087713972803,19394.244924460614
0.0,0.0,0.0,0.0,16435.32886227528,51.809652890155185,0.0,36.57398484277781,34.859647974289224,49.73085946263222,19386.799005343062
0.0,0.0,0.0,0.0,16416.21573094392,51.56916709482746,0.0,37.30769749446277,34.54791976585681,48.48694317228103,19347.779391873453
0.0,0.0,0.0,0.0,16375.235724620768,51.609488517982975,0.0,37.30769749446277,34.547919765856804,47.99706704826308,19346.64737434603
0.0,0.0,0.0,0.0,16421.35033206508,51.12608039591434,0.0,36.493359920425895,33.607325744602065,47.96583617575902,19373.024400475588
0.0,0.0,0.0,0.0,16718.202972270457,50.49416325894174,0.0,36.49335992042588,33.60747151635925,47.726398615666845,19990.929772158648
0.0,0.0,0.0,0.0,17459.056805320735,48.92379978183035,0.0,36.249001640936555,32.12548467506753,45.55720784425286,20459.19808883049
0.0,0.0,0.0,0.0,17823.6553423787,47.46444131548157,0.0,36.249001640936555,32.12746841652092,45.71753917970256,21137.745228071195
0.0,0.0,0.0,0.0,18333.98699894828,48.34909997487859,0.0,35.100627655845415,30.471438435374047,46.760289130014634,21543.008993005024
0.0,0.0,0.0,0.0,18593.959880165745,51.50216963181792,0.0,35.100627655845415,30.471438435374047,47.1116046948921,22046.26923441743
0.0,0.0,0.0,0.0,19033.142272974874,52.69152432545525,0.0,34.14360073076033,29.29148297075062,50.634197414114176,22388.18572004144
0.0,0.0,0.0,0.0,19316.105994798767,55.385714415276,0.0,34.14360073076033,29.29148297075062,51.341657645032804,22898.107876284677
0.0,0.0,0.0,0.0,19750.244437368558,56.950553808866694,0.0,33.66761096028976,27.270552349481168,54.2273362963682,23257.48476779281
0.0,0.0,0.0,0.0,19950.86924188786,55.78815262745962,0.0,33.66761096028976,27.27015113744155,54.73583870446376,23558.193899224876
0.0,0.0,0.0,0.0,19999.81427037873,55.8053502799837,0.0,33.45158956876127,21.94101068938084,56.28778353066383,23634.116509671338
0.0,0.0,0.0,0.0,20689.85901516089,58.056848877778094,0.0,35.56731543658121,23.58204231238693,59.405269644994746,22709.816892050807
