api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,0.0,0.0,0.0,32131.89842083523,23.837433248475094,0.0,9.722161001341258,1.1130066356528034,29.515658408763578,25821.901298004323
0.0,0.0,0.0,0.0,31170.645181200332,24.13378492426092,0.0,9.390228328247064,1.931467469240428,30.577804103950477,25229.144617516697
0.0,0.0,0.0,0.0,30801.753138495194,24.606385803519935,0.0,9.390228328247064,2.1221204748510822,30.611562416088148,24606.477399569078
0.0,0.0,0.0,0.0,30412.787516422006,23.89960845344713,0.0,9.270545392361583,2.864249607898075,29.595914087599596,24300.17315334242
0.0,0.0,0.0,0.0,30201.405704416302,23.33562118934939,0.0,9.270545392361582,3.1469727799550835,29.777380562551055,23902.66835735056
0.0,0.0,0.0,0.0,29759.66015300188,23.034539628392395,0.0,9.772016893817526,3.7594206853621452,29.12194355300672,23714.05433697765
0.0,0.0,0.0,0.0,29587.280961326323,22.712055382141088,0.0,9.772016893817526,4.130499152127292,29.023758470762687,23296.425824383405
0.0,0.0,0.0,0.0,28989.794652563538,22.426468723187934,0.0,10.058411554394377,4.720419529952521,28.866932488861732,22880.206048369168
0.0,0.0,0.0,0.0,28750.015704620662,22.70074345779537,0.0,10.058411554394377,5.181838733214418,28.906998754442302,22603.78911232412
0.0,0.0,0.0,0.0,28612.69941847705,22.99258813354522,0.0,10.143634260858368,5.443972370472565,27.68330427298442,22491.63807993231
0.0,0.0,0.0,0.0,28567.144387237477,23.163291911075408,0.0,10.143634260858368,5.4441623622572735,27.38585996062383,22481.560335917202
0.0,0.0,0.0,0.0,28531.500199222115,23.058990929794415,0.0,10.3532359287738,5.395478595259588,25.78483604901648,22437.541829923346
0.0,0.0,0.0,0.0,28462.768216911853,23.070735260577464,0.0,10.3532359287738,5.395478595259587,25.56028705606065,22435.92933279639
0.0,0.0,0.0,0.0,28547.149809179442,22.875508730996263,0.0,10.116999190294806,5.248582488550304,25.495843183184938,22465.627073493244
0.0,0.0,0.0,0.0,29045.532415956764,22.5906291949888,0.0,10.116999190294806,5.248605254274,25.2729989952625,23177.515944695184
0.0,0.0,0.0,0.0,30331.367869544407,21.88375346634706,0.0,10.053056359028375,5.0171577942000605,24.296344557811167,23724.656395948197
0.0,0.0,0.0,0.0,30985.88470858159,21.213730562632584,0.0,10.053056359028375,5.01746760256545,24.21480109404557,24511.408788069384
0.0,0.0,0.0,0.0,31871.166164544327,21.57926275878072,0.0,9.716311950145823,4.758839170609425,24.685050596611656,24986.857504344956
0.0,0.0,0.0,0.0,32333.60510911587,23.00220288949681,0.0,9.716311950145823,4.758839170609425,25.06421005534078,25569.533781318056
0.0,0.0,0.0,0.0,33085.35179194247,23.561627698551963,0.0,9.4524285245878,4.574561086838167,26.603750200492435,25966.782825777576
0.0,0.0,0.0,0.0,33585.09775483393,24.773858159922042,0.0,9.4524285245878,4.574561086838167,26.78211663501416,26557.719464869886
0.0,0.0,0.0,0.0,34331.336812679074,25.505154390007785,0.0,9.301698056576232,4.3056147016363715,28.12910642049181,26973.488100317478
0.0,0.0,0.0,0.0,34688.28492850278,24.963025633677162,0.0,9.301698056576232,4.310180951036522,28.390414085463913,27323.41316820685
0.0,0.0,0.0,0.0,34750.81325421222,24.96572475488845,0.0,9.220863896471652,4.304239107075288,30.153118273371906,27412.12638545961
0.0,0.0,0.0,0.0,32844.41905382277,28.064111328251567,0.0,10.50153943764827,5.0159342048979365,33.5965453760154,28365.100180834845
