timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission
2026-06-29 12:46:08.573999882,0.0,0.0,0.0,0.0,36792.213384183546,0.0,0.0,0.0,0.0,0.0,0.0025923708920187792,0.003208505277777778,0.004575529816665563,0.004627817301925424,0.003405871233276909,0.0029802552476910164,0.017902294215795388,0.004657942320897231,0.021129652820864483,122810.07255655141,37772.699009581534,66093.37480971606,70648.43960043845,36567.34346671707,26102.972292191436,2365919.6638240023,57585.01329295561,255217.94381120004,8172.769953051643,50866.69078288139,68018.16136077834,75561.64043596055,44626.94082367397,37520.87321578505,1563147.200593252,64832.72003803018,96480.3382176133,0.0,0.0,0.0,0.0,0.0,0.0,528642.6894079843,0.0,0.0,0.0,0.0,0.0,0.0,0.005104358215066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030958297043994993,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:46:23.573999882,0.0,0.0,0.0,0.0,36792.213384183546,0.0,0.0,0.0,0.0,0.0,0.0,0.002903109461937716,0.0038927678858074227,0.004183682691240147,0.0,0.0,0.014024657288654107,0.0,0.007433891456466468,0.0,33483.74227348455,1567.8759291729432,1955.4568668813145,0.0,0.0,1853461.4646397233,0.0,129289.04927895479,0.0,45090.95746764065,1669.0292149260365,1955.4568668813145,0.0,0.0,1224569.5169447535,0.0,113201.46781004991,0.0,0.0,0.0,0.0,0.0,0.0,414138.68288221484,0.0,0.0,0.0,0.0,0.0,0.0,0.005469501659511111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033004752906990163,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:46:38.573999882,0.0,0.0,0.0,0.0,37097.677767776775,0.0,0.0,0.0,0.0,0.0,0.0,0.004233036768979806,0.0038927678858074227,0.004183682691240147,0.0017856464072924319,0.0020029335995532696,0.012532799437337823,0.0,0.011188133385848942,0.0,3302.4206401290007,1567.8759291729432,1955.4568668813145,1389.0818374575188,4395.949924679237,1656301.4926543897,0.0,28819.38757541495,0.0,3072.0192001200007,1669.0292149260365,1955.4568668813145,1389.0818374575188,4214.299101345384,1094307.2502286492,0.0,146286.88196659985,0.0,0.0,0.0,0.0,0.0,0.0,370085.1254315495,0.0,0.0,0.0,0.0,0.0,0.0,0.005834645103955555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003493479790131417,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:46:53.573999882,0.0,0.0,0.0,0.0,37097.677767776775,0.0,0.0,0.0,0.0,0.0,0.0027735430639059954,0.004233036768979806,0.0038927678858074227,0.004183682691240147,0.0026181005751760465,0.0029325528543971747,0.01871715820895523,0.004106648695484739,0.014124755367495662,5688.784927176038,3302.4206401290007,1567.8759291729432,1955.4568668813145,2036.6607536418855,6436.23707859332,967415.3527101337,1261.8850486184654,52982.790966965666,5688.784927176038,3072.0192001200007,1669.0292149260365,1955.4568668813145,2036.6607536418855,6170.276868734092,641640.1696779262,1183.0172330798114,170190.46381630594,0.0,0.0,0.0,0.0,0.0,0.0,215038.39120188533,0.0,0.0,0.0,0.0,0.0,0.0,0.0061997885484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036974456578431876,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:47:08.573999882,0.0,0.0,0.0,0.0,37072.79803179005,0.0,0.0,0.0,0.0,0.0,0.002773543063905996,0.004233036768979806,0.0038927678858074227,0.004183682691240147,0.0026181005751760465,0.0029325528543971747,0.019275910251385076,0.004106648695484739,0.019924618269923113,5688.784927176039,3302.4206401290007,1567.8759291729432,1955.4568668813145,2036.6607536418855,6436.23707859332,8461.285845948492,1261.8850486184654,76536.21691167275,5688.784927176039,3072.0192001200007,1669.0292149260365,1955.4568668813145,2036.6607536418855,6170.276868734092,9763.02212994057,1183.0172330798114,279188.47785854514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006475477014508334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038863191174858475,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:47:23.573999882,0.0,0.0,0.0,0.0,37072.79803179005,0.0,0.0,0.0,0.0,0.0,0.002773543063905996,0.004233036768979806,0.004154878589707136,0.004183682691240147,0.0026181005751760465,0.0029325528543971747,0.019275910251385076,0.004106648695484739,0.017033674827699807,5688.784927176039,3302.4206401290007,1444.1398919533694,1955.4568668813145,2036.6607536418855,6436.23707859332,8461.285845948492,1261.8850486184654,54889.35475384032,5688.784927176039,3072.0192001200007,1350.9695763434745,1955.4568668813145,2036.6607536418855,6170.276868734092,9763.02212994057,1183.0172330798114,262926.5847053794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006835804702008333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004089495993161844,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:47:38.573999882,0.0,0.0,0.0,0.0,37468.882088208826,0.0,0.0,0.0,0.0,0.0,0.002773543063905996,0.004233036768979806,0.004154878589707136,0.004183682691240147,0.0028137224587293096,0.0029325528543971747,0.019275910251385076,0.004106648695484739,0.017033674827699807,5688.784927176039,3302.4206401290007,1444.1398919533694,1955.4568668813145,1620.6686841006176,6436.23707859332,8461.285845948492,1261.8850486184654,54889.35475384032,5688.784927176039,3072.0192001200007,1350.9695763434745,1955.4568668813145,1620.6686841006176,6170.276868734092,9763.02212994057,1183.0172330798114,262926.5847053794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007196132389508334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004286346922602643,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:47:53.573999882,0.0,0.0,0.0,0.0,37468.882088208826,0.0,0.0,0.0,0.0,0.0,0.002773543063905996,0.0,0.004154878589707136,0.0,0.0028137224587293096,0.0029229721014284527,0.019275910251385076,0.004106648695484739,0.01938129747735373,5688.784927176039,0.0,1444.1398919533694,0.0,1620.6686841006176,3426.3456000204337,8461.285845948492,1261.8850486184654,55909.221660506104,5688.784927176039,0.0,1350.9695763434745,0.0,1620.6686841006176,3269.4137404775133,9763.02212994057,1183.0172330798114,227174.65867459204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007556460077008335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004489224380806656,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:48:08.573999882,0.0,0.0,0.0,0.0,37330.05267228504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004154878589707136,0.004465510473747619,0.0028137224587293096,0.0029229721014284527,0.019275910251385076,0.0,0.01656033557432502,0.0,0.0,1444.1398919533694,3183.708367339007,1620.6686841006176,3426.3456000204337,8461.285845948492,0.0,63905.08264144277,0.0,0.0,1350.9695763434745,676.538028059539,1620.6686841006176,3269.4137404775133,9763.02212994057,0.0,222689.9588341899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007873363488253335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004664106694395177,0.0,0.0,0.0,0.0,0.0
2026-06-29 12:48:23.573999882,0.0,0.0,0.0,0.0,37330.05267228504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004154878589707136,0.004465510473747619,0.0030482606944332562,0.002913703689744846,0.0,0.004145849654238602,0.01608810942422243,0.0,0.0,1444.1398919533694,3183.708367339007,1121.9205671473455,514.5793288860414,0.0,4852.845882296049,29003.044551669198,0.0,0.0,1350.9695763434745,676.538028059539,1121.9205671473455,463.1213959974372,0.0,247.5941776681658,353592.5372392614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008231767188253334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004865773693752687,0.0,0.0,0.0,0.0,0.0
