aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,kernel_processes_energy
5059.979457023603,1986.0264151066435,5051.700215031922,5051.196546584903,4463.990520630886,4268.357302142185,1752.7126453408803,3818.3609039489857,1880.3319621828782,10249.943735264858,4740.696558990934,46970.01806731911,445352.1182861831,177361.35381353763
5075.18294562415,1979.5431304485764,5072.594211190945,5071.225727255561,4478.1615870443775,4276.717852667277,1757.809522106787,3827.1134396045654,1883.8059786966594,10276.376754054043,4755.422978307155,46909.53641981384,446290.13884570176,178145.18113474207
5087.6763877904405,1970.6892823609721,5086.668083889937,5084.563059038263,4488.701675827856,4292.684900080833,1761.511739391958,3835.2262859452835,1884.9170573909923,10307.694981661485,4772.8080694383725,46903.046439197205,447277.6475445056,178849.65302030303
5100.891582425503,1964.9529891548334,5104.81607945443,5103.487157817369,4502.228886326917,4300.495297252832,1765.8529706298505,3844.768952963463,1888.2694341790138,10331.06328249676,4786.151409480036,46826.562895627016,447984.97619374987,179618.81408201618
5111.349041907198,1954.6752332320636,5117.972693756217,5116.532223486155,4511.9805142754,4317.655215462363,1769.2021110452688,3852.631979553152,1889.0623353679966,10348.698250305466,4805.539660799334,46813.29185475289,448874.36290860776,180330.68511396414
5125.951468930876,1949.4725668998178,5138.599245413651,5137.64963821166,4525.77354775942,4327.940834629742,1773.719311810154,3860.91909043682,1892.9962095695557,10376.166428359493,4820.099675526697,46756.15739202523,449935.78730593534,181110.08578819034
5139.727926876045,1940.361987197662,5152.310280762906,5149.135430864086,4535.323095356734,4346.7391276606695,1776.7778161077317,3867.384790393001,1893.9396249924669,10404.876529081434,4838.462086505294,46749.855274760455,450940.96725713415,181817.801447978
5152.337732731906,1935.2296304592844,5168.300512336305,5166.946185217169,4548.167664019835,4357.37193828279,1780.9203818780475,3876.6888088351725,1897.4648221101484,10429.796983308668,4848.4622680369475,46665.02630678169,451661.6386817089,182572.81036585197
5166.513032344059,1926.1573014060996,5183.288253302691,5177.947271762199,4558.589417870341,4375.554494068982,1784.3240411479612,3882.4205492585625,1897.3526780020682,10453.15614157909,4867.193283788638,46662.33178161354,452477.34923490125,183286.5900329116
5180.600419729588,1921.581890788374,5201.000447455266,5195.828695489673,4573.515153792197,4387.5637218831425,1788.0836125050782,3886.48392441936,1900.9890597184944,10481.12044338386,4881.415642165259,46593.93837938673,453401.15329761495,184077.35589537918
