aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,kernel_processes_energy
1766.3332741972101,1267.687910344925,1694.1567325065382,1686.9580950645343,1539.372736014566,1438.1940094815452,609.8216563794389,1329.3220302217667,749.9244228717089,3427.7267230117054,1592.576405869811,22428.44206704655,152661.6622253544,72667.593492371
1740.7312214784124,1244.3704220282364,1669.3725518973747,1662.0215711878893,1517.9559849044067,1419.455231754281,599.3778705174442,1309.636504590219,743.0548887987738,3374.6741294697968,1570.500918827995,22142.187213362482,150521.43080242953,71555.05839252398
1716.4946079872343,1230.3197694181051,1642.5543335707125,1636.2919131435622,1491.5790444865324,1396.241607624778,590.8854755461136,1291.5287585465344,736.6440491246767,3327.178196601289,1542.833112373026,21780.872511096233,148404.37117244225,70421.26130944073
1689.1021653790779,1201.4311944004082,1617.5670028559573,1607.227859075221,1466.204140181868,1376.0670428489705,582.8709572183768,1272.4388475623994,729.6074250758069,3274.7477698955413,1520.8384706582076,21482.425859025876,146217.80071853087,69296.38733967565
1665.0525187668657,1187.4103383538259,1591.596641792188,1580.9125120187439,1440.3853412236138,1354.133607839229,574.0739508272153,1253.4960846709282,722.6715477085086,3230.631188406576,1496.3277174436776,21100.470990071586,144028.92491688934,68186.23687617166
1638.73030465534,1158.429538682869,1566.3966053929933,1552.6255773699918,1417.8387983304551,1331.5942938109436,565.5808763819939,1234.7337200116656,715.3895665250276,3179.572686191404,1474.0090955711823,20778.22341493298,141881.28690694104,67051.14841780646
1614.6863103826554,1144.4902691076584,1541.926039728975,1524.1760299656144,1393.399276300428,1307.6348361514458,556.9587876281853,1216.1520485546168,708.4299769237216,3129.5125994821556,1448.1128016905502,20407.507022707356,139724.26311008792,65947.07171100193
1586.6489505430372,1115.7793737921102,1516.227105719887,1496.517662132327,1366.7811581689837,1283.8316971956315,548.5775667297668,1197.3413564107616,701.1557588965076,3075.576373781272,1423.7806052090211,20088.911251549693,137591.05253928955,64800.275437086326
1562.4580028596627,1101.906154116823,1488.3573064233033,1468.815716624026,1342.834320132504,1260.193321837516,539.7454695769071,1178.50054061816,692.8782101558912,3027.706239921129,1399.5957387453236,19721.539593780744,135564.17918383033,63685.49420528682
1535.2640889859329,1073.8037573965557,1463.61418022834,1440.8441074006948,1318.8385838573622,1236.8699849745672,531.6987540313759,1160.9070903478103,684.0579472629679,2978.6668544691656,1373.0985438188345,19422.588803365063,133499.2085637486,62544.87340590292
1508.1239125233458,1060.5867014994778,1437.770212851134,1417.0443001823426,1291.723057211389,1212.4048387357661,523.2786197325255,1141.375183498655,675.9757654158859,2927.3327556296904,1348.7680618353115,19050.184847136083,131465.44346829757,61439.210845275185
1480.9140509323224,1032.2895039383639,1413.0655548049908,1389.8937468384202,1269.852638230133,1191.3950892330251,516.1072677816151,1121.8007972892622,668.5118897340453,2875.5751307620403,1322.0457555356804,18726.246406980263,129312.4133610892,60310.77893188519
1452.907568481384,1019.3180834742841,1387.5007903674484,1366.7147023291984,1247.6743553031363,1166.7505976128155,507.66665267909724,1102.3630365263962,660.4121892591245,2828.3111849323054,1298.7892963801696,18382.9329073301,127129.96254693725,59232.245704846275
1425.9641847965815,991.8386895334088,1361.460335263039,1339.4132534480252,1224.7444151203117,1145.5259371515117,500.69691357939234,1082.6884441488346,653.22761706896,2779.091836827814,1273.049192824037,18063.97355820892,125027.03083848926,58101.92038692541
1398.3317664659294,979.4454564244162,1337.113409005587,1316.4091083309304,1202.269371422391,1120.6033521790735,492.9209750274303,1063.7220780473303,645.3302539726203,2727.4059923798545,1248.5035793405227,17715.909650821122,122824.76414282761,57020.880271997376
1370.0319923250217,952.3107705599366,1312.4565403699617,1288.5041706068444,1177.5476730265718,1099.9593399473367,486.3720355103897,1046.8327470942443,638.238352722466,2675.376260538414,1225.5923123647483,17409.7749083988,120649.39339428057,55899.70209342497
1342.3716373317022,940.1229507013326,1290.414929111458,1264.4167069835464,1156.6736388742538,1077.0149919910668,478.6225860587323,1027.549569638648,630.8216065571454,2630.183455744761,1202.4420437675938,17074.07402271174,118474.50555610932,54826.756420693615
1315.7129057771615,913.6612359575689,1264.8688481500944,1237.647844853218,1131.445313029909,1059.2562312511295,471.38300146906903,1007.7398934126455,622.9940207960284,2579.214305866858,1178.5179349114842,16772.939358703443,116328.42691950826,53716.14681353775
1287.4082387152196,901.38271566541,1242.422708615687,1215.283662722678,1110.3407707632973,1037.0282942892563,463.2303660769025,987.8730833415641,615.649821732814,2528.3750736586117,1153.5743289910647,16437.800192209674,114117.36411043482,52635.32394755366
1260.2525005514462,874.5999163574327,1215.9309467517753,1189.932752409904,1085.1263426876344,1019.8028379972462,455.9172412716717,968.6822418697964,607.8753320874114,2475.699874249113,1130.4318194487953,16140.322251794018,111938.54353236448,51521.97909262161
1228.699821493875,862.9725045866537,1190.5903975273782,1166.6549837151294,1062.4213195321565,998.5093276709213,448.167903827859,949.3524281665445,601.0821297376092,2429.555128807386,1108.1825179630816,15808.289725450402,109731.04556005959,50436.233143905396
1201.7378934124947,837.4220078275448,1165.3138143816946,1141.3648630901614,1039.871985237178,980.4813033319181,440.32903747210884,929.9430378574357,592.9964303762704,2378.008914024668,1084.1873366796342,15510.716718438402,107572.37235600196,49319.662027657316
1175.667356462795,825.9948701085603,1137.5698302359904,1120.8067666681854,1017.6204915764438,958.4167997141324,432.03303492282765,909.9194009062473,585.0746471258368,2327.3919349081752,1060.4467732317514,15182.323609193236,105330.60239503425,48229.82948550471
1148.9022262789476,801.8748541477137,1111.4676284478335,1094.6736260480918,995.0366883019939,938.2745923123758,425.0309749676578,890.9084477554652,577.1692531824855,2272.2170157694977,1036.7904039789303,14887.179657219513,103177.41753361536,47112.95796816304
1121.7510885423828,792.0153433882133,1081.6923250929892,1071.48973536966,973.9419601358405,916.465519776728,416.4910779248631,871.7850017371727,569.1324157943656,2226.439441234097,1013.8476925010248,14564.7748077843,100937.8734397,46035.258404636996
1095.1362911735332,769.689635281546,1056.1231555293623,1044.510350188533,952.618799809279,894.1845486347805,409.05369889938646,851.4904709975311,561.7260515791475,2172.7558585685515,988.5364027532822,14272.454818063703,98653.03564683125,44919.90355034087
1067.6207259235143,760.1310152084785,1023.2805137074628,1022.6249583905493,932.0430047711475,871.879906648565,401.22865086032,832.0606398302184,553.8256948604266,2121.014014293539,962.8316787096659,13941.93609116681,96326.12349278644,43832.850101259
1041.5663083240022,738.5287452354328,998.0757693973964,997.8965963850345,909.9153793185686,851.4685887034216,393.8824098434733,810.3089480552981,545.9333888051015,2063.227514990554,938.1052030710733,13656.808476822835,94068.1901162862,42718.659579651925
1018.0395467544967,730.157408671431,970.579545061172,976.4070745021796,889.1200490011475,830.1871411647911,385.93816494011213,792.0462571814396,538.1176277729279,2019.5323528994907,914.953246078515,13347.987802085354,91813.98133519762,41652.68028808431
992.0732936317409,710.3187000325055,945.022548101226,950.5933980274134,868.0447608425686,809.4939997864269,379.29826438880104,772.7025267989014,530.2359946329692,1966.1046499639651,890.4692069351239,13068.27692466356,89617.59467234732,40537.50692752262
965.6376352727121,701.8808179424494,916.2971064329856,928.8956872105626,847.3440755653565,786.5022193964314,371.27066071243837,753.5526391331608,523.0592780886893,1917.8405012869307,867.7927097228201,12759.41259592824,87330.4108837358,39454.44918669341
939.911051020771,683.618864664926,891.7522477842333,900.4530212353322,824.2548783844479,766.3693239338772,365.098419247409,734.3517429755921,515.7613088190535,1863.7394609703865,843.6353949171598,12486.409684523634,85134.57392312418,38334.7449486928
915.9860198720937,674.721826640228,866.8869264326735,879.4288476762557,805.7239250419855,742.0329708364704,357.69276860339767,715.5439687822477,509.14206214640444,1818.828130759269,821.6528489363926,12195.344311103176,82925.21975934325,37276.61143454363
889.9553575787204,657.6270696611151,840.3236557133599,850.7355923215682,781.7480280400392,722.6530319123632,351.7830854529501,699.3439388955185,501.996386276625,1765.8571137217677,796.9391842793161,11921.416145059258,80754.76373669546,36155.58689378147
866.7947723120504,650.126275093576,816.4827084996653,829.0468107277277,761.143702114814,699.402204694781,345.13030675221245,680.2280067338107,496.07570434061176,1716.3273318787897,772.7593613432717,11633.200817504352,78487.90096276095,35075.26579091525
840.854287764612,635.4075268967204,789.8099749835224,802.6016982017062,736.9305866714917,680.7976157787152,339.1631073125497,660.9227440218333,490.1735142344754,1663.5387599769967,750.0257078754215,11378.019598490013,76237.90979643614,33954.66645688969
818.5415495773856,629.3832230615238,770.0044354910667,779.932455767173,715.5979922077147,657.4105297478775,331.8959765859506,641.8029048909831,483.7527472323519,1618.889599109301,727.134095676067,11110.037325752868,74010.30364589853,32885.15195096058
793.2832372017469,617.6463259072826,742.6639395411319,751.8376160273826,692.8087134178221,639.7031649075476,326.0807783184414,622.7523776912626,477.73633043324656,1564.2929410949423,703.270899320759,10861.094476638196,71741.0439406956,31767.20191155341
768.9041233097389,613.4003083343362,724.8192469820535,732.3254999101572,670.5338031404852,617.8139266029206,319.979371287498,605.0655892954368,471.40987106393465,1514.467556442607,678.5991774964897,10602.141058195803,69447.99934131364,30700.079404094686
743.6769574598648,603.687673081677,699.0252250056565,706.140564153034,647.435484666091,600.2092340262152,314.1549304539545,586.1114121017353,465.82845738458263,1459.2084126959928,656.6502525543716,10370.849325028126,67240.77255702145,29576.86018576023
724.0269695878628,599.686728354084,680.2394745453215,683.8631869562355,625.7227603662266,579.5268690881484,308.47131177971414,567.7537735857908,460.44535536821627,1413.6125216584005,634.3050819495033,10130.295382761535,64937.60137869692,28519.82928469252
698.9070476701817,592.5645013281462,654.3448018174909,658.9749351468889,602.7414708376535,559.3568822518702,303.74581560744275,548.7174079977829,454.72945260143945,1362.7267740555737,610.7044844916012,9904.431187895374,62681.73039474668,27397.568722092583
678.7432633982775,588.5687802094938,633.9878732010645,639.5709862809839,581.7105917562207,537.3945883617159,296.62775986531295,530.7787576172122,447.28329194512065,1311.4263313968765,587.2678145816177,9669.884535007548,60537.57101225317,26322.866276875437
652.0741193006221,583.1661706049059,608.1480722455726,613.6832007388399,558.5213865778209,518.5542893172392,292.76987837528935,513.230120406871,438.1006128368085,1258.9744508081717,566.2952102792785,9455.772649025448,58316.86670494673,25204.87686382235
628.9216124714802,582.4493417265011,585.8648816773707,594.3214716645186,538.1858210832244,497.65343188710625,285.6153685906591,495.1774307280702,431.2692395527705,1214.9691186525679,543.3239624913832,9237.871095920691,56077.32469923034,24129.46369240188
603.2597152945579,579.3827157447754,560.1124278474657,568.5845321555977,515.0696313470745,479.7020491693416,282.5880383627814,477.2928697959881,423.0262689747272,1167.2595750351622,521.3766771020189,9037.735297713813,53796.83236781858,23004.945177480833
580.067970736496,580.4874959809468,537.6399779969103,548.7688271473619,495.0976717248004,458.504809341236,276.0963871527227,457.71335710264054,416.26516721084806,1114.3304949340998,496.3001557986039,8830.804014800604,51579.43953224423,21928.026763842576
554.4741885368046,580.8235919597652,511.36319457102604,524.0695025855762,471.61845841899134,439.78743377601074,274.1588407414169,438.0260779546307,408.8124108243211,1064.5685313014849,475.4860846602089,8656.573121781848,49341.283144510446,20801.54491077787
531.9542044847227,582.5068780735626,489.7098553872263,503.3677502026831,453.85735966713236,418.93338872080255,268.5340211206414,418.97585009047975,401.7484777198821,1017.0130784646866,452.7224751065566,8469.128772776125,47135.43980067396,19735.17557609596
507.14166689565855,585.1171395470183,464.94849105710836,479.97348662167803,432.44912406954893,402.24393190722344,267.8922592683724,402.72855922588616,395.0053577744154,975.6845098159389,432.56471464417234,8315.665329238469,44923.301194150285,18619.850496972846
486.3398839171919,584.4338217245772,446.23026600419166,460.8180416725506,414.3682389115092,381.17006734517025,263.10874507262616,383.6363588083016,388.10998062426944,922.1550370296728,408.3619065024913,8154.21605294497,42641.712232783335,17536.82198054595
