timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,policy_cpu_usage,server_cpu_usage,sidecar_cpu_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,policy_memory_usage,server_memory_usage,sidecar_memory_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,policy_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,policy_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal
2026-06-13 16:45:58.969000101,299.05714285714396,1077.3051428571423,1026.1062857142856,881.8114285714306,380.6297142857143,806.1222857142847,178.59428571428683,2211.514285714286,1063.8822857142839,8437.659428571445,0.0018751516936862263,0.0028454665272354598,0.002410448098190651,0.0004601149906711648,0.0028994593929198825,0.00352414574164282,0.0,0.0,0.0,0.0,0.0,55419.72141459059,0.0,0.0,0.0,0.0,0.0,49932.23495429756,0.0,0.0,0.0,0.0,0.0,0.0,0.00172797754893299,0.004873053470846756,0.004626679444499517,0.004161104280663664,0.0018548690131548696,0.0035374249014858365,0.0014457610013895443,0.010203685107757479,0.004957045685352656,0.03890190753575465
2026-06-13 16:46:13.969000101,299.05714285714396,1077.3051428571423,1017.325714285717,881.8114285714306,380.6297142857143,806.1222857142847,178.59428571428683,2211.514285714286,1063.8822857142839,8429.417142857163,0.002038350274511833,0.0028454665272354598,0.0022231662799375137,0.000569293205287901,0.0030106521385591723,0.0034026753226847855,0.0,0.0,0.0,0.0,0.0,27897.639827551593,0.0,0.0,0.0,0.0,0.0,25117.664490349962,0.0,0.0,0.0,0.0,0.0,0.0,0.0017282131216596792,0.004882420574552983,0.00463419650554825,0.004165720925596056,0.0018571580388395707,0.003542529662429856,0.0014438177846917693,0.010216909261053508,0.004966370755114436,0.038963574128652284
2026-06-13 16:46:28.969000101,297.7028571428588,1092.3120000000033,1017.325714285717,889.9508571428607,383.43085714285615,800.3279999999995,169.41600000000076,2170.813714285716,1103.14971428571,8473.501714285718,0.0020900951045389393,0.0028454665272354598,0.0029547748866335776,0.000569293205287901,0.0030106521385591723,0.003540267041537831,0.0,0.0,0.0,0.0,0.0,27897.639827551593,0.0,0.0,0.0,0.0,0.0,25117.664490349962,0.0,0.0,0.0,0.0,0.0,0.0,0.0017308587530502726,0.004889921338441872,0.004641318173758127,0.004172120693600172,0.0018599997244223927,0.003547947999853169,0.0014460358649386832,0.010232513039172117,0.0049740007309374825,0.039021901369972134
2026-06-13 16:46:43.969000101,297.7028571428588,1092.3120000000033,1015.0594285714304,889.9508571428607,383.43085714285615,800.3279999999995,169.41600000000076,2170.813714285716,1103.14971428571,8470.453714285717,0.0026332340956142833,0.0028454665272354598,0.003063498909286408,0.000569293205287901,0.003107794198040947,0.0035084552454280205,0.0,0.0,0.0,0.0,0.0,39.39370623990151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017335043844408653,0.00489742210233076,0.004648439841968003,0.004178520461604287,0.0018628414100052143,0.0035533663372764816,0.0014482539451855965,0.010248116817290728,0.004981630706760527,0.03908022861129197
2026-06-13 16:46:58.969000101,295.28228571428565,1083.6411428571403,1015.0594285714304,892.2857142857155,383.09485714285483,785.7977142857129,165.17828571428586,2185.9542857142787,1140.5691428571422,8488.416000000012,0.0026332340956142833,0.0032894393579109586,0.003063498909286408,0.000569293205287901,0.003107794198040947,0.0035967208002934564,0.0,25.563731455996802,0.0,0.0,0.0,39.39370623990151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017361500158314586,0.004904922866219651,0.004655561510177881,0.0041849202296084026,0.0018656830955880372,0.003558784674699795,0.0014504720254325104,0.010263720595409339,0.004989260682583572,0.039138555852611806
2026-06-13 16:47:13.969000101,295.28228571428565,1083.6411428571403,1016.3074285714213,892.2857142857155,383.09485714285483,785.7977142857129,165.17828571428586,2185.9542857142787,1140.5691428571422,8489.574857142868,0.0026332340956142833,0.0032894393579109586,0.003063498909286408,0.0005692932052879008,0.003107794198040947,0.0033414499434491155,0.0,25.563731455996802,0.0,0.0,0.0,39.39370623990151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017362835605221204,0.004912476417003443,0.004661186704481935,0.004191483295796524,0.001867532393515752,0.0035636284583137863,0.0014479740102631223,0.010277558471355893,0.005002312189264178,0.039203987946240755
2026-06-13 16:47:28.969000101,293.2217142857136,1090.1211428571405,1016.3074285714213,891.8331428571447,384.1405714285701,787.2308571428579,161.35885714285666,2167.697142857143,1183.0457142857153,8525.550857142869,0.0026332340956142833,0.0032894393579109586,0.003063498909286408,0.0006594424648921561,0.003107794198040947,0.003426548612754049,0.0,25.563731455996802,0.0,0.0,0.0,39.39370623990151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017389253679408194,0.004919977260050477,0.0046683060807600546,0.004197883311133947,0.0018703725688206298,0.0035690459212202904,0.0014501848896087252,0.010293159565868086,0.0050099504402866726,0.039262324527882336
2026-06-13 16:47:43.969000101,293.2217142857136,1090.1211428571405,1004.8491428571452,891.8331428571447,384.1405714285701,787.2308571428579,161.35885714285666,2167.697142857143,1183.0457142857153,8513.86285714287,0.0026332340956142833,0.0032894393579109586,0.002898664754150215,0.0007423083120792543,0.0028972889616571003,0.0033743227751817134,0.0,25.563731455996802,0.0,0.0,0.0,39.39370623990151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017415671753595189,0.004927478103097512,0.004675425457038174,0.00420428332647137,0.0018732127441255084,0.003574463384126795,0.0014523957689543286,0.010308760660380282,0.005017588691309168,0.039320661109523924
2026-06-13 16:47:58.969000101,295.1074285714274,1085.372571428577,1004.8491428571452,891.267428571428,382.3851428571436,784.1382857142831,156.61028571428594,2185.422857142863,1226.4548571428572,8548.926857142871,0.002652080590376573,0.0032894393579109586,0.0030580585563624186,0.0007423083120792543,0.0028972889616571003,0.003518865520172694,0.0,25.563731455996802,0.0,0.0,0.0,27918.327514797922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017442089827782179,0.004934978946144545,0.004682544833316292,0.004210683341808793,0.001876052919430386,0.003579880847033299,0.0014546066482999317,0.010324361754892479,0.005025226942331661,0.03937899769116551
2026-06-13 16:48:13.969000101,295.1074285714274,1085.372571428577,989.105142857142,891.267428571428,382.3851428571436,784.1382857142831,156.61028571428594,2185.422857142863,1226.4548571428572,8533.20000000001,0.0020339966332856224,0.0032894393579109586,0.0030580585563624186,0.0007423083120792543,0.0019807453686904344,0.0034755894770375074,0.0,25.563731455996802,0.0,0.0,0.0,27918.32751479793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017446588053006058,0.004941630294488855,0.004688506730304369,0.004216082044062162,0.0018780583038903367,0.003586464152318552,0.0014519342870865173,0.010338717810914949,0.0050384090597042665,0.03944183915091066
