api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy
321.78719999999976,1070.4287999999983,1033.8764571428567,906.2732571428576,369.497142857143,789.9528000000003,185.28274285714352,2262.1042285714298,1114.644342857142,8578.010057142863
322.0388571428568,1071.0068571428558,1031.703085714285,910.0872000000015,370.3203428571431,788.382857142856,184.24765714285746,2258.6317714285715,1113.406971428571,8580.959314285723
321.7093714285715,1071.2928000000009,1036.1064000000015,910.434514285714,367.8706285714289,787.4478857142841,184.30971428571448,2248.2661714285705,1117.3114285714287,8584.868914285718
321.010628571429,1072.6714285714302,1036.5785142857153,913.640914285713,368.82342857142896,786.9000000000003,184.46845714285695,2236.334399999998,1116.0956571428567,8594.381828571428
320.20937142857144,1070.6060571428573,1037.0204571428571,913.079657142857,366.1985142857144,784.9841142857148,184.17531428571382,2242.876114285711,1117.4489142857144,8589.045942857145
319.48971428571406,1069.1249142857137,1036.2096000000001,914.7270857142855,366.48857142857145,783.6980571428583,185.01737142857164,2240.926628571424,1117.6313142857143,8590.181142857147
318.7871999999998,1070.1692571428562,1033.1828571428575,915.4031999999997,365.2097142857141,781.2548571428582,184.61314285714283,2235.507428571423,1119.8156571428585,8593.84285714286
319.5370285714288,1070.8943999999988,1031.1003428571428,914.2683428571429,366.20091428571357,779.3324571428577,186.92057142857104,2228.4510857142827,1119.6257142857155,8592.707314285715
319.63028571428555,1070.4815999999994,1032.5427428571404,915.1652571428571,364.9858285714281,776.0276571428576,185.75588571428554,2239.35462857143,1120.7921142857144,8598.429257142852
319.09268571428555,1070.7603428571426,1030.6299428571406,912.0072000000015,364.74685714285675,774.900685714286,187.55485714285712,2238.2454857142848,1119.9740571428563,8586.935999999994
320.0197714285718,1073.2296000000013,1029.6815999999994,909.9154285714309,364.77805714285716,772.2281142857144,186.6524571428571,2229.521828571427,1112.8203428571426,8582.879657142854
320.7198857142861,1075.7279999999998,1028.9482285714282,908.2926857142853,366.19200000000046,772.1784000000005,187.9271999999997,2223.206742857143,1111.9045714285721,8577.69051428571
321.0644571428571,1071.4145142857128,1023.6874285714282,907.0875428571419,366.53382857142844,772.4280000000007,186.50811428571384,2232.912,1107.916114285714,8564.82548571428
322.0707428571428,1069.8538285714285,1024.8668571428557,904.3882285714284,367.6145142857138,771.0850285714284,187.35222857142838,2238.6246857142846,1108.1276571428557,8558.370171428567
323.1795428571431,1068.7710857142865,1019.717485714286,904.9779428571422,369.0140571428566,772.0251428571428,186.13714285714292,2234.0406857142852,1104.3253714285713,8553.956571428565
324.3192000000005,1070.2796571428578,1022.5412571428587,904.050171428571,369.89965714285654,773.1733714285717,188.18400000000014,2235.042171428573,1107.6298285714297,8564.651314285706
325.2133714285716,1067.4648,1017.5159999999998,901.8466285714288,370.78319999999997,777.1488000000002,187.1458285714287,2245.776000000003,1105.0988571428568,8553.55474285714
326.3818285714282,1067.3763428571424,1021.440342857142,899.6629714285698,371.97017142857186,778.2867428571417,187.150285714286,2251.2733714285737,1105.1962285714276,8552.351657142855
327.31302857142845,1066.6793142857146,1018.8726857142863,897.589714285713,373.666971428572,780.4731428571416,186.48102857142868,2246.729485714287,1103.9612571428565,8544.499542857138
329.1133714285717,1068.3301714285717,1021.8939428571437,899.4819428571438,375.32948571428625,781.58777142857,185.98799999999954,2242.0282285714306,1104.9435428571421,8553.754285714285
329.3598857142858,1064.2580571428575,1023.7011428571443,900.5002285714288,375.7868571428577,782.3310857142845,185.23165714285705,2246.2985142857187,1107.7549714285715,8550.46594285714
329.6070857142854,1064.3286857142862,1026.8118857142867,902.9112000000008,375.4128000000004,783.8424000000003,184.82160000000016,2252.5573714285747,1110.790971428571,8562.93977142857
330.4817142857144,1062.9370285714297,1028.6578285714286,902.9156571428572,375.57017142857126,784.5558857142862,185.40994285714314,2245.1396571428554,1114.0762285714281,8566.82811428572
330.84171428571426,1066.2915428571434,1029.9912000000008,905.7473142857131,376.0878857142856,786.6507428571429,184.857942857143,2238.0877714285707,1113.42582857143,8576.21862857143
331.3309714285711,1063.1663999999987,1031.8868571428573,906.4926857142846,374.802857142857,787.4609142857141,185.17611428571456,2245.5641142857153,1116.5221714285717,8576.624571428578
