api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
467.0838000000006,805.6900799999999,757.5055200000004,696.17952,339.71832000000074,591.5908800000004,309.4970399999998,1677.8613599999976,825.0526868112893,7228.655792327457,69611.4770880369
436.81752000000023,807.02928,742.106880000002,682.5286799999994,326.59092,593.4884399999997,294.70895999999993,1672.8696,814.1767268112903,6984.611238983454,69255.76104303691
392.1191999999998,808.3774799999997,731.5419600000012,669.1150799999999,308.44295999999963,593.7040800000004,280.9137599999999,1669.0312800000006,806.9565599999994,6776.557920000001,69049.40299698003
362.17079999999976,808.0379999999994,722.56788,656.6547600000013,295.85807999999946,593.55072,266.1429600000002,1663.3965599999963,787.202280000002,6532.828920000001,68560.65298698001
324.4337999999994,812.831400000001,718.7778000000004,651.8847599999996,280.30247999999943,594.8992800000004,256.43268000000063,1670.106240000001,779.0454000000007,6368.708879999996,67929.92208
310.3894800000002,827.9686800000003,725.8615200000002,655.7720399999984,277.6679999999996,594.7077600000023,254.25791999999973,1679.881680000003,783.8564399999993,6316.649999999998,67042.008
289.82448000000045,834.2535600000003,725.9428800000003,658.87092,277.27451999999937,596.5678800000014,257.50331999999975,1689.5887200000002,780.5854800000006,6324.759360000002,66671.6958
278.10324,832.5446400000012,730.6754399999999,658.0753199999997,278.0697599999994,593.45784,257.7207600000004,1695.3332400000024,782.8181999999999,6332.763240000001,66572.97443999999
254.9458799999999,837.0806399999999,728.2155600000003,660.3393599999993,280.5915599999993,596.894759999999,260.64648000000017,1708.2561600000015,778.6213200000018,6348.652560000002,66429.92736
247.49136000000016,829.2099599999992,724.6558800000003,655.1279999999988,283.75955999999906,594.2365199999989,263.6380800000003,1713.4963200000009,770.1098400000031,6313.201919999998,67030.94340000002
272.9926799999992,821.0948400000004,717.8414399999995,656.0891999999996,295.53479999999917,595.9868399999992,278.1381600000003,1714.4139600000035,764.9338563299175,6256.19712571032,67969.76239150789
300.4268399999993,818.16768,730.1037599999986,669.2976000000002,307.6668,593.86536,292.0129199999998,1716.36228,772.8779763299165,6455.144676000324,68464.83540450786
353.6582400000006,816.6470400000005,743.9583599999985,683.0744399999996,330.4216800000002,594.2124000000003,313.01855999999964,1725.4565999999995,782.9874000000005,6906.456491318786,68781.137573
383.1372000000006,816.2053200000015,754.3587599999998,697.0870799999988,342.38376000000034,593.85996,327.1553999999998,1729.611000000003,801.0125999999981,7196.556492945446,69245.69078649997
431.2299600000003,813.9463199999989,762.2319599999998,704.9707200000006,363.8354400000004,593.1554399999999,344.73851999999965,1728.9626399999997,814.7131199999984,7383.589355678383,69827.30082038499
449.46971999999994,799.22448,757.4821200000002,706.4996400000016,366.94836,592.9257599999999,350.93627999999984,1717.6046399999966,812.9574,7441.008181216649,70631.43371650501
474.17795999999964,790.3036800000007,753.4713599999995,700.32564,368.9460000000005,590.6919599999985,350.1338400000001,1711.49184,810.6451199999999,7382.416596528366,71368.65916150498
485.69219999999933,789.1873199999997,750.9938399999999,701.2108799999999,366.52140000000065,592.5243599999989,351.5997600000002,1702.3176000000003,807.4080000000001,7313.563062434057,71452.22847
