aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,256.00334996780794,0.0,15.733254523580175,105.39237416312608,95.7045474420465,265646.9186792096,0.0,0.0,93.85217332202697,15.43040526864471,1405.6529827790541,286766.77729816624
0.0,256.4165716654303,0.0,15.768748779702165,105.62868690378434,96.01320735813779,266425.2534045335,0.0,0.0,94.60310618314179,15.485156329305356,1407.85987082644,287646.29802899424
0.0,256.34447256253554,0.0,15.833027663310807,106.01624668152111,96.40755086374682,267420.4794699248,0.0,0.0,95.55425732793337,15.596353303325186,1411.6543151322726,288643.31105575
0.0,256.2022253515356,0.0,15.93130173277615,106.68330362215676,96.96189156936362,268315.2029046666,0.0,0.0,96.94073379395566,15.650400853554064,1414.5799982616488,289839.48968448635
0.0,255.59657224248264,0.0,15.996667828980174,107.07526461865012,97.36015121057672,269366.6780583853,0.0,0.0,98.00906566372929,15.693673707423134,1416.7106465312443,290838.64294042427
0.0,255.30702429072232,0.0,16.063283723042872,107.59691066180316,97.75691109792147,270268.0672642185,0.0,0.0,98.92749920585688,15.747801022767229,1417.2428259254882,291996.7609960161
0.0,255.04768975068293,0.0,16.129758568918174,107.99133445727304,98.15210320822219,271331.5307310752,0.0,0.0,99.88685489904618,15.827967141382901,1420.2100903776673,292976.1154515456
0.0,255.12908713457156,0.0,16.21791471006716,108.58909845825376,98.69930149987343,272194.35509096464,0.0,0.0,100.628185502267,15.882228898096855,1423.2654807772565,293968.36232225166
0.0,254.83822939451028,0.0,16.284899943700484,108.98695421430845,99.10023319689539,273139.0593715747,0.0,0.0,101.32294999887525,15.933431302577764,1423.5556023354977,294792.96098398603
0.0,255.14514014766328,0.0,16.35881477280538,109.6334979309226,99.85289735666655,273950.55316146463,0.0,0.0,102.46702097369378,15.987629552433146,1424.8650436487121,295505.4000414763
0.0,254.97600592454603,0.0,16.426057411754382,110.03139381911772,100.25150952908884,274743.4075198974,0.0,0.0,103.19884759434316,16.063316296751612,1425.6484544551543,296182.85425192124
0.0,255.38431803618127,0.0,16.49485284540105,110.60080936811984,100.93762422376405,275359.0810571247,0.0,0.0,104.27590542457402,16.11746736801641,1428.8063221529428,296613.24329110165
0.0,255.82505281851994,0.0,16.560713822230518,110.99789013882172,101.33988794347299,275913.8385418874,0.0,0.0,105.12933634826362,16.187323270493312,1430.7371166073033,297318.9018725013
0.0,256.05913643246924,0.0,16.57869004337854,111.49830518776194,102.01855403708402,276508.5941463259,0.0,0.0,106.17222604042784,16.241093084709586,1431.5088454246065,297852.21699933166
0.0,256.6663426073934,0.0,16.64335038021865,111.89370427536248,102.41776442375006,276834.2368166591,0.0,0.0,107.24903696548861,16.355054575924456,1435.0412671028027,298514.24209990824
0.0,257.0432234944348,0.0,16.780051135085277,112.52619720738808,103.27129783095414,277362.7618573074,0.0,0.0,108.71486035550272,16.408577819771494,1438.199290049057,298808.4191192096
0.0,257.6395921560985,0.0,16.845308160267592,112.92003660761776,103.6737221847889,277610.5697341679,0.0,0.0,109.68839657810071,16.532613761665488,1440.9260066708498,299448.5777234508
0.0,258.2640419582413,0.0,16.987211767994033,113.65713949454467,104.24000130716861,278142.06509686896,0.0,0.0,111.07407546725061,16.586163730734892,1442.8725880598781,299760.28332856676
0.0,258.67014156570264,0.0,17.05282444041214,114.05080010204206,104.63862955719486,278431.8678522559,0.0,0.0,111.94292895552442,16.673216146164023,1445.044741815952,300403.975913957
0.0,258.92805545899125,0.0,17.177242253277758,114.73901438715323,105.37016211167841,278960.92874163337,0.0,0.0,113.02032668431266,16.72684933035347,1445.8868759095715,300698.3428643495
0.0,259.34131118370243,0.0,17.24320815965823,115.13192784733286,105.76951238600392,279218.76284954883,0.0,0.0,113.76228054096534,16.879193787385198,1447.0213659003953,301330.2625478571
0.0,259.6082208444576,0.0,17.385591168689036,115.95951299010342,106.54526310894228,279747.73133244604,0.0,0.0,115.23247408066295,16.93284099057022,1448.8396214088687,301619.4352191547
0.0,259.59865273752007,0.0,17.45191835225189,116.35352186100057,106.9438485190549,280015.48967035406,0.0,0.0,116.20337705993862,16.991100026173275,1450.453433719515,302246.21420286887
0.0,260.08527315199933,0.0,17.556495967906706,117.09259123933668,107.8707392334404,280542.476711767,0.0,0.0,117.24377030482461,17.044866795999475,1452.8938534794424,302536.2367864786
0.0,259.86272750409387,0.0,17.6220259062682,117.48713469335918,108.27356995616339,280777.09469484515,0.0,0.0,118.32168032478694,17.110421189947115,1455.2705495116936,303163.7537554145
0.0,259.91741591268567,0.0,17.677260223824312,118.08229805137725,108.94480491579377,281311.34216638654,0.0,0.0,119.50700385389301,17.16514314940626,1456.5472667691104,303465.4210964546
0.0,260.3276887683005,0.0,17.74201851797978,118.47595205099438,109.3457910269945,281576.64811881527,0.0,0.0,120.47178153964926,17.279251784954468,1458.8393582339918,304089.09240353294
0.0,260.58962048659833,0.0,17.852747064739265,119.14464570409612,110.25818758172541,282097.34931582987,0.0,0.0,121.89138158968717,17.333723718558883,1461.6379495716258,304399.1399824952
0.0,261.45130776831815,0.0,17.917722586781256,119.5375988175515,110.6612683396142,282345.5210904012,0.0,0.0,122.95942239201277,17.442154925449536,1464.8298484738293,305032.676769306
0.0,262.0194739005632,0.0,18.027323768434695,120.12228460832438,111.29181425568207,282880.0042239738,0.0,0.0,124.08921030408155,17.497374207975923,1465.5716667659017,305317.9412905158
0.0,262.4830648773901,0.0,18.09249399400121,120.5138646910623,111.69357458330835,283138.7305318372,0.0,0.0,125.04460716033394,17.655474430389777,1468.212321851432,305954.16854280874
0.0,262.9849989165758,0.0,18.217417113719243,121.13170415601749,112.48603151280237,283669.14870647894,0.0,0.0,125.98048443891518,17.711422450761606,1469.0987371234082,306250.2015975968
0.0,263.09618306329435,0.0,18.282805801715774,121.52202061154514,112.89001655727299,283908.8639509683,0.0,0.0,126.70602248310769,17.829745181258282,1470.8032415973853,306879.5093845785
0.0,263.4594188599023,0.0,18.442070635758785,122.22819833022183,113.57296334433065,284444.71236041107,0.0,0.0,128.03640943108698,17.886271457221103,1472.2250496566744,307167.86829915486
0.0,263.8775666625533,0.0,18.507597165827562,122.61795999478177,113.97440617765862,284716.2629520801,0.0,0.0,128.78029491821263,17.9755054767142,1473.629426528247,307795.6000103932
0.0,264.1760493954838,0.0,18.601811574759576,123.39800375330998,114.77144993247003,285247.56996749464,0.0,0.0,130.03002586935315,18.03263929956628,1475.572098463656,308094.01013144816
0.0,264.18534601628704,0.0,18.66670459659663,123.78855295112989,115.17445596739611,285500.6223926434,0.0,0.0,130.99199984148524,18.17065783539197,1477.9811395636414,308722.07468129805
0.0,264.608673276248,0.0,18.753653105250738,124.54211466036031,115.94095488917144,286022.5881249938,0.0,0.0,132.317490134718,18.22834143556604,1479.650316929073,309005.08221087704
0.0,264.4558189226731,0.0,18.8179887473517,124.93322498378342,116.34404133160693,286285.74876691715,0.0,0.0,133.28324560499829,18.301134301593052,1481.7682701439396,309628.97740516544
0.0,264.7303504839543,0.0,18.937822049788537,125.6971467526145,117.327159034303,286806.8469644947,0.0,0.0,134.78010299430966,18.358501184334237,1484.37796237163,309909.77960610477
0.0,264.6373191839852,0.0,19.002314026284665,126.08884917914598,117.73323710501644,287083.21876850363,0.0,0.0,135.85289705284043,18.425766914195734,1487.1859316428568,310532.35444125714
0.0,265.1994825052088,0.0,19.077473682709236,126.72971415376712,118.43925301874799,287613.84582730324,0.0,0.0,137.05700246073943,18.482573503988345,1488.62543109072,310817.69767186133
0.0,265.6617888606149,0.0,19.142190875365486,127.12199814714039,118.8441126153765,287889.17558246834,0.0,0.0,138.01768418744993,18.64507318426668,1490.9249988963547,311446.72844896227
0.0,265.77275149401106,0.0,19.265584349959607,127.69142907099942,119.66263876845454,288409.80456646194,0.0,0.0,139.3324801194569,18.702410522671624,1492.5610096055318,311757.71854704636
0.0,266.4828547118733,0.0,19.330410866662923,128.08367927420412,120.06899559631182,288668.4216688981,0.0,0.0,140.40280545731534,18.838752666238033,1494.53643292469,312378.7275049935
0.0,266.6380735846463,0.0,19.49120093317856,128.77304123598992,120.7780598098713,289195.7686385625,0.0,0.0,141.52586372313073,18.896498995812745,1494.9894709509138,312682.9156042343
0.0,267.14008000628394,0.0,19.556132100373816,129.16420963826624,121.1832026481385,289476.31845039,0.0,0.0,142.36614122170877,19.035302500228113,1496.2247413633443,313308.52220537426
0.0,267.36739225833253,0.0,19.681116574720857,129.69233781940403,122.08443254238558,290000.4792658373,0.0,0.0,143.22947124034988,19.093446835447114,1496.746705073126,313609.56921134045
0.0,267.81637924267477,0.0,19.746286798837726,130.0825465261547,122.49144975690243,290261.79857232736,0.0,0.0,144.09164257557015,19.15728519428418,1498.006147945545,314246.6939992135
0.0,267.91892881821366,0.0,19.837490579009827,130.7100817017502,123.11891515200105,290793.6486272325,0.0,0.0,145.33743949002786,19.21584286538052,1498.7299175501669,314564.21880685474
0.0,267.90850840045306,0.0,19.902229211979016,131.0997870186927,123.52392488765688,291082.11636453314,0.0,0.0,146.07801769595937,19.311562604760272,1499.9044495802873,315186.4298951783
0.0,268.2153844062483,0.0,20.017906391796075,131.95575511137613,124.60794227546309,291607.3505453306,0.0,0.0,147.74613742380984,19.369862748259273,1502.7202616371858,315524.7388365937
0.0,268.16343475468614,0.0,20.082230913961887,132.34612555401,125.01617249759599,291884.3319716288,0.0,0.0,148.71296177485897,19.482013202531178,1504.61326661826,316146.67900470964
0.0,268.45234439713414,0.0,20.18127867490995,133.06292116211117,125.78119798200821,292418.9915612007,0.0,0.0,149.8302514441007,19.54003018892334,1504.5625569212843,316461.7984946896
0.0,268.32095057418576,0.0,20.24572451919044,133.45291181965314,126.18783688770317,292711.6410687033,0.0,0.0,150.90392917483857,19.66407589714173,1506.7450891136268,317082.4932180267
0.0,268.8340738846229,0.0,20.36330426277898,134.09667491215365,127.14720049655043,293237.0136311697,0.0,0.0,152.2761467252403,19.722448157025987,1508.6811093337465,317382.44723226613
0.0,269.30709948830594,0.0,20.42792770013305,134.48698019732416,127.55562496680197,293516.6190139176,0.0,0.0,153.24038527282661,19.863388335836422,1510.6860285349546,318001.1438149986
