timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,policy_cpu_usage,server_cpu_usage,sidecar_cpu_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,policy_memory_usage,server_memory_usage,sidecar_memory_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,policy_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,policy_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-09-17 14:52:40.743999958,4255.865084745765,6777.146440677967,7046.582033898306,6944.744745762717,276071.2108474576,3135.8044067796613,5898.52372881356,2838.102711864405,15182.273898305073,6731.099999999999,71242.56191193558,678948.1213405184,0.007219421915870173,0.00784685829058758,0.006397766160705724,0.0005364415491781861,0.00597585312370445,0.016233662604265484,206577.16401476497,218083.90422902186,126650.17254280836,3905.7842556031133,237689.4556487534,396382.16432383534,163761.1853260367,171654.27778690684,102513.67277567941,28.596345983671362,232774.64203198632,304497.98141113936,0.0,0.0,0.0,0.0,0.0,0.0,0.0028586946453761177,0.006238276744186814,0.006654583200944951,0.006526961033779437,0.2519696306999368,0.0028249052206941448,0.005282882483009917,0.0026703672697718766,0.013995991762355553,0.006362053125364868,0.05433341524178742,0.6064332271788992,0.0017819166629915969,0.005045512844235292,0.004721696619882354,0.004654330236056023,0.14266516648068345,0.0017097050829355737,0.0030605782072436988,0.0016442856011764705,0.0077815929382296905,0.005434169979439775,0.032025149783174583,0.38171595867978353
2026-09-17 14:52:55.743999958,4255.865084745765,6777.146440677967,7046.582033898306,6963.45254237288,276100.2274576271,3135.8044067796613,5889.6976271186395,2838.102711864405,15182.273898305073,6735.923389830509,71058.94779661015,678607.5566525678,0.007219421915870173,0.00784685829058758,0.006397766160705724,0.0005364415491781861,0.00597585312370445,0.016012904460753187,206577.16401476497,218083.90422902186,126650.17254280836,3905.7842556031133,237689.4556487534,387515.58128301793,163761.1853260367,171654.27778690684,102513.67277567941,28.596345983671362,232774.64203198632,293175.57193650363,0.0,0.0,0.0,0.0,0.0,0.0,0.0028616477103830334,0.006244720406358322,0.006661455406339143,0.0065336998764488705,0.2522288820972325,0.002827822595521254,0.005288318940654547,0.0026731246923168282,0.014010386608085582,0.006368620634700968,0.05440164130689143,0.6070572828823102,0.0017819166629915969,0.005045512844235292,0.004721696619882354,0.00466330043552941,0.1427614958048254,0.0017097050829355737,0.0030633943014005596,0.0016442856011764705,0.0077815929382296905,0.005442077628857141,0.032047097598790174,0.38182603010303023
2026-09-17 14:53:10.743999958,4221.997627118642,6771.71288135593,7065.964067796613,6963.45254237288,276088.3840677966,3149.9389830508458,5889.6976271186395,2853.3081355932177,15179.5433898305,6735.923389830509,70862.77220338983,678243.2011587312,0.007000859771107542,0.00784685829058758,0.006397766160705724,0.0005279542871186735,0.00597585312370445,0.015912268491310524,207627.73287145726,218083.90422902186,126650.17254280836,4124.815827470738,237689.4556487534,386983.7203713766,163564.97016762805,171654.27778690684,102513.67277567941,30.19999385579552,232774.64203198632,293177.0484391828,0.0,0.0,0.0,0.0,0.0,0.0,0.002862736470232507,0.006254071397304499,0.006668350886237833,0.006541980984570983,0.2524911704280313,0.002831279817130395,0.005293068392646182,0.002674354615338476,0.014023978260733242,0.006374717456276768,0.0543829211710168,0.6076491339272859,0.0017839493291204476,0.005051112039663866,0.004730550392997198,0.00466330043552941,0.14295687088528852,0.0017123511202521006,0.0030633943014005596,0.0016437083921568621,0.007797033852638655,0.005442077628857141,0.032096747699236115,0.3823123724413491
2026-09-17 14:53:25.743999958,4221.997627118642,6771.71288135593,7065.964067796613,6967.851864406775,276092.88406779664,3149.9389830508458,5885.78949152542,2853.3081355932177,15179.5433898305,6734.2149152542415,70656.53796610169,678599.5036818802,0.007213667171176051,0.00784685829058758,0.006397766160705724,0.0005257999591294683,0.00596034630630365,0.01584238052724813,213939.0602596794,218083.90422902186,126650.17254280836,3908.517546673622,249525.8120086601,389091.97985532915,168536.90749842668,171654.27778690684,102513.67277567941,28.61635787680504,244294.1195262986,295696.7059164474,0.0,0.0,0.0,0.0,0.0,0.0,0.0028656876107283746,0.006260518060871992,0.006675223115921028,0.006548721419488338,0.2527504249437482,0.00283419774929293,0.005298504144017924,0.002677110461068503,0.014038372280966438,0.006381284480725804,0.05445036546984126,0.6082731564837327,0.0017839493291204476,0.005051112039663866,0.004730550392997198,0.004671708224425768,0.1430520469355462,0.0017123511202521006,0.0030678599256638655,0.0016437083921568621,0.007797033852638655,0.005449810144873951,0.03211806717442289,0.3824829225432535
2026-09-17 14:53:40.743999958,4182.8491525423715,6771.606101694918,7073.609491525418,6967.851864406775,276115.49389830505,3173.4793220338984,5885.78949152542,2854.1593220338973,15204.490169491513,6734.2149152542415,70445.01355932203,678478.6559869825,0.007213667171176051,0.007649873708043742,0.006389565443457362,0.0005257999591294683,0.0058485633511184305,0.01564215882158249,213939.0602596794,208527.9970248339,132510.2730174849,3908.517546673622,238527.3258792824,383674.52257261076,168536.90749842668,164132.80408836648,106876.10558441802,28.61635787680504,233373.25286511047,290682.21211237356,0.0,0.0,0.0,0.0,0.0,0.0,0.0028686387512242423,0.0062669647244394866,0.006682095345604224,0.006555461854405692,0.2530096794594651,0.0028371156814554644,0.005303939895389667,0.0026798663067985305,0.014052766301199632,0.006387851505174839,0.05451780976866571,0.6088971790401797,0.0017845356401176465,0.005061391018218488,0.004736860092823527,0.004671708224425768,0.1432423555745546,0.0017148087572549015,0.0030678599256638655,0.001643076216134454,0.00781994933768067,0.005449810144873951,0.03216153249626398,0.3829824512934223
2026-09-17 14:53:55.743999958,4182.8491525423715,6771.606101694918,7073.609491525418,6968.9440677966095,276094.220338983,3173.4793220338984,5878.61084745763,2854.1593220338973,15204.490169491513,6721.58135593221,70245.42580816305,678359.2295200635,0.007020793430040646,0.007649873708043742,0.006231292219816528,0.0005257999591294683,0.0058485633511184305,0.015524273886421497,223173.9336816603,208527.9970248339,126478.47251710927,3908.517546673622,238527.3258792824,378154.1691511644,160169.32752393052,164132.80408836648,102011.15939977596,28.61635787680504,233373.25286511047,285347.6623003158,0.0,0.0,0.0,0.0,0.0,0.0,0.00287158989172011,0.006273411388006979,0.006688967575287421,0.006562202289323048,0.2532689339751821,0.0028400336136179985,0.005309375646761408,0.0026826221525285583,0.014067160321432829,0.006394418529623875,0.05458525406749015,0.6095212015966266,0.0017845356401176465,0.005061391018218488,0.004736860092823527,0.004677386739126051,0.1433334500487245,0.0017148087572549015,0.003071671012941177,0.001643076216134454,0.00781994933768067,0.005455500434593838,0.032202791890835795,0.3831043190452793
2026-09-17 14:54:10.743999958,4142.4101694915225,6778.864067796608,7099.44406779661,6968.9440677966095,276141.75864406774,3180.340677966103,5878.61084745763,2856.142372881357,15222.182033898305,6721.58135593221,70031.34672429397,678617.8963391761,0.007020793430040646,0.0074406617701180565,0.006231292219816528,0.0005257999591294683,0.0058485633511184305,0.015449514000589123,223173.9336816603,214292.93348021762,126478.47251710927,3908.517546673622,238527.3258792824,379803.79954144126,160169.32752393052,168645.5656311264,102011.15939977596,28.61635787680504,233373.25286511047,286439.18905333325,0.0,0.0,0.0,0.0,0.0,0.0,0.002870575883800091,0.006280625375271332,0.006697015781054229,0.006567962051159945,0.2535239143946111,0.002843846771427892,0.005313925726989982,0.0026841340010024697,0.014081379873536796,0.006400768852388661,0.054571879328666084,0.6100858488684084,0.001783881177647058,0.005069287319098038,0.004752538021714285,0.004677386739126051,0.14353225884666665,0.0017174668644817923,0.003071671012941177,0.001642336008627451,0.007834298766274509,0.005455500434593838,0.03224542160372917,0.3836674695458286
2026-09-17 14:54:25.743999958,4142.4101694915225,6778.864067796608,7099.44406779661,6963.33355932204,276141.15762711863,3180.340677966103,5871.694576271185,2856.142372881357,15222.182033898305,6722.990847457632,69842.12314284994,678706.9423123313,0.007020793430040646,0.007685306311340754,0.006231292219816528,0.0005257999591294683,0.0058485633511184305,0.015317349089394501,223173.9336816603,221338.75789990523,126478.47251710927,3908.517546673622,238527.3258792824,374115.10143619275,160169.32752393052,174190.53169836034,102011.15939977596,28.61635787680504,233373.25286511047,280236.82245896617,0.0,0.0,0.0,0.0,0.0,0.0,0.0028735229479290355,0.0062870728279462275,0.006703889220011705,0.006574701478114677,0.25378316453782596,0.0028467656239656155,0.005319360571593807,0.0026868885678748965,0.014095773715408377,0.0064073356545148626,0.05463295411331807,0.6107098105786687,0.001783881177647058,0.005069287319098038,0.004752538021714285,0.004680684483428572,0.14362798745667038,0.0017174668644817923,0.0030786146438655446,0.001642336008627451,0.007834298766274509,0.005463761223619048,0.032292339726203385,0.38378951297913494
2026-09-17 14:54:40.743999958,4101.187118644069,6792.394576271189,7120.162372881359,6963.33355932204,276213.3162711864,3180.5725423728786,5871.694576271185,2865.700677966101,15247.43694915255,6722.990847457632,69640.93833375094,678973.0574753998,0.007020793430040646,0.007685306311340754,0.006231292219816528,0.000506918870671381,0.0058485633511184305,0.015373487120594945,223173.9336816603,221338.75789990523,126478.47251710927,4036.260725016808,238527.3258792824,376233.9058108189,160169.32752393052,174190.53169836034,102011.15939977596,29.551634350336606,233373.25286511047,281742.94761234603,0.0,0.0,0.0,0.0,0.0,0.0,0.0028764700120579786,0.006293520280621125,0.006710762658969182,0.006581440905069409,0.25404241468104094,0.002849684476503338,0.005324795416197632,0.0026896431347473255,0.014110167557279963,0.006413902456641062,0.05469402889797004,0.6113337722889289,0.001783536096801121,0.005077883126218488,0.004762508782352942,0.004680684483428572,0.1438254200290476,0.001720415616672268,0.0030786146438655446,0.0016420796074565825,0.007856608130319328,0.005463761223619048,0.03232904443000387,0.3842252791596372
2026-09-17 14:54:55.743999958,4101.187118644069,6792.394576271189,7120.162372881359,6962.540338983047,276233.2993220339,3180.5725423728786,5872.844745762714,2865.700677966101,15247.43694915255,6731.88101694915,69501.8208149419,678684.9474927972,0.006999091423697228,0.007685306311340754,0.006231292219816528,0.0005274491747981559,0.0058485633511184305,0.015200951726453197,211950.84363102957,221338.75789990523,126478.47251710927,4199.729999912419,238527.3258792824,375101.8417132889,166763.65240500748,174190.53169836034,102011.15939977596,30.748480780322772,233373.25286511047,281647.6304036666,0.0,0.0,0.0,0.0,0.0,0.0,0.0028794170761869227,0.006299967733296024,0.006717636097926656,0.0065881803320241425,0.25430166482425587,0.002852603329041061,0.005330230260801459,0.0026923977016197536,0.014124561399151548,0.006420469258767262,0.054755103682622014,0.6119577339991892,0.001783536096801121,0.005077883126218488,0.004762508782352942,0.004683795966168067,0.14392060429079737,0.001720415616672268,0.003085935440067226,0.0016420796074565825,0.007856608130319328,0.005470117820588234,0.032374439877034464,0.3841928470530444
