,api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy,api-gateway_sidecar_energy_anomaly,api-gateway_sidecar_energy_anomaly_score,clientone_sidecar_energy_anomaly,clientone_sidecar_energy_anomaly_score,clientthree_sidecar_energy_anomaly,clientthree_sidecar_energy_anomaly_score,clienttwo_sidecar_energy_anomaly,clienttwo_sidecar_energy_anomaly_score,orchestrator_sidecar_energy_anomaly,orchestrator_sidecar_energy_anomaly_score,policy-enforcer_sidecar_energy_anomaly,policy-enforcer_sidecar_energy_anomaly_score,server_sidecar_energy_anomaly,server_sidecar_energy_anomaly_score
0,574.1622857142859,978.207085714286,859.2723428571426,900.2873142857139,561.3531428571428,564.6432000000001,1039.5776475941493,-1,-0.1520755468887831,-1,-0.033101519261462986,1,0.07751768033494166,-1,-0.11164674742536951,-1,-0.08019224692650173,1,0.05237416756297619,1,0.005564073127936442
1,575.3945142857144,978.9404571428572,855.6983999999997,899.3019428571431,561.2801142857141,563.7390857142858,1041.431314285714,-1,-0.002538149523927724,-1,-0.07621606199628483,-1,-0.10775688877210354,-1,-0.04096457151873556,-1,-0.07551102273988652,1,0.05772246461627406,1,0.025396252747032555
2,575.2193142857142,978.361714285714,859.6765714285712,899.3019428571431,554.7699428571432,563.4651428571428,1040.646514285714,1,0.03879715983730597,-1,-0.01443381757358353,1,0.053249336937877145,-1,-0.04096457151873556,1,0.016650582691465576,1,0.0690119588351612,1,0.043973475683235896
3,575.2302857142856,987.762857142857,862.5085714285711,905.9362285714282,552.4985142857145,561.0778285714285,1046.7072166466894,1,0.041930452893062686,-1,-0.1002728155582,-1,-0.027305217588319608,-1,-0.03659985198015081,1,0.06305626431877637,-1,-0.18677192326579495,1,0.015467329865537505
4,577.8949714285716,991.9237714285712,867.818742857143,905.9362285714282,549.3582857142856,563.3091428571431,1052.7476737895463,1,0.11856245494399759,-1,-0.1061367359571247,-1,-0.036113310675783605,-1,-0.03659985198015081,-1,-0.056208436803334094,1,0.05647201130622154,-1,-0.051917032259181206
5,577.6052571428572,1010.0674285714288,872.5100571428571,922.3357714285712,548.0845714285713,562.6652571428574,1059.1206857142854,1,0.1088373825739336,1,0.01747131362694493,-1,-0.019608200757682992,-1,-0.03878135394924165,1,0.019710582854812364,-1,-0.04078556230317676,-1,-0.032056717765928
6,577.6902857142857,1013.5676571428572,871.2383999999998,922.3357714285712,548.0598857142857,564.4882285714286,1063.786628571428,1,0.1145926380738469,1,0.05757484053006445,-1,-0.033939682639218316,-1,-0.03878135394924165,1,0.020715991889662444,1,0.08026921012355248,-1,-0.09806457924976197
7,578.0231999999999,1016.1891428571428,872.9245714285711,922.4321142857144,547.6522285714285,564.4128000000002,1061.7678857142855,1,0.11216452586038239,-1,-0.032618307030155,-1,-0.05226691904488323,-1,-0.03878135394924165,-1,-0.07312731306096598,1,0.07400376145753995,1,0.015856617436060316
8,582.909257142857,1015.8802285714283,869.3276571428571,922.4321142857144,551.6718857142858,568.5349714285716,1061.2337142857143,-1,-0.16048707109396143,-1,-0.006672486953956058,-1,-0.030878885631207775,-1,-0.03878135394924165,-1,-0.0035380394630075696,-1,-0.03677294751506821,1,0.023637626840995463
9,584.2134857142854,1013.0622857142852,864.6075428571428,913.1516571428572,552.4371428571429,569.0821714285715,1045.641061364429,-1,-0.20699742279160027,1,0.07380037345159096,-1,-0.03214804422320383,1,0.017975482405428067,1,0.0627897883255964,-1,-0.0949062849961716,1,0.024159271527259774
10,578.4459428571429,1006.9631999999998,857.3571038295006,913.1516571428572,554.4096,566.8868571428569,1030.8982042215723,1,0.01947127701196283,-1,-0.076825667104782,1,0.002950048681372719,1,0.017975482405428067,1,0.04296819516001099,-1,-0.001595898795718087,-1,-0.017109991206154973
11,577.1715428571429,1011.5640000000004,858.686561115215,913.6877106942852,553.7811428571429,567.1902857142856,1030.9234285714283,1,0.04658988065451852,1,0.06823320146128037,1,0.06544615430084094,1,0.009307597640617615,1,0.03795614121930685,1,0.018080114407785175,-1,-0.01794850511088608
12,577.9604571428572,1012.2142697000004,858.9397714285718,913.7132571428568,560.204914285714,567.7652571428573,1029.5608383071426,1,0.1197237278924489,1,0.07605562727717863,1,0.07940989801143056,1,0.0069166946065501445,-1,-0.130980660298342,-1,-0.0006594332392193536,-1,-0.12021419275040257
