timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,policy_cpu_usage,rabbitmq_cpu_usage,sidecar_cpu_usage,policy_memory_usage,rabbitmq_memory_usage,sidecar_memory_usage,policy_memory_rss_usage,rabbitmq_memory_rss_usage,sidecar_memory_rss_usage,policy_memory_cache_usage,rabbitmq_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal
2026-05-02 19:22:57.463999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00130500615188612,0.0,0.0,199297.51568512814,0.0,0.0,65443.6426146825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-02 19:23:27.463999987,0.0,0.0,0.0,0.0,0.0,40.000062706270626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-02 19:23:42.463999987,0.0,0.0,0.0,0.0,0.0,54.158478547854784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-02 19:23:57.463999987,0.0,0.0,0.0,0.0,0.0,64.97428605941452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-02 19:24:12.463999987,0.0,0.0,0.0,0.0,0.0,78.30656417134574,0.0,0.0,0.0,0.0,0.0,0.16272269990923635,0.0,0.0,1202912.4652949248,0.0,0.0,929115.6917786925,0.0,0.0,168670.97635116597,0.0,0.0,0.0,0.0,0.0,0.0,8.38430471111111e-06,0.0,0.0,0.0,0.0
2026-05-02 19:24:27.463999987,0.0,0.0,0.0,0.0,0.0,90.8854776091208,0.0,0.0,0.0,0.0,0.0031668408187852564,0.19806856814130286,0.0,264294.7997636783,1462692.6637940775,0.0,86595.6929207743,1131172.4657640064,0.0,0.0,205531.01024126523,0.0,0.0,0.0,0.0,0.0,0.0,9.866138044444443e-06,0.0,0.0,0.0,0.0
2026-05-02 19:24:42.463999987,0.0,0.0,0.0,0.0,0.0,104.09315162458884,0.0,0.0,0.0,0.0,0.0031668408187852564,0.23341443637336934,0.0,264294.7997636783,1722472.8622932304,0.0,86595.6929207743,1333229.2397493208,0.0,0.0,242391.04413136447,0.0,0.0,0.0,0.0,0.0,0.0,1.1347971377777776e-05,0.0,0.0,0.0,0.0
2026-05-02 19:24:57.463999987,0.0,0.0,0.0,0.0,0.0,100.3009156369455,0.0,0.0,0.0,0.0,0.0,0.2687603046054358,0.0,0.0,1982253.0607923828,0.0,0.0,1535286.013734635,0.0,0.0,279251.0780214637,0.0,0.0,0.0,0.0,0.0,0.0,1.2829804711111113e-05,0.0,0.0,0.0,0.0
2026-05-02 19:25:12.463999987,0.0,0.0,0.0,0.0,0.0,100.3009156369455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3924180844444442e-05,0.0,0.0,0.0,0.0
2026-05-02 19:25:27.463999987,0.0,0.0,0.0,0.0,0.0,102.88801200466847,0.0,0.0,0.0,0.0,0.0019405592509291103,0.23632052937563386,0.0,0.0,328583.37023440516,0.0,0.0,30482.89456768609,0.0,0.0,227422.2863427943,0.0,0.0,0.0,0.0,0.0,0.0,1.5362139177777775e-05,0.0,0.0,0.0,0.0
2026-05-02 19:25:42.463999987,0.0,0.0,0.0,0.0,0.0,102.88801200466847,0.0,0.0,0.0,0.0,0.0019405592509291103,0.23632052937563386,0.0,0.0,328583.37023440516,0.0,0.0,30482.89456768609,0.0,0.0,227422.2863427943,0.0,0.0,0.0,0.0,0.0,0.0,1.6800097511111106e-05,0.0,0.0,0.0,0.0
2026-05-02 19:25:57.463999987,0.0,0.0,0.0,0.0,0.0,107.903989332148,0.0,0.0,0.0,0.0,0.0019405592509291103,0.23632052937563383,0.0,0.0,328583.3702344051,0.0,0.0,30482.894567686086,0.0,0.0,227422.28634279428,0.0,0.0,0.0,0.0,0.0,0.0,1.8238055844444443e-05,0.0,0.0,0.0,0.0
2026-05-02 19:26:12.463999987,0.0,0.0,0.0,0.0,0.0,107.903989332148,0.0,0.0,0.0,0.0,0.0019405592509291103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0253227970370372e-05,0.0,0.0,0.0,0.0
2026-05-02 19:26:27.463999987,0.0,0.0,0.0,0.0,0.0,107.5027502750275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1736172414814817e-05,0.0,0.0,0.0,0.0
2026-05-02 19:26:42.463999987,0.0,0.0,0.0,0.0,0.0,107.5027502750275,0.0,0.0,0.0,0.0,0.0019549421249494647,0.0,0.000866843253349953,569.3489688637283,0.0,33020.174238215885,569.3489688637283,0.0,38403.29508041242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.321911685925926e-05,0.0,0.0,0.0,0.0
2026-05-02 19:26:57.463999987,0.0,0.0,0.0,0.0,0.0,104.58000000000001,0.0,0.0,0.0,0.0,0.0019549421249494647,0.0,0.000866843253349953,569.3489688637283,0.0,33020.174238215885,569.3489688637283,0.0,38403.29508041242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4702061303703702e-05,0.0,0.0,0.0,0.0
2026-05-02 19:27:12.463999987,0.0,0.0,0.0,0.0,0.0,104.58000000000001,0.0,0.0,0.0,0.0,0.0019549421249494647,0.031408540733246657,0.000866843253349953,569.3489688637283,11366.26680156092,33020.174238215885,569.3489688637283,13339.577010165247,38403.29508041242,0.0,78.93240834417306,0.0,0.0,0.0,0.0,0.0,0.0,2.5644195133333334e-05,0.0,0.0,0.0,0.0
2026-05-02 19:27:27.463999987,0.0,0.0,0.0,0.0,0.0,100.82384185436645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7095007633333328e-05,0.0,0.0,0.0,0.0
2026-05-02 19:27:42.463999987,0.0,0.0,0.0,0.0,0.0,100.82384185436645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.854582013333333e-05,0.0,0.0,0.0,0.0
2026-05-02 19:27:57.463999987,0.0,0.0,0.0,0.0,0.0,103.31662758781627,0.0,0.0,0.0,0.0,0.0021944435927809744,0.0,0.0,513.7481708591736,0.0,0.0,456.66504076370984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9996632633333336e-05,0.0,0.0,0.0,0.0
2026-05-02 19:28:12.463999987,0.0,0.0,0.0,0.0,0.0,103.31662758781627,0.0,0.0,0.0,0.0,0.0021944435927809744,0.0,0.0,513.7481708591736,0.0,0.0,456.66504076370984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1503428266666664e-05,0.0,0.0,0.0,0.0
2026-05-02 19:28:27.463999987,0.0,0.0,0.0,0.0,0.0,108.89162972099066,0.0,0.0,0.0,0.0,0.002194443592780975,0.0,0.0,513.7481708591737,0.0,0.0,456.6650407637099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295692826666666e-05,0.0,0.0,0.0,0.0
2026-05-02 19:28:42.463999987,0.0,0.0,0.0,0.0,0.0,108.8916297209907,0.0,0.0,0.0,0.0,0.0,0.03114962064222152,0.0,0.0,1639641.3188324808,0.0,0.0,1095617.934058376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.441042826666666e-05,0.0,0.0,0.0,0.0
