timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal
2026-05-03 11:32:15.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017828577053698872,0.0,0.002198796941308352,0.0,0.0008613458304545594,0.0,0.0,0.0015365547321741166,0.0013159087184145364,0.0,645.1346163311513,0.0,573.9450716630635,0.0,271728.22672106995,0.0,0.0,836.5036760415452,3448.0255668805703,0.0,103705.38957523256,0.0,127046.84122027383,0.0,91145.62448670986,0.0,0.0,193471.35021589452,236535.44956950482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:32:30.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008613458304545594,0.0,0.0,0.0,0.0017390856280653148,0.0,0.0,0.0,0.0,0.0,271728.22672106995,0.0,0.0,0.0,4319.873561090955,0.0,0.0,0.0,0.0,0.0,91145.62448670986,0.0,0.0,0.0,237407.2975637152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:32:45.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02684335023236161,0.0,0.0012837942882904687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.184199408534,0.0,1897.8527710053086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.8305872412336,0.0,1897.8527710053086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.52302492606675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:33:00.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015195736162455507,0.0,0.0,0.0,0.0,0.0,0.0,0.02684335023236161,0.004570093288102737,0.002730616366038514,342113.0559181832,0.0,0.0,0.0,0.0,0.0,0.0,692.184199408534,312534.6256360552,96698.72602577526,266514.4835413847,0.0,0.0,0.0,0.0,0.0,0.0,302.8305872412336,311393.263872062,95795.47176499336,77.45171103424074,0.0,0.0,0.0,0.0,0.0,0.0,86.52302492606675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:33:15.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.646197599999997,0.017682367610793604,0.027388731111957273,0.01604846637049082,0.0,0.0,0.0,0.0,0.0,0.004570093288102737,0.002210720436876917,391896.18120018044,299041.74330949545,214241.45106807203,0.0,0.0,0.0,0.0,0.0,312534.6256360552,94953.62358107985,289843.2847044669,256777.1849721311,172733.16104803662,0.0,0.0,0.0,0.0,0.0,311393.263872062,94050.36932029795,92.85252318644409,1168.0285740433264,982.7097573487423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:33:30.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.124197599999995,0.01989305158670477,0.03165027803373688,0.0,0.03644568489229982,0.003967515697089533,0.0,0.0,0.0,0.0,0.019335384174095464,398265.00225597835,314982.18044424686,0.0,403268.06271242193,14137.856870295207,0.0,0.0,0.0,0.0,457521.20097478444,289843.2847044669,263413.3535541058,0.0,271420.0635895187,13889.201096194538,0.0,0.0,0.0,0.0,371875.7032922981,108.25333533864742,1395.616854711135,0.0,141.28004093118446,0.0,0.0,0.0,0.0,0.0,1310.9208544603598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:33:45.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.41367501166744,0.0,0.03409237537423681,0.0,0.03845877864269269,0.0,0.0005462515132725108,0.0,0.0,0.0,0.02514206965121434,0.0,314982.18044424686,0.0,403268.06271242193,0.0,80.62912766606628,0.0,0.0,0.0,402225.07263989496,0.0,263413.3535541058,0.0,271420.0635895187,0.0,120.94369149909943,0.0,0.0,0.0,345599.16971158504,0.0,1623.2051353789434,0.0,163.73371925592954,0.0,0.0,0.0,0.0,0.0,604.5097924258519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:34:00.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5976706113741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09906034351023534,0.0,0.06719862036623878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059892.6490719812,0.0,1014356.0617744034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014056.9864060361,0.0,856321.0231531466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5085.606952978255,0.0,3217.895837315132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9604464499999994e-06
2026-05-03 11:34:15.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.03471254430899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09906034351023534,0.0,0.1104517995633654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059892.6490719812,0.0,1115586.638600026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014056.9864060361,0.0,893529.9156121698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5085.606952978255,0.0,11015.554757830021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.203029783333332e-06
2026-05-03 11:34:30.950999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.26058566777415,0.0,0.07789459069397825,0.0,0.0,0.0,0.0,0.0,0.09906034351023534,0.1161680774159854,0.02450028031889517,0.0,169367.6862226004,0.0,0.0,0.0,0.0,0.0,1059892.6490719812,234616.60536339923,122645.44507911043,0.0,97592.96553680328,0.0,0.0,0.0,0.0,0.0,1014056.9864060361,75642.39639383984,71050.38782442978,0.0,27392.47467918919,0.0,0.0,0.0,0.0,0.0,5085.606952978255,48339.84453345849,5790.880007862559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.445613116666666e-06
