timestamp,orchestrator_cpu_usage,clientthree_cpu_usage,api-gateway_cpu_usage,clientone_cpu_usage,clienttwo_cpu_usage,server_cpu_usage,orchestrator_cpu_usage_anomaly,orchestrator_cpu_usage_anomaly_score,clientthree_cpu_usage_anomaly,clientthree_cpu_usage_anomaly_score,api-gateway_cpu_usage_anomaly,api-gateway_cpu_usage_anomaly_score,clientone_cpu_usage_anomaly,clientone_cpu_usage_anomaly_score,clienttwo_cpu_usage_anomaly,clienttwo_cpu_usage_anomaly_score,server_cpu_usage_anomaly,server_cpu_usage_anomaly_score
2026-04-15 14:35:30.305999994,0.0009149174324604,0.002401963907609,0.0012841972823352,0.0032662785085072,0.0032607847516299,0.0011474511022493,1,0.015306150574201871,-1,-0.23315785881829698,1,0.09004787715067392,1,0.0905945291537471,1,0.0891785071584188,1,0.09550018113240033
2026-04-15 14:35:45.305999994,0.0009149174324604,0.0035925051433406,0.0012841972823352,0.0032662785085072,0.0035294076946885,0.0011474511022493,1,0.015306150574201871,1,0.12899893988105732,1,0.09004787715067392,1,0.0905945291537471,1,0.0677016335533866,1,0.09550018113240033
2026-04-15 14:36:00.305999994,0.0009149174324604,0.0035925051433406,0.0012841972823352,0.0032662785085072,0.0035294076946885,0.0011474511022493,1,0.015306150574201871,1,0.12899893988105732,1,0.09004787715067392,1,0.0905945291537471,1,0.0677016335533866,1,0.09550018113240033
2026-04-15 14:36:15.305999994,0.0009149174324604,0.0035925051433406,0.0012841972823352,0.0032662785085072,0.0035294076946885,0.0011474511022493,1,0.015306150574201871,1,0.12899893988105732,1,0.09004787715067392,1,0.0905945291537471,1,0.0677016335533866,1,0.09550018113240033
2026-04-15 14:36:30.305999994,0.0010568147331768,0.0033069695937638,0.0010369657904454,0.0032431157820363,0.0034063600284002,0.0010100188452972,1,0.02862627819184299,1,0.036574782131650274,1,0.036632530356820125,1,0.07039227054074315,1,0.01137948085558843,1,0.041234986372058025
2026-04-15 14:36:45.305999994,0.0010568147331768,0.0030303894362397,0.0010369657904454,0.0032431157820363,0.003283348198846,0.0010100188452972,1,0.02862627819184299,-1,-0.021575460805279945,1,0.036632530356820125,1,0.07039227054074315,1,0.08077769465743989,1,0.041234986372058025
2026-04-15 14:37:00.305999994,0.0010568147331768,0.0030303894362397,0.0010369657904454,0.0032431157820363,0.003283348198846,0.0010100188452972,1,0.02862627819184299,-1,-0.021575460805279945,1,0.036632530356820125,1,0.07039227054074315,1,0.08077769465743989,1,0.041234986372058025
2026-04-15 14:37:15.305999994,0.0010568147331768,0.0030303894362397,0.0010369657904454,0.0032431157820363,0.003283348198846,0.0010100188452972,1,0.02862627819184299,-1,-0.021575460805279945,1,0.036632530356820125,1,0.07039227054074315,1,0.08077769465743989,1,0.041234986372058025
2026-04-15 14:37:30.305999994,0.0,0.0042670659248867,0.0,0.0,0.0031965617299962,0.0012520127033257,-1,-0.15413010041031683,1,0.03269581527996129,-1,-0.21219498734416364,-1,-0.22844025535447898,1,0.09601995814605668,1,0.07788026123871922
2026-04-15 14:37:45.305999994,0.001272911175331,0.0042670659248867,0.0011974525673345,0.0033666559495377,0.0031965617299962,0.0012520127033257,1,0.027572523749704703,1,0.03269581527996129,1,0.09419729872442822,1,0.13478324017088883,1,0.09601995814605668,1,0.07788026123871922
2026-04-15 14:38:00.305999994,0.001272911175331,0.0042670659248867,0.0011974525673345,0.0033666559495377,0.0031965617299962,0.0012520127033257,1,0.027572523749704703,1,0.03269581527996129,1,0.09419729872442822,1,0.13478324017088883,1,0.09601995814605668,1,0.07788026123871922
2026-04-15 14:38:15.305999994,0.001272911175331,0.0042670659248867,0.0011974525673345,0.0033666559495376,0.0031965617299962,0.0012520127033257,1,0.027572523749704703,1,0.03269581527996129,1,0.09419729872442822,1,0.13478324017088883,1,0.09601995814605668,1,0.07788026123871922
2026-04-15 14:38:30.305999994,0.0,0.0,0.0010157397672064,0.002623649925457,0.0,0.0012621406157237,-1,-0.15413010041031683,-1,-0.2128645835752131,-1,-0.02983460738259358,-1,-0.12018395512310243,-1,-0.22094901257195,1,0.07595668983792825
2026-04-15 14:38:45.305999994,0.0013118255832159,0.0035026179697916,0.0014682475419317,0.003635731545575,0.0035489865341726,0.0012621406157237,1,0.017282702378259795,1,0.11261512705185855,1,0.01936473078363493,1,0.0476833935192742,1,0.09328362383816802,1,0.07595668983792825
2026-04-15 14:39:00.305999994,0.0013118255832159,0.0035026179697916,0.0014682475419317,0.003635731545575,0.0035489865341726,0.0012621406157237,1,0.017282702378259795,1,0.11261512705185855,1,0.01936473078363493,1,0.0476833935192742,1,0.09328362383816802,1,0.07595668983792825
2026-04-15 14:39:15.305999994,0.0013118255832159,0.0035026179697916,0.0014682475419317,0.003635731545575,0.0035489865341726,0.0012621406157237,1,0.017282702378259795,1,0.11261512705185855,1,0.01936473078363493,1,0.0476833935192742,1,0.09328362383816802,1,0.07595668983792825
2026-04-15 14:39:30.305999994,0.0012213357215059,0.0040632414500177,0.00176205836345,0.003491987710999,0.0026452668831844,0.0018495524816924,1,0.010883311165310106,-1,-0.01799695141183255,-1,-0.12095524909111777,1,0.07375878906695055,-1,-0.05497590488825843,-1,-0.08795108702568244
2026-04-15 14:39:45.305999994,0.0011031630817043,0.0058765484018962,0.0020352945258957,0.003359089916517,0.0040160680408415,0.0018495524816924,1,0.08036276912384854,-1,-0.22463480223808818,-1,-0.18384953846894814,1,0.13257554520355347,-1,-0.08834244200167907,-1,-0.08795108702568244
2026-04-15 14:40:00.305999994,0.0011031630817043,0.0058765484018962,0.0020352945258957,0.003359089916517,0.0040160680408415,0.0018495524816924,1,0.08036276912384854,-1,-0.22463480223808818,-1,-0.18384953846894814,1,0.13257554520355347,-1,-0.08834244200167907,-1,-0.08795108702568244
2026-04-15 14:40:15.305999994,0.0011031630817043,0.0058765484018962,0.0020352945258957,0.003359089916517,0.0030048723090081,0.0018495524816924,1,0.08036276912384854,-1,-0.22463480223808818,-1,-0.18384953846894814,1,0.13257554520355347,1,0.02669858820858484,-1,-0.08795108702568244
2026-04-15 14:40:30.305999994,0.0007199058410689,0.0039985994175969,0.0,0.0033946252165362,0.0037826572151719,0.0,-1,-0.13428768265635715,-1,-0.013115689089590932,-1,-0.21219498734416364,1,0.1216480212618955,1,0.03130243447901804,-1,-0.23010310700150594
2026-04-15 14:40:45.305999994,0.0011507552743792,0.0042992297448625,0.001318271874184,0.0033946252165362,0.0036169614889914,0.0009525982804304,1,0.10935097225238333,-1,-0.023949081051700682,1,0.06335764277002942,1,0.1216480212618955,1,0.05411907795089255,1,0.0020275498711819773
2026-04-15 14:41:00.305999994,0.0011507552743792,0.0042992297448625,0.001318271874184,0.0033946252165362,0.0036169614889914,0.0009525982804304,1,0.10935097225238333,-1,-0.023949081051700682,1,0.06335764277002942,1,0.1216480212618955,1,0.05411907795089255,1,0.0020275498711819773
2026-04-15 14:41:15.305999994,0.0011507552743792,0.0042992297448625,0.001318271874184,0.0033946252165362,0.0036169614889914,0.0009525982804304,1,0.10935097225238333,-1,-0.023949081051700682,1,0.06335764277002942,1,0.1216480212618955,1,0.05411907795089255,1,0.0020275498711819773
2026-04-15 14:41:30.305999994,0.0,0.0,0.0017219013196604,0.0024037322374698,0.0,0.0011074795956492,-1,-0.15413010041031683,-1,-0.2128645835752131,-1,-0.014100363923240211,-1,-0.18589369416997403,-1,-0.22094901257195,1,0.08869747213377249
2026-04-15 14:41:45.305999994,0.0011407245767167,0.0038286959017915,0.0017219013196604,0.0033348887610283,0.0030856128726927,0.0016274099517267,1,0.11006593593488068,1,0.05881843905650913,-1,-0.014100363923240211,1,0.10938617154733504,1,0.06090070309046103,-1,-0.0808872044019241
2026-04-15 14:42:00.305999994,0.0011407245767167,0.0038286959017915,0.0017219013196604,0.0033348887610283,0.0030856128726927,0.0016274099517267,1,0.11006593593488068,1,0.05881843905650913,-1,-0.014100363923240211,1,0.10938617154733504,1,0.06090070309046103,-1,-0.0808872044019241
2026-04-15 14:42:15.305999994,0.0011407245767167,0.0038286959017915,0.0017219013196604,0.0033348887610283,0.0030856128726927,0.0016274099517267,1,0.11006593593488068,1,0.05881843905650913,-1,-0.014100363923240211,1,0.10938617154733504,1,0.06090070309046103,-1,-0.0808872044019241
2026-04-15 14:42:30.305999994,0.0011262673621801,0.0038286959017915,0.0015288435690653,0.0034292942874005,0.0020771826105487,0.0013888663544177,1,0.07990892794901644,1,0.05881843905650913,-1,-0.03917308107750961,1,0.10946168124659011,-1,-0.1838858354966667,-1,-0.06034131841780532
