api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
255.73866666666652,514.6079999999998,399.01066666666634,410.1213333333331,257.92933333333355,267.08666666666653,467.98133333333345
252.73999999999992,514.6079999999998,399.01066666666634,408.8253333333334,257.1999999999999,265.99066666666675,467.07199999999995
252.73999999999992,538.7573333333335,403.33600000000024,408.8253333333334,257.1999999999999,265.99066666666675,467.07199999999995
251.2719999999999,538.7573333333335,403.3360000000002,416.5653333333332,259.2506666666668,266.9693333333335,474.9746666666665
251.2719999999999,534.9866666666669,411.84133333333347,416.5653333333332,259.2506666666668,266.9693333333335,474.9746666666665
247.63866666666686,534.9866666666669,411.84133333333347,423.8440000000001,259.30933333333314,266.7040000000002,484.2760000000001
247.63866666666686,541.768,419.35466666666656,423.8440000000001,259.30933333333314,266.7040000000002,484.2760000000001
250.95066666666648,541.768,419.35466666666656,442.7493333333336,260.7773333333335,270.6506666666667,473.5493333333334
250.95066666666648,521.84,426.38399999999984,442.7493333333336,260.7773333333335,270.6506666666667,473.5493333333334
254.34933333333353,521.84,426.38399999999984,438.44666666666654,259.4293333333331,267.5773333333333,463.92133333333396
254.34933333333353,483.47680353333334,409.55766564444417,438.44666666666654,259.4293333333331,267.5773333333333,463.92133333333396
266.55313159999974,483.67733333333325,409.6453333333331,437.1526332555557,268.6502563777779,272.0026666666663,463.4401522666667
266.5693333333331,464.5362403333331,408.2513987555558,437.36133333333345,268.9893333333335,272.0026666666663,464.17965226666666
271.4160905111111,465.11374033333317,408.87273208888905,430.59836607593246,275.2879972222224,270.7446404666667,481.61099697777763
271.68,470.81510819999994,397.7601189777777,431.3222496981546,275.9338305555557,270.9346666666667,482.95833031111096
275.4335756,471.69160819999996,398.78478564444436,435.1354570555557,280.1553334000002,277.87836326666644,494.8915679999994
275.652,492.85866666666624,402.6680000000001,436.2653333333335,280.87983340000017,277.9933333333331,496.45156799999944
259.9426666666668,492.85866666666624,402.6680000000001,429.94800000000004,263.03733333333304,269.09866666666693,482.35466666666633
