api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
329.49312175599994,751.09482687775,669.1359392919728,671.6951206658332,20234.85228678139,277.41271901700003,586.1843736330002,290.5499639916667,1570.88733492,754.7142417931251,5330.129589816161,52671.49733989178
315.55564336,766.69934875275,680.8481798154728,682.568399693125,20332.88880472839,281.0284195025,590.967812248,294.09314042375,1579.7583,772.012778569625,5136.0624855209935,52840.46078665552
296.770237663,780.3010851205,692.872141737,692.5520474275,20406.251969999998,284.9764149634999,590.9629499999999,299.1390507867501,1589.2861500000001,786.266003579375,4932.968382824041,52868.5537968425
282.36015000000003,794.1120299999999,701.52318,703.23669,20483.67465,287.3177999999999,592.04241,301.78583999999995,1601.1171,799.5684600000002,4718.5487686145825,52663.049965635
269.64792000000006,807.7495499999998,711.0870299999999,714.1534199999999,20553.32025,286.69886999999994,592.0622100000002,302.84181,1605.03876,809.67213,4573.59305844125,51981.22071000001
268.38972,818.3517300000001,717.9542397919944,722.1209399999999,20600.894612366465,287.19873,593.6162400000001,303.33779999999996,1610.8572599999998,818.91189,4550.794000221073,51538.27759073708
268.57574999999997,818.3304000000002,719.7082497919944,723.4735499999999,20604.345932366465,286.48961999999995,594.7383600000001,303.47504999999995,1612.0973699999997,817.18839,4554.013390221072,51532.970920737076
269.06651999999997,820.0924200000002,719.2806299999999,724.89681,20611.840638658898,286.3170899999999,596.10879,302.74127999999996,1613.5598699999998,816.9391800000001,4561.296295701484,51521.31668628789
265.68387,821.03634,721.23291,726.84414,20614.115298658897,284.8796099999999,596.92914,302.61833999999993,1613.14434,814.3377299999999,4565.6876657014855,51509.458736287896
257.59233000000006,822.66741,721.71054,731.60226,20619.36711,285.07796999999994,597.4252199999999,302.1825599999999,1611.3627,815.2866899999998,4579.646849999999,51564.418829999995
247.19858999999997,823.1568300000001,722.0367569298977,731.9232,20621.633475992534,284.64345,599.1403499999999,302.28218999999996,1610.4239999999998,814.1466599999998,4587.826279939664,51508.538048098264
246.63140999999996,822.7751400000001,722.7733546489948,733.4269199999999,20626.932449507553,285.32844,598.64409,302.23718999999994,1610.8635599999996,813.4253099999999,4595.9989588858125,51400.78166878279
246.49218000000002,823.6665,723.0201677190971,735.4245599999999,20633.27800351502,286.4784599999999,599.8752900000002,303.1411499999999,1615.6335599999995,813.6727199999998,4601.536518946147,51352.42571068452
250.64747999999994,819.7200900000001,716.6987999999999,733.5884699999999,20592.53424,286.67655,599.3443799999998,302.87556,1611.5292,806.5200599999997,4587.93846,51814.60091999999
264.6810899999999,807.20028,704.4843599999999,721.0630800000001,20501.420130000002,287.73224999999996,599.7152699999997,301.85532,1612.43766,795.1134599999999,4549.84965,52753.09689
278.66328,793.5776399999997,691.4775599999998,702.2894400000002,20138.334120000003,275.65631999999994,596.0918399999999,305.4033600000001,1596.3504000000003,778.3425599999998,4652.7257858133335,53321.47490085
301.36022623,783.5565599999998,683.7142799999998,693.5720400000001,20068.78368,274.1358,595.82916,302.75208,1586.69724,770.9836799999998,5052.169329166666,53525.46239085
318.41795999999994,772.68216,676.0509599999999,684.02064,19987.810439999997,271.69716000000005,594.61944,301.20755999999994,1573.4433599999998,758.29152,5422.405654,53712.993400424995
