timestamp,system_processes_system_processes_energy
2026-06-14 15:34:22.644999981,73054.9475999999
2026-06-14 15:34:37.644999981,72404.67240000007
2026-06-14 15:34:52.644999981,71913.95280000007
2026-06-14 15:35:07.644999981,72086.1443999999
2026-06-14 15:35:22.644999981,72104.81759999988
2026-06-14 15:35:37.644999981,70802.78039999996
2026-06-14 15:35:52.644999981,70244.74439999994
2026-06-14 15:36:07.644999981,70246.13399999985
2026-06-14 15:36:22.644999981,70354.4903999999
2026-06-14 15:36:37.644999981,71311.19040000005
2026-06-14 15:36:52.644999981,71328.09600000006
2026-06-14 15:37:07.644999981,72173.07720000001
2026-06-14 15:37:22.644999981,72328.67639999997
2026-06-14 15:37:37.644999981,72279.86400000002
2026-06-14 15:37:52.644999981,71858.07000000004
2026-06-14 15:38:07.644999981,72783.81720000006
2026-06-14 15:38:22.644999981,73319.4756000001
2026-06-14 15:38:37.644999981,73080.14040000012
