timestamp,system_processes_system_processes_energy
2026-06-14 15:59:30.003000021,72620.8416
2026-06-14 15:59:45.003000021,71248.26959999993
2026-06-14 16:00:00.003000021,71079.75000000004
2026-06-14 16:00:15.003000021,70501.36319999996
2026-06-14 16:00:30.003000021,70499.95919999991
2026-06-14 16:00:45.003000021,69451.70040000007
2026-06-14 16:01:00.003000021,68539.6656000001
2026-06-14 16:01:15.003000021,68229.75240000001
2026-06-14 16:01:30.003000021,68202.17280000003
2026-06-14 16:01:45.003000021,68646.77279999995
2026-06-14 16:02:00.003000021,69028.05959999995
2026-06-14 16:02:15.003000021,70320.67729789997
2026-06-14 16:02:30.003000021,70573.62619789984
2026-06-14 16:02:45.003000021,71338.54434894997
2026-06-14 16:03:00.003000021,70974.64479895009
2026-06-14 16:03:15.003000021,72342.44190000003
2026-06-14 16:03:30.003000021,73000.92870000005
2026-06-14 16:03:45.003000021,73651.53150000006
