timestamp,system_processes_system_processes_energy
2026-06-14 15:49:27.063999891,70526.38124699994
2026-06-14 15:49:42.063999891,70333.35014699998
2026-06-14 15:49:57.063999891,69571.4576939999
2026-06-14 15:50:12.063999891,69679.43429399986
2026-06-14 15:50:27.063999891,69329.9772000001
2026-06-14 15:50:42.063999891,68849.38080000012
2026-06-14 15:50:57.063999891,67878.35280000005
2026-06-14 15:51:12.063999891,68480.76959999996
2026-06-14 15:51:27.063999891,68652.83519999994
2026-06-14 15:51:42.063999891,69611.28840000002
2026-06-14 15:51:57.063999891,70033.07160000011
2026-06-14 15:52:12.063999891,70628.57280000008
2026-06-14 15:52:27.063999891,71732.27520000008
2026-06-14 15:52:42.063999891,72185.83560000003
2026-06-14 15:52:57.063999891,72643.4623149999
2026-06-14 15:53:12.063999891,73520.07761499987
2026-06-14 15:53:27.063999891,74530.49459999979
2026-06-14 15:53:42.063999891,74514.49739999982
