timestamp,system_processes_system_processes_energy
2026-06-14 15:54:28.516999960,74129.38141949997
2026-06-14 15:54:43.516999960,74203.95331949987
2026-06-14 15:54:58.516999960,73333.46283900003
2026-06-14 15:55:13.516999960,73479.76623900008
2026-06-14 15:55:28.516999960,73462.75559999997
2026-06-14 15:55:43.516999960,72964.32840000004
2026-06-14 15:55:58.516999960,71888.83200000013
2026-06-14 15:56:13.516999960,72037.10520000017
2026-06-14 15:56:28.516999960,72016.21800000012
2026-06-14 15:56:43.516999960,72199.04759999992
2026-06-14 15:56:58.516999960,72431.78759999994
2026-06-14 15:57:13.516999960,72840.48480000011
2026-06-14 15:57:28.516999960,73431.59759999992
2026-06-14 15:57:43.516999960,73181.24279999993
2026-06-14 15:57:58.516999960,72862.19640000006
2026-06-14 15:58:13.516999960,73255.69079999998
2026-06-14 15:58:28.516999960,74450.41559999995
2026-06-14 15:58:43.516999960,74228.06879999998
