timestamp,system_processes_system_processes_energy
2026-06-14 15:29:21.184999943,73016.02440000002
2026-06-14 15:29:36.184999943,72616.85639999996
2026-06-14 15:29:51.184999943,71975.92319999993
2026-06-14 15:30:06.184999943,72113.26319999993
2026-06-14 15:30:21.184999943,71861.79959999997
2026-06-14 15:30:36.184999943,71244.09719999999
2026-06-14 15:30:51.184999943,71452.79999999992
2026-06-14 15:31:06.184999943,71238.70079999999
2026-06-14 15:31:21.184999943,71493.49800000002
2026-06-14 15:31:36.184999943,72120.05640000006
2026-06-14 15:31:51.184999943,72341.65439999996
2026-06-14 15:32:06.184999943,72689.89679999996
2026-06-14 15:32:21.184999943,73268.50680000002
2026-06-14 15:32:36.184999943,73162.11960000008
2026-06-14 15:32:51.184999943,73380.07080000006
2026-06-14 15:33:06.184999943,74472.60599999994
2026-06-14 15:33:21.184999943,74291.98680000003
2026-06-14 15:33:36.184999943,74358.38880000012
