timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission
2026-07-01 02:11:23.888000011,0.0,1909.7845660914534,0.0,0.0,0.0,0.0,594278.3685453762,0.0,0.0,0.0,0.0,211.3511855047718,0.01490530213383871,0.031530782321469754,0.009288964650616249,0.007328050418117801,0.007028459173138811,0.006758218496633711,0.0031099002101285704,0.0031318472286603546,0.027116545269742335,0.0072955450137241465,0.06535322315742884,209322.77206195437,216897.4772869079,249963.691081973,296470.0774470115,298292.6500337154,253223.4975513505,79078.6226826923,48925.841216153116,997397.5784458612,121507.17814907494,1608744.4278400263,199524.65478214467,174657.39978520418,202405.2901764759,255936.18792201043,241623.03018534137,234552.52456333075,38553.75916450574,24848.04708127667,736714.2622704628,76583.37668798958,1266280.9140938693,0.0,1.7589039142912233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007087415572727499,0.0,0.0,0.0,0.0,0.27277325295540944,0.0,0.0,0.0,0.0,0.00011675744992427064,0.0,0.0005295084017542807,0.0,0.0,0.0,0.0,0.15075311037359357,0.0,0.0,0.0,0.0,5.650130729717279e-05
2026-07-01 02:11:38.888000011,0.0,1907.7138377586782,0.0,0.0,0.0,0.0,594656.8817406242,0.0,0.0,0.0,0.0,210.54309040533965,0.01490530213383871,0.031530782321469754,0.009261360477940168,0.007492228976221694,0.00700144274873535,0.006758218496633711,0.003109900210128571,0.0031321328505033667,0.026432993051014746,0.0072955450137241465,0.06530597395226645,209322.77206195437,216897.4772869079,241971.3512570796,297709.4384246383,290803.87170182535,253223.4975513505,79078.6226826923,50932.59301371288,972255.2411415238,121507.17814907494,1594036.8461692142,199524.65478214467,174657.39978520418,196183.16965916767,257280.53049595846,236453.59578463773,234552.52456333075,38553.75916450575,25839.601643155624,718143.2140954894,76583.37668798958,1259958.5417273703,0.0,1.7589039142912233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007097292230083181,0.0,0.0,0.0,0.0,0.27315231433987197,0.0,0.0,0.0,0.0,0.00011692015709373061,0.0,0.0005304209932247654,0.0,0.0,0.0,0.0,0.15150275411332625,0.0,0.0,0.0,0.0,5.634706255972952e-05
2026-07-01 02:11:53.888000011,0.0,1907.7138377586782,0.0,0.0,0.0,0.0,594656.8817406242,0.0,0.0,0.0,0.0,210.54309040533965,0.01490530213383871,0.031530782321469754,0.009261360477940168,0.007492228976221694,0.00700144274873535,0.006758218496633711,0.003109900210128571,0.0031321328505033667,0.025478649043209897,0.0072955450137241465,0.06508263696791491,209322.77206195437,216897.4772869079,241971.3512570796,297709.4384246383,290803.87170182535,253223.4975513505,79078.6226826923,50932.59301371288,989831.774814815,121507.17814907494,1578624.44933401,199524.65478214467,174657.39978520418,196183.16965916767,257280.53049595846,236453.59578463773,234552.52456333075,38553.75916450575,25839.601643155624,731061.6651851853,76583.37668798958,1236921.496320399,0.0,1.7589039142912233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007107168887438859,0.0,0.0,0.0,0.0,0.2735313757243345,0.0,0.0,0.0,0.0,0.00011708286426319054,0.0,0.0005304209932247654,0.0,0.0,0.0,0.0,0.1515026063809031,0.0,0.0,0.0,0.0,5.634706255972952e-05
2026-07-01 02:12:08.888000011,0.0,1896.48532852556,0.0,0.0,0.0,0.0,596053.4785382814,0.0,0.0,0.0,0.0,209.76815322752185,0.014924632338086007,0.031530782321469754,0.009261360477940168,0.007492228976221694,0.00700144274873535,0.006758218496633711,0.003114657800263409,0.0031497580451688863,0.027071519912821564,0.007249873733133776,0.06478368128049747,215217.88416956872,216897.4772869079,241971.3512570796,297709.4384246383,290803.87170182535,253223.4975513505,82461.41645306106,49197.40491917907,1076785.2325860728,115858.71203120687,1578392.0048601713,205133.09803089243,174657.39978520418,196183.16965916767,257280.53049595846,236453.59578463773,234552.52456333075,40158.497727047434,24935.287754643803,794650.1965344482,73021.07451594158,1235760.143345613,0.0,1.7589039142912233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007125522552565433,0.0,0.0,0.0,0.0,0.2740912141445787,0.0,0.0,0.0,0.0,0.00011712597774790124,0.0,0.0005311629998069661,0.0,0.0,0.0,0.0,0.15306133497907573,0.0,0.0,0.0,0.0,5.625083733988287e-05
2026-07-01 02:12:23.888000011,0.0,1896.48532852556,0.0,0.0,0.0,0.0,596053.4786522296,0.0,0.0,0.0,0.0,209.76815322752185,0.014704844879824422,0.03155002731928372,0.009278147454362314,0.007492228976221694,0.00700144274873535,0.006698232795270594,0.003114657800263409,0.0031497580451688863,0.027071519912821564,0.007249873733133776,0.06437582064813561,228958.52855842834,209511.80285664013,250955.73188188105,297709.4384246383,290803.87170182535,243716.210666277,82461.41645306106,49197.40491917907,1076785.2325860728,115858.71203120687,1569682.2133018186,216250.20673411488,169516.88658065317,203283.55275946774,257280.53049595846,236453.59578463773,225920.12244670687,40158.497727047434,24935.287754643803,794650.1965344482,73021.07451594158,1222479.1299780016,0.0,1.8062919463457205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000713541097386173,0.0,0.0,0.0,0.0,0.2744705255363571,0.0,0.0,0.0,0.0,0.00011728851895160495,0.0,0.0005311629998069661,0.0,0.0,0.0,0.0,0.1530611809934389,0.0,0.0,0.0,0.0,5.625083733988287e-05
2026-07-01 02:12:38.888000011,0.0,1884.3940032741173,0.0,0.0,0.0,0.0,597263.5481019003,0.0,0.0,0.0,0.0,210.33664163599565,0.014704844879824422,0.03155002731928372,0.009278147454362314,0.007492228976221694,0.00700144274873535,0.006713547968742943,0.003114657800263409,0.0031497580451688863,0.027071519912821564,0.007249873733133776,0.06453260067494765,228958.52855842834,209511.80285664013,250955.73188188105,297709.4384246383,290803.87170182535,240958.39539044793,82461.41645306106,49197.40491917907,1076785.2325860728,115858.71203120687,1563273.8152368008,216250.20673411488,169516.88658065317,203283.55275946774,257280.53049595846,236453.59578463773,223926.6652607451,40158.497727047434,24935.287754643803,794650.1965344482,73021.07451594158,1216642.2375149785,0.0,1.8062919463457205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007145299395158025,0.0,0.0,0.0,0.0,0.2748498369281355,0.0,0.0,0.0,0.0,0.00011745106015530866,0.0,0.0005310918322828057,0.0,0.0,0.0,0.0,0.1545853954697598,0.0,0.0,0.0,0.0,5.6345774077226075e-05
2026-07-01 02:12:53.888000011,0.0,1884.3940032741173,0.0,0.0,0.0,0.0,597263.5482158487,0.0,0.0,0.0,0.0,210.33664163599565,0.014704844879824422,0.03050055092682488,0.009278147454362314,0.007492228976221694,0.006978354487618303,0.006713547968742943,0.003042602451142534,0.0031497580451688863,0.027071519912821564,0.007058218099595508,0.06426149175053122,228958.52855842834,210189.52135494305,250955.73188188105,297709.4384246383,284168.7761138859,240958.39539044793,80553.73139339747,49197.40491917907,1076785.2325860728,106679.50670250501,1556687.1336605896,216250.20673411488,167997.38183398824,203283.55275946774,257280.53049595846,231097.7481385515,223926.6652607451,39229.46000943763,24935.287754643803,794650.1965344482,64061.09716800075,1211596.6159920276,0.0,1.7252265096890256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007155187816454321,0.0,0.0,0.0,0.0,0.27522914831991396,0.0,0.0,0.0,0.0,0.00011761360135901236,0.0,0.0005310918322828057,0.0,0.0,0.0,0.0,0.1545852475122799,0.0,0.0,0.0,0.0,5.6345774077226075e-05
2026-07-01 02:13:08.888000011,0.0,1878.376733597974,0.0,0.0,0.0,0.0,596917.5553864077,0.0,0.0,0.0,0.0,210.87742783902394,0.014704844879824422,0.03050055092682488,0.009074424315892279,0.007400495275474829,0.006978354487618303,0.006713547968742943,0.003116032853018114,0.0031513439550773154,0.027071519912821564,0.007269669694666944,0.0638859187915074,228958.52855842834,210189.52135494305,245445.41965980225,293486.5284033439,284168.7761138859,240958.39539044793,79163.29473394924,51122.54229152413,1076785.2325860728,109875.4339939798,1547144.123041032,216250.20673411488,167997.38183398824,198819.99324274264,253280.05671159216,231097.7481385515,223926.6652607451,38627.087878345774,25881.378141752823,794650.1965344482,65980.25310609458,1203803.1430580923,0.0,1.7252265096890256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007155404643648866,0.0,0.0,0.0,0.0,0.27602654914666785,0.0,0.0,0.0,0.0,0.00011782134804788215,0.0,0.0005318761170577874,0.0,0.0,0.0,0.0,0.15586557254632996,0.0,0.0,0.0,0.0,5.63551701905109e-05
2026-07-01 02:13:23.888000011,0.0,1878.376733597974,0.0,0.0,0.0,0.0,596917.555500356,0.0,0.0,0.0,0.0,210.87742783902394,0.01438454563561307,0.029720057274351706,0.009076873474199595,0.007400495275474829,0.006898875446608348,0.006713547968742943,0.003116032853018114,0.0031513439550773154,0.027071519912821564,0.007269669694666944,0.06379044629658337,233431.03725095565,202721.11140904276,258407.11882693096,293486.5284033439,286282.72086228617,240958.39539044793,79163.29473394924,51122.54229152413,1076785.2325860728,109875.4339939798,1540265.885489732,220049.84633083903,162759.79836977844,208692.61348395454,253280.05671159216,232022.90747388898,223926.6652607451,38627.087878345774,25881.378141752823,794650.1965344482,65980.25310609458,1197839.6663406277,0.0,1.7696091151919373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007165279717313689,0.0,0.0,0.0,0.0,0.27640643628673045,0.0,0.0,0.0,0.0,0.00011798395163904236,0.0,0.0005318761170577874,0.0,0.0,0.0,0.0,0.15586541626975173,0.0,0.0,0.0,0.0,5.63551701905109e-05
2026-07-01 02:13:38.888000011,0.0,1874.524550188585,0.0,0.0,0.0,0.0,596811.5222888822,0.0,0.0,0.0,0.0,211.1388385616669,0.01436533926406016,0.03050616557057903,0.009076873474199595,0.007400495275474829,0.006898875446608348,0.006713547968742943,0.0031193187971616837,0.0031425394158185035,0.02691905196908236,0.007269669694666944,0.06341798713576927,245281.95447396822,208083.17198745895,258407.11882693096,293486.5284033439,286282.72086228617,240958.39539044793,81921.72830650436,56121.30869000138,1135996.0593466514,109875.4339939798,1542994.4528333158,229076.48058275535,167064.8650326609,208692.61348395454,253280.05671159216,232022.90747388898,223926.6652607451,39911.278015710595,30987.80408269746,836568.3568625466,65980.25310609458,1191186.852705607,0.0,1.8164160373216733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007175154790978514,0.0,0.0,0.0,0.0,0.276786323426793,0.0,0.0,0.0,0.0,0.00011814655523020258,0.0,0.0005320644140563822,0.0,0.0,0.0,0.0,0.15718256807754583,0.0,0.0,0.0,0.0,5.6466268093701953e-05
