timestamp,coredns_coredns_energy
2026-06-14 08:24:31.322999954,1073.1815999999997
2026-06-14 08:24:46.322999954,1098.1259999999997
2026-06-14 08:25:01.322999954,1113.0768
2026-06-14 08:25:16.322999954,1128.0419999999995
2026-06-14 08:25:31.322999954,1139.9615999999996
2026-06-14 08:25:46.322999954,1160.6075999999998
2026-06-14 08:26:01.322999954,1164.9347999999998
2026-06-14 08:26:16.322999954,1162.6596
2026-06-14 08:26:31.322999954,1168.4268000000002
2026-06-14 08:26:46.322999954,1143.5039999999997
2026-06-14 08:27:01.322999954,1138.6944
2026-06-14 08:27:16.322999954,1113.811200000001
2026-06-14 08:27:31.322999954,1104.282000000001
2026-06-14 08:27:46.322999954,1085.4036000000003
2026-06-14 08:28:01.322999954,1078.9127999999992
2026-06-14 08:28:16.322999954,1054.5803999999998
2026-06-14 08:28:31.322999954,1060.6356000000005
2026-06-14 08:28:46.322999954,1058.5907999999993
