timestamp,linkerd-proxy_linkerd-proxy_energy
2026-06-14 14:56:25.974999905,17800.016400000015
2026-06-14 14:56:40.974999905,17945.305200000006
2026-06-14 14:56:55.974999905,17929.494000000002
2026-06-14 14:57:10.974999905,17939.771999999997
2026-06-14 14:57:25.974999905,18094.366799999985
2026-06-14 14:57:40.974999905,18116.211600000002
2026-06-14 14:57:55.974999905,18271.018800000013
2026-06-14 14:58:10.974999905,18343.7964
2026-06-14 14:58:25.974999905,18514.82879999999
2026-06-14 14:58:40.974999905,18451.346399999977
2026-06-14 14:58:55.974999905,18328.481999999978
2026-06-14 14:59:10.974999905,18297.773999999987
2026-06-14 14:59:25.974999905,18332.693999999992
2026-06-14 14:59:40.974999905,18376.005599999997
2026-06-14 14:59:55.974999905,18317.419199999997
2026-06-14 15:00:10.974999905,18219.052799999998
2026-06-14 15:00:25.974999905,18098.07839999999
2026-06-14 15:00:40.974999905,18035.981999999993
