timestamp,linkerd-proxy_linkerd-proxy_energy
2026-06-14 15:06:28.887000084,18011.066399999996
2026-06-14 15:06:43.887000084,17985.520799999995
2026-06-14 15:06:58.887000084,18059.14799999999
2026-06-14 15:07:13.887000084,18088.930799999995
2026-06-14 15:07:28.887000084,18255.186
2026-06-14 15:07:43.887000084,18407.566799999997
2026-06-14 15:07:58.887000084,18476.58959999998
2026-06-14 15:08:13.887000084,18632.199599999996
2026-06-14 15:08:28.887000084,18655.146000000015
2026-06-14 15:08:43.887000084,18620.84160000002
2026-06-14 15:08:58.887000084,18525.81240000002
2026-06-14 15:09:13.887000084,18448.149599999997
2026-06-14 15:09:28.887000084,18360.925199999987
2026-06-14 15:09:43.887000084,18285.346800000014
2026-06-14 15:09:58.887000084,18142.93080000002
2026-06-14 15:10:13.887000084,17948.325599999996
2026-06-14 15:10:28.887000084,17827.844400000013
2026-06-14 15:10:43.887000084,17712.914400000034
