timestamp,linkerd-proxy_linkerd-proxy_energy
2026-06-14 14:21:15.732000113,17754.6744
2026-06-14 14:21:30.732000113,17800.228800000004
2026-06-14 14:21:45.732000113,17694.918
2026-06-14 14:22:00.732000113,17786.807999999997
2026-06-14 14:22:15.732000113,17810.366399999984
2026-06-14 14:22:30.732000113,17874.190307425004
2026-06-14 14:22:45.732000113,17937.10390742501
2026-06-14 14:23:00.732000113,18040.946399999997
2026-06-14 14:23:15.732000113,18168.983999999997
2026-06-14 14:23:30.732000113,18126.680399999997
2026-06-14 14:23:45.732000113,18049.05
2026-06-14 14:24:00.732000113,17976.693599999995
2026-06-14 14:24:15.732000113,18068.904
2026-06-14 14:24:30.732000113,18007.189200000008
2026-06-14 14:24:45.732000113,17962.635600000012
2026-06-14 14:25:00.732000113,17857.652400000006
2026-06-14 14:25:15.732000113,17722.000800000005
2026-06-14 14:25:30.732000113,17701.999200000006
