timestamp,linkerd-proxy_linkerd-proxy_energy
2026-06-14 14:36:20.124000072,18177.469199999996
2026-06-14 14:36:35.124000072,18182.887200000005
2026-06-14 14:36:50.124000072,18168.105600000003
2026-06-14 14:37:05.124000072,18065.2824
2026-06-14 14:37:20.124000072,18102.16439999999
2026-06-14 14:37:35.124000072,18186.631199999993
2026-06-14 14:37:50.124000072,18239.2956
2026-06-14 14:38:05.124000072,18195.868800000004
2026-06-14 14:38:20.124000072,18223.2936
2026-06-14 14:38:35.124000072,18071.240400000013
2026-06-14 14:38:50.124000072,18021.11760000001
2026-06-14 14:39:05.124000072,17968.539599999993
2026-06-14 14:39:20.124000072,17981.9028
2026-06-14 14:39:35.124000072,17989.24320000001
2026-06-14 14:39:50.124000072,17985.93840000001
2026-06-14 14:40:05.124000072,17915.381999999994
2026-06-14 14:40:20.124000072,17840.145599999993
2026-06-14 14:40:35.124000072,17893.861200000003
