api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
19.930362815543173,83.16375089772943,51.6731064701701,39.336566038769185,50.04689379747271,36.05410755438078,41.06710557976114
21.608565751307367,82.80824682267382,55.6217974491794,44.25859771324479,52.61534419291366,36.98307061389919,45.899783099927504
23.831806621078773,84.19156088980178,57.50959842371638,44.25859771324479,61.56037027802342,42.68498404424153,52.954878584604536
24.7875615021828,80.6660946644139,57.07294834522126,51.51278586074228,62.4270052542347,44.389772090573686,60.74363222063746
27.925083312465922,87.55793092827665,60.35582466293408,51.51278586074228,69.33210693054534,49.888249485572004,59.369305847395296
28.301896891212344,81.43343230002841,48.81116923903387,52.02963697222221,70.48027851412458,50.89870858840457,65.75064796303684
31.754075631069277,80.24207294532764,47.70896246233658,52.02963697222221,72.11024136814018,52.265268663241756,61.76855684510147
30.370218127202683,77.57391235381607,43.251116243705674,53.584263423707036,71.29753661279658,51.94412445915894,62.847155259504504
32.229310378559894,66.53536110290412,40.05706005126982,53.584263423707036,70.47239598629366,52.95194175206694,61.4115555170233
31.596785915594598,64.74245104399184,41.798718896099075,50.363623917203036,70.41995469050119,52.8196306376904,53.14308612464009
30.39945766218711,51.49452487670492,36.57033953681359,50.363623917203036,64.07194794221714,47.00376424700212,57.3154510595918
28.945113009816065,46.533984210796056,35.45199228782405,46.241284359123895,61.3348465645918,45.363092872276425,57.431242354378604
27.741213983412337,44.15788631509704,36.41602017323083,46.266092660714435,52.67981979917406,40.42116187890705,54.366820322720976
26.745910311672034,41.36398878014667,34.56347876720137,39.85621485206256,49.78227992694049,38.25631158213469,50.55286355731897
24.95957847891061,34.22664724559836,34.95331587715496,39.95245646242893,42.7153594070502,33.624334130908004,53.877777094572075
24.294659881193184,41.05133968969068,40.95243597034587,32.76697088294258,39.504729371655614,33.23844576046593,46.4782713299987
21.42099901250816,38.838686257054704,37.506388843959584,32.816655510625694,31.409560953860964,29.181806890385637,48.43580104852496
20.83079179229333,45.08793717351967,45.55972899031209,33.122454503427676,30.346318019879355,28.278808877146982,44.676048704021305
