api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
268.2456,489.6323999999997,399.7392000000003,454.8231999999998,291.14399999999983,284.40320000000025,500.6215999999998
272.0915999999997,488.4171999999993,407.01280000000054,453.11839999999984,293.91119999999984,286.4807999999996,500.65320000000037
273.1215999999997,506.00800000000015,417.72639999999984,453.3527999999998,296.1519999999999,288.5935999999998,506.8796000000003
272.05279999999993,508.2704000000005,421.7779999999996,462.01679999999953,294.66439999999994,286.73719999999975,506.7068000000001
272.7240000000001,522.5632000000008,426.6267999999999,463.1179999999995,295.7504,287.6311999999996,517.9916000000001
273.7780000000002,524.0944000000006,430.42359999999934,468.32440000000014,296.7856000000001,288.4243999999999,523.3596
275.0271999999999,535.036,440.71559999999937,466.0112000000004,298.0476,289.4200000000001,520.1224
271.92479999999995,537.1848000000002,437.55359999999985,472.1735999999999,296.20520000000005,289.4800000000003,515.4635999999998
271.9828000000001,516.816799999999,435.8460000000002,470.05319999999995,296.2836000000001,288.7976,515.1512
272.7467999999996,514.9323999999995,431.6452000000005,447.6325944068538,298.8783999999998,289.95839999999987,510.0116
278.42319999999944,497.0572,423.4396000000005,444.32459440685386,300.21759999999966,289.36200000000014,492.0296000000002
278.4739999999998,487.6647818666667,424.1500000000007,435.74879999999973,298.916,288.85319999999984,479.08520000000055
282.0652,482.65680000000066,422.4955260000006,435.0217353599995,298.8895136000002,287.89839999999947,483.06845147441226
284.82560000000024,477.7111305600006,429.4204000000003,433.9448000000002,300.1528000000003,287.8739999999996,484.98157727441185
288.90600000000006,483.52480000000014,428.90963386666715,433.70294538000036,299.69374000000016,287.1423999999999,481.0644000000004
285.9032,474.6300175999997,431.7332000000001,436.53659040634676,293.1664000000005,285.6692000000002,471.8545584666675
277.3648000000002,474.11640000000006,426.27040000000017,434.0745904063465,290.2488000000003,284.2144000000002,477.9927999999999
273.7248000000003,479.14040000000006,425.69600000000025,431.28600000000006,286.81039999999996,281.5100000000001,488.9667999999997
