timestamp,api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
2026-06-12 16:59:02.882999897,305.77600000000194,403.3319999999996,377.5400000000013,526.1680000000016,278.2960000000012,280.1160000000009,453.72800000000166
2026-06-12 16:59:17.882999897,309.6960000000002,403.3319999999996,377.5400000000013,528.6879999999996,284.8439999999988,283.8600000000006,453.72800000000166
2026-06-12 16:59:32.882999897,309.6960000000002,444.0120000000009,407.8200000000005,528.6879999999996,284.8439999999988,283.8600000000006,471.92000000000115
2026-06-12 16:59:47.882999897,303.0799999999993,444.0120000000009,407.8200000000005,521.0599999999997,279.01199999999994,277.50400000000064,471.92000000000115
2026-06-12 17:00:02.882999897,303.0799999999993,481.38000000000187,419.5040000000007,521.0599999999997,279.01199999999994,277.50400000000064,506.5200000000006
2026-06-12 17:00:17.882999897,306.9919999999982,481.38000000000187,419.5040000000007,506.8480000000006,282.4359999999989,281.2160000000002,506.5200000000006
2026-06-12 17:00:32.882999897,306.9919999999982,505.02800000000025,446.17599999999896,506.8480000000006,282.4359999999989,281.2160000000002,506.59600000000245
2026-06-12 17:00:47.882999897,305.96399999999977,505.02800000000025,446.17599999999896,503.0519999999987,281.96399999999977,277.9080000000005,506.59600000000245
2026-06-12 17:01:02.882999897,305.96399999999977,452.7679999999995,434.9959999999994,503.0519999999987,281.96399999999977,277.9080000000005,495.6280000000008
2026-06-12 17:01:17.882999897,305.81999999999954,452.7679999999995,434.9959999999994,469.26399999999967,289.9840000000005,275.4639999999999,495.6280000000008
2026-06-12 17:01:32.882999897,305.81999999999954,422.2199999999977,425.86800000000017,469.26399999999967,289.9840000000005,275.4639999999999,450.71599999999836
2026-06-12 17:01:47.882999897,297.3639999999996,422.2199999999977,425.86800000000017,447.6759999999985,292.580000000001,275.7599999999996,450.71599999999836
2026-06-12 17:02:02.882999897,297.3639999999996,413.4280000000021,423.0399999999995,447.6759999999985,292.580000000001,275.7599999999996,473.50799999999793
2026-06-12 17:02:17.882999897,292.6719999999998,413.4280000000021,423.0399999999995,425.82000000000113,298.5999999999998,281.6959999999996,473.50799999999793
2026-06-12 17:02:32.882999897,292.6719999999998,452.21599999999944,428.0320000000019,425.82000000000113,298.5999999999998,281.6959999999996,464.4519999999973
2026-06-12 17:02:47.882999897,276.54000000000144,452.21599999999944,428.0320000000019,425.30799999999965,296.94400000000104,289.42000000000104,464.4519999999973
2026-06-12 17:03:02.882999897,276.54000000000144,471.344000000002,408.072000000001,425.30799999999965,296.94400000000104,289.42000000000104,479.8719999999991
2026-06-12 17:03:17.882999897,267.6760000000018,471.344000000002,408.072000000001,426.2640000000012,293.8399999999991,283.77600000000075,479.8719999999991
