timestamp,kernel_processes_kernel_processes_energy
2026-06-14 16:51:12.549000025,26901.550799999997
2026-06-14 16:51:27.549000025,27365.025599999997
2026-06-14 16:51:42.549000025,27441.662400000005
2026-06-14 16:51:57.549000025,27878.713200000006
2026-06-14 16:52:12.549000025,27983.948399999994
2026-06-14 16:52:27.549000025,28189.23839999999
2026-06-14 16:52:42.549000025,28096.790399999994
2026-06-14 16:52:57.549000025,28160.586000000003
2026-06-14 16:53:12.549000025,28137.6
2026-06-14 16:53:27.549000025,28132.7796
2026-06-14 16:53:42.549000025,27931.939200000008
2026-06-14 16:53:57.549000025,27495.054000000004
2026-06-14 16:54:12.549000025,27367.47
2026-06-14 16:54:27.549000025,26898.4908
2026-06-14 16:54:42.549000025,26782.552800000005
2026-06-14 16:54:57.549000025,26572.276800000003
2026-06-14 16:55:12.549000025,26672.69520000001
2026-06-14 16:55:27.549000025,26652.340800000013
