timestamp,kernel_processes_kernel_processes_energy
2026-06-14 16:36:08.237999916,27160.329599999994
2026-06-14 16:36:23.237999916,27764.945999999993
2026-06-14 16:36:38.237999916,27805.150799999992
2026-06-14 16:36:53.237999916,28326.52079999999
2026-06-14 16:37:08.237999916,28379.185199999996
2026-06-14 16:37:23.237999916,28573.210799999997
2026-06-14 16:37:38.237999916,28529.316
2026-06-14 16:37:53.237999916,28488.103199999998
2026-06-14 16:38:08.237999916,28459.947599999992
2026-06-14 16:38:23.237999916,28308.0024
2026-06-14 16:38:38.237999916,28186.725600000005
2026-06-14 16:38:53.237999916,27590.18040000001
2026-06-14 16:39:08.237999916,27520.63560000001
2026-06-14 16:39:23.237999916,26948.9124
2026-06-14 16:39:38.237999916,26877.6648
2026-06-14 16:39:53.237999916,26635.0788
2026-06-14 16:40:08.237999916,26627.093999999997
2026-06-14 16:40:23.237999916,26626.986
