timestamp,kernel_processes_kernel_processes_energy
2026-06-14 16:46:11.075000048,26819.766000000003
2026-06-14 16:46:26.075000048,27329.273999999998
2026-06-14 16:46:41.075000048,27346.61159999999
2026-06-14 16:46:56.075000048,27933.0804
2026-06-14 16:47:11.075000048,27958.543200000007
2026-06-14 16:47:26.075000048,28244.278799999996
2026-06-14 16:47:41.075000048,28229.619599999998
2026-06-14 16:47:56.075000048,28233.457200000004
2026-06-14 16:48:11.075000048,28285.963200000002
2026-06-14 16:48:26.075000048,28171.645200000003
2026-06-14 16:48:41.075000048,28128.531600000002
2026-06-14 16:48:56.075000048,27585.936000000005
2026-06-14 16:49:11.075000048,27585.658800000005
2026-06-14 16:49:26.075000048,27024.6888
2026-06-14 16:49:41.075000048,26999.791199999996
2026-06-14 16:49:56.075000048,26667.143999999993
2026-06-14 16:50:11.075000048,26724.401999999987
2026-06-14 16:50:26.075000048,26673.24239999999
