kernel_processes_kernel_processes_energy
25195.647785069996
25836.758747779997
26218.493524346664
26848.858920446666
27221.7879257275
27645.570752682495
27896.511153880994
28114.086137229995
28225.443137983995
28229.955787712
28123.731
27690.582960000007
27525.68604
27106.682040000003
26941.503960000002
26712.970200000003
26701.79868
26700.1632
