timestamp,kernel_processes_kernel_processes_energy
2026-06-14 16:16:02.467999935,9420.3342507
2026-06-14 16:16:17.467999935,11555.4826778
2026-06-14 16:16:32.467999935,14155.166443466667
2026-06-14 16:16:47.467999935,16461.43800446667
2026-06-14 16:17:02.467999935,18998.645657275
2026-06-14 16:17:17.467999935,21312.101126825
2026-06-14 16:17:32.467999935,23882.29113881
2026-06-14 16:17:47.467999935,26000.3401723
2026-06-14 16:18:02.467999935,27074.52977984
2026-06-14 16:18:17.467999935,27678.282677119998
2026-06-14 16:18:32.467999935,27908.7804
2026-06-14 16:18:47.467999935,27875.5236
2026-06-14 16:19:02.467999935,27473.7276
2026-06-14 16:19:17.467999935,27326.901599999997
2026-06-14 16:19:32.467999935,26913.365999999998
2026-06-14 16:19:47.467999935,26787.9672
2026-06-14 16:20:02.467999935,26691.9876
2026-06-14 16:20:17.467999935,26718.8796
