timestamp,kernel_processes_kernel_processes_energy
2026-06-14 16:41:09.677000046,26858.49479999999
2026-06-14 16:41:24.677000046,27438.46559999999
2026-06-14 16:41:39.677000046,27481.395599999993
2026-06-14 16:41:54.677000046,27995.281200000005
2026-06-14 16:42:09.677000046,28066.8924
2026-06-14 16:42:24.677000046,28286.4708
2026-06-14 16:42:39.677000046,28251.104400000004
2026-06-14 16:42:54.677000046,28308.808800000003
2026-06-14 16:43:09.677000046,28329.8544
2026-06-14 16:43:24.677000046,28262.987999999998
2026-06-14 16:43:39.677000046,28176.357599999996
2026-06-14 16:43:54.677000046,27614.825999999997
2026-06-14 16:44:09.677000046,27612.0648
2026-06-14 16:44:24.677000046,27056.192399999993
2026-06-14 16:44:39.677000046,27007.711199999994
2026-06-14 16:44:54.677000046,26725.52160000001
2026-06-14 16:45:09.677000046,26746.192800000004
2026-06-14 16:45:24.677000046,26694.532799999994
