timestamp,kernel_processes_kernel_processes_energy
2026-06-14 16:21:03.930000067,27073.969199999996
2026-06-14 16:21:18.930000067,27282.132
2026-06-14 16:21:33.930000067,27772.862399999998
2026-06-14 16:21:48.930000067,27924.3504
2026-06-14 16:22:03.930000067,28356.8688
2026-06-14 16:22:18.930000067,28483.794
2026-06-14 16:22:33.930000067,28627.686
2026-06-14 16:22:48.930000067,28633.4964
2026-06-14 16:23:03.930000067,28638.907199999998
2026-06-14 16:23:18.930000067,28632.8988
2026-06-14 16:23:33.930000067,28357.83
2026-06-14 16:23:48.930000067,28200.2868
2026-06-14 16:24:03.930000067,27682.667999999998
2026-06-14 16:24:18.930000067,27555.4584
2026-06-14 16:24:33.930000067,27134.1468
2026-06-14 16:24:48.930000067,27014.3028
2026-06-14 16:25:03.930000067,26875.638
2026-06-14 16:25:18.930000067,26859.4488
