api-gateway_energy,clientone_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,clientthree_energy
0.0,0.0,39.86488949145501,43316.62184805211,0.0,0.0,0.0,0.0,24.569792238121842,54.82523479053482,0.0
0.0,0.0,41.071958583109314,42030.25454453428,0.0,0.0,0.0,0.0,25.502884972266653,57.04324296606153,0.0
0.0,0.0,40.94360055190131,40751.19524013124,0.0,0.0,0.0,0.0,26.085877746146952,57.93942367617744,0.0
0.0,0.0,40.71828557246636,40064.42353224229,0.0,0.0,0.0,0.0,26.937370456072923,59.57515053656837,0.0
0.0,0.0,41.331663637301766,39629.52839506334,0.0,0.0,0.0,0.0,27.501822690298734,60.7138701889166,0.0
0.0,0.0,41.147710022362475,39274.14825124153,0.0,0.0,0.0,0.0,28.270177032615486,63.379870100680726,0.0
0.0,0.0,42.234941573802665,38718.798802178244,0.0,0.0,0.0,0.0,28.793363761715998,65.30989169516769,0.0
0.0,0.0,42.70259232640539,38093.94458456936,0.0,0.0,0.0,0.0,29.55836905657276,68.00938107550013,0.0
0.0,0.0,43.45819413568468,37358.870456442375,0.0,0.0,0.0,0.0,30.251366204522693,69.2197691763725,0.0
0.0,0.0,43.676934658746,36953.49819608314,0.0,0.0,0.0,0.0,30.406923603978232,69.23542682083614,0.0
0.0,0.0,44.26666076865318,36840.45896720944,0.0,0.0,0.0,0.0,30.322686567841295,69.95580170967501,0.0
0.0,0.0,44.67479187649756,36775.37216640469,0.0,0.0,0.0,0.0,30.2346222204683,69.31952174657458,0.0
0.0,0.0,45.43573176016701,36630.59009132584,0.0,0.0,0.0,0.0,30.13346124324126,68.79543054552458,0.0
0.0,0.0,46.43820177290372,36674.729359754165,0.0,0.0,0.0,0.0,29.753138668243373,68.412900689059,0.0
0.0,0.0,45.238412260703036,37508.49498697511,0.0,0.0,0.0,0.0,29.24859319417097,68.68517817605469,0.0
0.0,0.0,44.364117796037384,38845.293504678055,0.0,0.0,0.0,0.0,28.549189513098746,65.40348746008723,0.0
0.0,0.0,42.14430077125628,40475.199389147856,0.0,0.0,0.0,0.0,27.956311614728847,63.50354122932201,0.0
0.0,0.0,41.01955574112901,41650.12442228244,0.0,0.0,0.0,0.0,27.276809430739544,60.95177807951635,0.0
0.0,0.0,39.54550200685626,42457.26746837082,0.0,0.0,0.0,0.0,26.70969525398619,59.50833330061625,0.0
0.0,0.0,38.686089537357525,42989.62393138825,0.0,0.0,0.0,0.0,26.119595299087727,57.91762304722086,0.0
0.0,0.0,37.66749590454121,43615.98875796472,0.0,0.0,0.0,0.0,25.741807294843614,56.2734774140217,0.0
0.0,0.0,37.27151383715668,44283.151875327094,0.0,0.0,0.0,0.0,25.213890827302574,55.16459915687756,0.0
0.0,0.0,37.29506319402457,45038.528299721416,0.0,0.0,0.0,0.0,24.7919241729178,54.61647295936928,0.0
0.0,0.0,37.19261148332576,45606.06136933725,0.0,0.0,0.0,0.0,24.45804608346613,54.33289167046687,0.0
0.0,0.0,39.3579092422337,45093.46049292336,0.0,0.0,0.0,0.0,25.025290635191418,53.76965501762051,0.0
