api-gateway_energy,clientone_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,clientthree_energy
0.0,0.0,57.57067464095512,1685.719825792589,0.0,0.0,0.0,0.0,17.949576820380287,51.74611505514021,0.0
0.0,0.0,59.28499693742825,1315.8749051407317,0.0,0.0,0.0,0.0,18.54449123332146,54.51863890662423,0.0
0.0,0.0,59.14355235874526,1262.3678908704862,0.0,0.0,0.0,0.0,18.94526468228099,56.31993618305436,0.0
0.0,0.0,58.838665547700664,1154.0909414564546,0.0,0.0,0.0,0.0,19.601659994660256,59.132483745824835,0.0
0.0,0.0,59.807840945949856,1107.686760561823,0.0,0.0,0.0,0.0,19.999252819457823,59.732646127866325,0.0
0.0,0.0,59.537053456982235,993.9582465022171,0.0,0.0,0.0,0.0,20.588281737437956,63.18507166755088,0.0
0.0,0.0,61.259421483667815,861.6218198113172,0.0,0.0,0.0,0.0,20.904837831422743,65.13613666802905,0.0
0.0,0.0,61.97007839396752,709.1253265397777,0.0,0.0,0.0,0.0,21.519985436611883,68.05386820415838,0.0
0.0,0.0,62.99740982961334,558.3167566362224,0.0,0.0,0.0,0.0,21.986003999227417,67.85615706920449,0.0
0.0,0.0,63.27630142927222,244.35538129103918,0.0,0.0,0.0,0.0,22.058768479951844,67.72425088450383,0.0
0.0,0.0,64.1143077758279,248.78980531915315,0.0,0.0,0.0,0.0,22.0207893292596,66.8915385748819,0.0
0.0,0.0,64.64925779661014,238.6710690162555,0.0,0.0,0.0,0.0,21.93535844277063,66.6855894355902,0.0
0.0,0.0,65.7146438200819,284.43982795555877,0.0,0.0,0.0,0.0,21.85748272142496,67.33220240367467,0.0
0.0,0.0,67.02772936617139,409.5637312516693,0.0,0.0,0.0,0.0,21.55582974402606,66.01687501214856,0.0
0.0,0.0,65.29485404765225,797.5197392826916,0.0,0.0,0.0,0.0,21.207947529551777,64.33282803557549,0.0
0.0,0.0,64.00537194619682,1009.035706925633,0.0,0.0,0.0,0.0,20.656741879715465,61.09486367903759,0.0
0.0,0.0,60.937555877147794,854.2895898120405,0.0,0.0,0.0,0.0,20.228414543756674,58.105372010362764,0.0
0.0,0.0,59.24201745387622,728.6188396951537,0.0,0.0,0.0,0.0,19.695046294523028,54.89382415930403,0.0
0.0,0.0,57.152505861416024,367.2604895914783,0.0,0.0,0.0,0.0,19.29498056981187,53.898751802984535,0.0
0.0,0.0,55.93067199213748,501.70193804286953,0.0,0.0,0.0,0.0,18.866552982672296,52.54188789425571,0.0
0.0,0.0,54.46299021668351,492.4863134765265,0.0,0.0,0.0,0.0,18.608239660548016,51.69155119031857,0.0
0.0,0.0,53.835948705805755,710.442805804803,0.0,0.0,0.0,0.0,18.21672059324459,50.21459958312058,0.0
0.0,0.0,53.83764101706777,712.0174793608903,0.0,0.0,0.0,0.0,17.918335183175554,48.2625751372194,0.0
0.0,0.0,53.68678432172163,797.5287793419608,0.0,0.0,0.0,0.0,17.66656424437454,49.06999524908785,0.0
0.0,0.0,56.79398401949298,1135.7954032543614,0.0,0.0,0.0,0.0,18.07660236923478,50.63891379540021,0.0
