timestamp,coredns_coredns_energy
2026-06-13 22:15:30.220999956,609.3468
2026-06-13 22:15:45.220999956,609.3468
2026-06-13 22:16:00.220999956,610.2072
2026-06-13 22:16:15.220999956,610.2072
2026-06-13 22:16:30.220999956,627.5879999999997
2026-06-13 22:16:45.220999956,627.5879999999997
2026-06-13 22:17:00.220999956,624.1319999999996
2026-06-13 22:17:15.220999956,624.1319999999996
2026-06-13 22:17:30.220999956,630.5544000000001
2026-06-13 22:17:45.220999956,630.5544000000001
2026-06-13 22:18:00.220999956,610.6932000000005
2026-06-13 22:18:15.220999956,610.6932000000005
2026-06-13 22:18:30.220999956,616.8816000000002
2026-06-13 22:18:45.220999956,616.8816000000002
2026-06-13 22:19:00.220999956,605.5164000000002
2026-06-13 22:19:15.220999956,605.5164000000002
2026-06-13 22:19:30.220999956,615.8231999999999
2026-06-13 22:19:45.220999956,615.8231999999999
