timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-07-11 10:57:15.033999920,0.0,0.0,0.0,0.0,0.0,0.0,631085.8293808515,0.0,0.0,0.0,871.7417531848527,0.0,2369.0456266592064,0.0,0.01333196675119752,0.02792387300659774,0.006881995447067288,0.005483945038758957,0.0047558944765097606,0.0050500805263125155,0.0006169801846616943,0.00034022402999473367,0.00034285244230659233,0.04727328953045485,0.004967578137482202,0.02364635905363368,302481.25537014427,225118.88285493138,237522.87855479933,265257.4073298358,217784.89636190646,183319.922644994,95616.75301200297,100330.11695830702,48006.11462214176,1119910.3426891987,135879.02759088375,1359520.303224444,257423.9587572921,160172.63141496878,193770.323700202,213840.7004494509,197795.77452285148,147505.54267983395,45873.755772610064,275.04982385678466,21332.09923719116,796730.1293616993,73154.02395162807,1023983.1536286345,4559.517721910885,4370.109480809507,198.4705515279767,866.7061356569455,106.85495954555077,129.16900221103134,6473.364275474229,44715.743338347595,5826.833066666666,360887.28649608215,15193.36741182054,2756.400308839887,0.0,0.0,0.0,0.0,0.0,0.0,0.19846328942768468,0.0,0.0,0.0,0.00032297506448509015,0.0,0.00043982840999452256,0.0,0.0,0.0,0.0,0.0,0.0,0.09018486870634657,0.0,0.0,0.0,0.00016281735797700467,0.0,0.00037473277329118474,0.0
2026-07-11 10:57:30.033999920,0.0,0.0,0.0,0.0,0.0,0.0,631681.9543841219,0.0,0.0,0.0,874.4477865888856,0.0,2372.731638839516,0.0,0.01333196675119752,0.028104760362787397,0.00671498481478504,0.00563363589854364,0.004767341012065159,0.0050500805263125155,0.0006169801846616942,0.00034243447264648247,0.0003402367071625424,0.04842419710795914,0.004967578137482202,0.023654743777395855,302481.25537014427,226577.1748167368,231758.72970668567,272497.92653395334,225708.27749940052,183319.922644994,95616.75301200296,100981.96383044895,46769.484798397534,1147175.4920436996,135879.02759088375,1359304.4226265629,257423.9587572921,161210.20968442116,189067.9514699941,219677.73894655466,203365.9978813214,147505.54267983395,45873.75577261006,276.83682832562965,20781.817966499122,816127.1874512917,73154.02395162807,1024217.4216416326,4559.517721910885,4398.41850334575,193.65411528429698,890.3639195534283,102.85537589471488,129.16900221103134,6515.048161893198,45006.2624597667,5716.962080950019,369673.3878395421,15289.043265980474,2755.1067146122678,0.0,0.0,0.0,0.0,0.0,0.0,0.1988846393424453,0.0,0.0,0.0,0.000323660879299905,0.0,0.000441371655299687,0.0,0.0,0.0,0.0,0.0,0.0,0.09140496650136162,0.0,0.0,0.0,0.00016275237843215083,0.0,0.0003756395379053994,0.0
2026-07-11 10:57:45.033999920,0.0,0.0,0.0,0.0,0.0,0.0,631681.8876062473,0.0,0.0,0.0,874.4477865888856,0.0,2372.7460518374196,0.0,0.01333196675119752,0.02828564771897704,0.006804952307813366,0.005570160506881192,0.00488974421321357,0.004984082398679235,0.0006169801846616942,0.00034464491529823143,0.0003402367071625424,0.04830290557015588,0.004859282705043619,0.02381560188051581,302481.25537014427,228035.46677854218,242763.12056493622,260226.93719652496,231503.41898848236,176118.62001384675,95616.75301200296,101633.81070259091,46769.484798397534,1218435.3883135489,132916.80381804396,1363115.731315939,257423.9587572921,162247.78795387349,199848.9088824037,209834.69262105704,208587.49327726988,141741.62517974118,45873.75577261006,278.6238327944747,20781.817966499122,861723.9477631315,71559.23340395902,1030196.4352642333,4559.517721910885,4426.727525881992,188.45196790737012,849.4971929844354,105.49622479412733,123.90307290834532,6556.732048312169,45296.781581185816,5730.764741011929,360030.5327446436,14974.412417244146,2760.1097935199637,0.0,0.0,0.0,0.0,0.0,0.0,0.19930598925720594,0.0,0.0,0.0,0.0003243466941147198,0.0,0.0004429149006048513,0.0,0.0,0.0,0.0,0.0,0.0,0.09140493483539046,0.0,0.0,0.0,0.00016275237843215083,0.0,0.00037564052843828776,0.0
2026-07-11 10:58:00.033999920,0.0,0.0,0.0,0.0,0.0,0.0,632576.5849627575,0.0,0.0,0.0,871.4563264121101,0.0,2343.790207591542,0.0,0.01333196675119752,0.028479124974744207,0.006804952307813366,0.005570160506881192,0.00488974421321357,0.004984082398679235,0.0006107250869451587,0.00035367082427982007,0.0003402367071625424,0.04830290557015588,0.004939067270705005,0.023818511527925183,302481.25537014427,248773.5338418888,242763.12056493622,260226.93719652496,231503.41898848236,176118.62001384675,91416.25715078277,104295.49954271146,46769.484798397534,1218435.3883135489,130323.04870516695,1362983.2524363368,257423.9587572921,175960.55501165884,199848.9088824037,209834.69262105704,208587.49327726988,141741.62517974118,43857.66707044742,285.9207150152037,20781.817966499122,861723.9477631315,70163.62242524259,1030280.0849518763,4559.517721910885,4414.95281395004,188.45196790737012,849.4971929844354,105.49622479412733,123.90307290834532,6308.649613658233,46483.0594270577,5730.764741011929,360030.5327446436,14682.003440175133,2762.133340009698,0.0,0.0,0.0,0.0,0.0,0.0,0.1999719545385345,0.0,0.0,0.0,0.0003238636110693973,0.0,0.0004410094701360185,0.0,0.0,0.0,0.0,0.0,0.0,0.09210671202995038,0.0,0.0,0.0,0.00016224135506280688,0.0,0.00037400286484365835,0.0
2026-07-11 10:58:15.033999920,0.0,0.0,0.0,0.0,0.0,0.0,632576.8974206498,0.0,0.0,0.0,871.4563264121101,0.0,2343.8046207110892,0.0,0.013132461187884767,0.028479124974744207,0.006804952307813366,0.005570160506881192,0.00488974421321357,0.004984082398679235,0.0006107250869451587,0.00035367082427982007,0.0001570531305027075,0.04830290557015588,0.004939067270705005,0.02354603443427501,329043.3544158144,248773.5338418888,242763.12056493622,260226.93719652496,231503.41898848236,176118.62001384675,91416.25715078277,104295.49954271146,48072.54593036854,1218435.3883135489,130323.04870516695,1371285.3325563476,275014.9933695699,175960.55501165884,199848.9088824037,209834.69262105704,208587.49327726988,141741.62517974118,43857.66707044742,285.9207150152037,21191.03767547982,861723.9477631315,70163.62242524259,1026378.7129736533,4553.051691302457,4414.95281395004,188.45196790737012,849.4971929844354,105.49622479412733,123.90307290834532,6348.50155039146,46483.0594270577,5744.699968666287,360030.5327446436,14682.003440175133,2754.563845850324,0.0,0.0,0.0,0.0,0.0,0.0,0.20039383452307297,0.0,0.0,0.0,0.00032454695923323916,0.0,0.00044254041249712955,0.0,0.0,0.0,0.0,0.0,0.0,0.09210667984095999,0.0,0.0,0.0,0.00016224135506280688,0.0,0.00037400386039105666,0.0
2026-07-11 10:58:30.033999920,0.0,0.0,0.0,0.0,0.0,0.0,633166.6997564313,0.0,0.0,0.0,867.8810425864299,0.0,2316.0716670128395,0.0,0.013132461187884767,0.028479124974744207,0.006804952307813366,0.005570160506881192,0.00488974421321357,0.004984082398679235,0.00016680167696070668,0.00035367082427982007,0.0001570531305027075,0.04830290557015588,0.004939067270705005,0.023455907371547905,329043.3544158144,248773.5338418888,242763.12056493622,260226.93719652496,231503.41898848236,176118.62001384675,93990.547079836,104295.49954271146,48072.54593036854,1218435.3883135489,130323.04870516695,1362736.554781534,275014.9933695699,175960.55501165884,199848.9088824037,209834.69262105704,208587.49327726988,141741.62517974118,44888.856041809646,285.9207150152037,21191.03767547982,861723.9477631315,70163.62242524259,1022617.7637390196,4553.051691302457,4414.95281395004,188.45196790737012,849.4971929844354,105.49622479412733,123.90307290834532,6194.921606926042,46483.0594270577,5744.699968666287,360030.5327446436,14682.003440175133,2761.7592021522405,0.0,0.0,0.0,0.0,0.0,0.0,0.2008157145076114,0.0,0.0,0.0,0.000325230307397081,0.0,0.0004440713548582407,0.0,0.0,0.0,0.0,0.0,0.0,0.09292171965069156,0.0,0.0,0.0,0.00016234413951413996,0.0,0.0003721179336480568,0.0
2026-07-11 10:58:45.033999920,0.0,0.0,0.0,0.0,0.0,0.0,633167.0153870293,0.0,0.0,0.0,867.8810425864299,0.0,2316.086080095893,0.0,0.013132461187884767,0.028479124974744207,0.006804952307813366,0.005570160506881192,0.00488974421321357,0.004960871976919912,0.00016680167696070668,0.0003481710780946299,0.00015364950622584795,0.04830290557015588,0.0049406189553406745,0.023265693630557863,329043.3544158144,248773.5338418888,242763.12056493622,260226.93719652496,231503.41898848236,180291.63162330515,93990.547079836,107952.66889198165,46770.72735079433,1218435.3883135489,136044.51757591972,1353722.1649770495,275014.9933695699,175960.55501165884,199848.9088824037,209834.69262105704,208587.49327726988,144855.00678322365,44888.856041809646,273.02933526710996,20617.178188063546,861723.9477631315,73244.09970152464,1014397.8728040181,4553.051691302457,4414.95281395004,188.45196790737012,849.4971929844354,105.49622479412733,127.72223786211413,6194.921606926042,44387.2659449536,5589.131816230142,360030.5327446436,15154.984417811596,2762.893639549144,0.0,0.0,0.0,0.0,0.0,0.0,0.2012375944921498,0.0,0.0,0.0,0.00032591365556092276,0.0,0.0004456022972193519,0.0,0.0,0.0,0.0,0.0,0.0,0.09292176056549704,0.0,0.0,0.0,0.00016234413951413996,0.0,0.00037211893421080616,0.0
2026-07-11 10:59:00.033999920,0.0,0.0,0.0,0.0,0.0,0.0,633638.5518810268,0.0,0.0,0.0,867.2449334838429,0.0,2289.2372738760823,0.0,0.013132461187884767,0.027748307759893374,0.0066889007876727085,0.005570160506881192,0.00488974421321357,0.004960871976919912,0.00016680167696070668,0.0003481710780946299,0.00015364950622584795,0.048235407588170374,0.0049406189553406745,0.023186407091914017,329043.3544158144,244012.67738603888,237572.58382473208,260226.93719652496,231503.41898848236,180291.63162330515,93990.547079836,107952.66889198165,46770.72735079433,1148463.2879469504,136044.51757591972,1357408.4277641594,275014.9933695699,174432.93788663766,192984.31024835363,209834.69262105704,208587.49327726988,144855.00678322365,44888.856041809646,273.02933526710996,20617.178188063546,822627.7442839015,73244.09970152464,1016867.5874452085,4553.051691302457,4301.261529168505,188.6420178194809,849.4971929844354,105.49622479412733,127.72223786211413,6194.921606926042,44387.2659449536,5589.131816230142,370279.22405385156,15250.778079220467,2745.9757307841783,0.0,0.0,0.0,0.0,0.0,0.0,0.20187968968072886,0.0,0.0,0.0,0.0003252385564849672,0.0,0.0004410094226062391,0.0,0.0,0.0,0.0,0.0,0.0,0.09329012060088304,0.0,0.0,0.0,0.00016257576242174857,0.0,0.0003702781065449945,0.0
2026-07-11 10:59:15.033999920,0.0,0.0,0.0,0.0,0.0,0.0,633639.4229808695,0.0,0.0,0.0,867.2449334838429,0.0,2289.251686940889,0.0,0.013132461187884767,0.027748307759893374,0.0066889007876727085,0.005449301952028561,0.00477007111925087,0.004892557948163397,0.00016680167696070668,0.0003481710780946299,0.00015364950622584795,0.04781321691387713,0.004895125345793364,0.022918414545433256,329043.3544158144,244012.67738603888,237572.58382473208,259918.18959859922,225837.5335750024,191514.29561762646,93990.547079836,107952.66889198165,46770.72735079433,1195685.7781277266,145935.3968537965,1347074.4499816098,275014.9933695699,174432.93788663766,192984.31024835363,206204.25296230262,203482.45923173457,150838.14006544196,44888.856041809646,273.02933526710996,20617.178188063546,848501.5973271478,79170.48128931034,1009320.972390893,4553.051691302457,4301.261529168505,188.6420178194809,845.8608984697164,102.91427795355825,123.22952057540105,6194.921606926042,44387.2659449536,5589.131816230142,355321.96378029836,14848.979479486368,2730.3185344486537,0.0,0.0,0.0,0.0,0.0,0.0,0.20230203051205145,0.0,0.0,0.0,0.0003259190620872082,0.0,0.00044251939594705156,0.0,0.0,0.0,0.0,0.0,0.0,0.09329008756548438,0.0,0.0,0.0,0.00016257576242174857,0.0,0.00037027911212282155,0.0
2026-07-11 10:59:30.033999920,0.0,0.0,0.0,0.0,0.0,0.0,634285.510999194,0.0,0.0,0.0,866.4880243538705,0.0,2259.779744483118,0.0,0.013132461187884767,0.02772233037307269,0.0066889007876727085,0.005449301952028561,0.004694398277396942,0.004892557948163397,0.00016680167696070668,0.0003540948004670767,0.00015364950622584795,0.04781321691387713,0.004895125345793364,0.022824202698984584,329043.3544158144,238147.5755678028,237572.58382473208,259918.18959859922,240832.41634559783,191514.29561762646,93990.547079836,111869.41551121979,46770.72735079433,1195685.7781277266,145935.3968537965,1338884.5592175801,275014.9933695699,169234.11751379768,192984.31024835363,206204.25296230262,213664.2354710886,150838.14006544196,44888.856041809646,282.9354055554724,20617.178188063546,848501.5973271478,79170.48128931034,1003967.5803789275,4553.051691302457,4419.1930436261955,188.6420178194809,845.8608984697164,125.97301796526679,123.22952057540105,6194.921606926042,45997.72797068712,5589.131816230142,355321.96378029836,14848.979479486368,2710.2446326792656,0.0,0.0,0.0,0.0,0.0,0.0,0.202724371343374,0.0,0.0,0.0,0.0003265995676894491,0.0,0.00044402936928786415,0.0,0.0,0.0,0.0,0.0,0.0,0.0940949324391037,0.0,0.0,0.0,0.0001637100357604595,0.0,0.00036872525186496305,0.0
