api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
208.38996000000003,852.6851999999996,706.4945999999995,697.4240400000014,293.71787999999975,593.5478400000004,313.01243999999986,1566.41472,781.2331199999994,4945.752359999998,68902.52112
203.82948000000022,857.4584399999997,713.3515199999999,708.1516799999999,290.84255999999976,591.8274000000001,309.3501599999999,1565.6083200000014,792.3092400000003,4937.59404,68473.89719999999
202.59396000000007,857.8983599999995,710.55396,709.6319999999993,288.4417199999999,591.6574800000003,308.4854400000002,1569.0747600000025,797.9050799999989,4940.7508800000005,68647.14791999999
202.09139999999996,856.9699199999989,710.9312399999995,710.7012000000007,285.98147999999964,590.0814000000001,304.4916000000003,1571.6152800000007,799.6096799999989,4943.052000000001,68679.35423999997
199.75536000000017,861.5149199999987,713.2802399999994,711.9694800000003,284.5609199999999,588.0934799999998,303.20820000000015,1571.428440000001,801.401039999999,4954.356000000001,68841.10475999999
196.59168000000045,865.0234799999992,718.04268,715.4956800000002,283.74732000000023,588.3192000000004,300.9581999999997,1575.047880000003,799.9293599999994,4966.323120000001,68931.45431999999
194.99580000000043,864.3945600000003,715.69008,718.8415200000004,282.91175999999996,587.3788799999999,300.17195999999996,1577.2057200000027,798.2848799999999,4969.351799999999,68996.89259999999
193.41756000000015,861.4663200000014,719.5395599999999,718.8670799999991,281.7662400000001,588.1381199999994,297.9745200000004,1579.4359200000015,796.7426400000004,4964.451479999998,68967.92160000002
193.8542400000003,862.1744400000005,719.6396400000001,714.7198799999999,281.42172000000016,586.9191599999997,297.60444000000007,1585.8500400000007,793.9580400000001,4970.008800000001,68922.55584
193.39992000000052,859.26708,726.5386799999999,713.6387999999998,281.84399999999977,586.0231199999998,297.16668000000044,1585.235879999999,792.7941599999992,4971.228120000002,68931.28331999996
195.40692000000016,859.6126799999996,725.7225600000004,711.5140799999984,282.41748000000007,587.1304799999998,295.9135200000004,1593.4175999999998,789.2578799999994,4971.1687200000015,68837.88743999998
195.3237599999999,857.7212399999996,724.4848800000007,707.3841599999992,282.64824000000044,588.7281599999997,295.20647999999983,1588.3631999999998,787.0201200000006,4961.865239999999,68788.8072
197.55144000000016,854.7303600000007,726.2344800000004,707.1267599999994,283.7152800000001,590.0522400000001,294.89255999999966,1592.4419999999977,780.5008800000012,4962.953159999998,68699.11248000001
