timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-07-01 03:47:34.573999882,0.0,0.0,0.0,0.0,140.80394952889637,142.43071333693413,0.0,0.0,0.0,0.0,0.0,37173.469855700256,0.0003516143999268236,0.0002256190818914164,0.0003595414322545724,0.0002625033541666667,0.0003835035971423087,0.0003670317773439211,0.00022721951830953187,0.0002425731250362066,0.01786732778983997,0.00034997577553840984,0.0019491208402707522,4665.140247007907,1386.3252576748312,4304.137680284125,3898.026666666667,4617.8852507726015,4428.523045198977,2015.1116332524582,4176.916446341877,93704.63321108083,5061.380161042178,24000.018549972574,4669.441897765867,3155.780404743434,4916.597523154743,4526.08,5348.374036972523,5220.074671339905,2683.2041998325744,4699.031002134612,61919.5182853408,5281.090681532098,12116.94143640065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41148.265523560534,67.58189774021459,0.0,0.0,0.0,0.0,0.0,1.4570039294444446e-05,1.4282153638888887e-05,0.0,0.0,0.0,0.0,0.0,0.004188640835816667,0.0,0.0,0.0,0.0,8.85500393703948e-06,8.957309305411635e-06,0.0,0.0,0.0,0.0,0.0,0.002337798215369594
2026-07-01 03:47:49.573999882,0.0,0.0,0.0,0.0,152.5604208911931,153.35489074299434,0.0,0.0,0.0,0.0,0.0,40202.22047795355,0.00037669580243073934,0.0002425496343684196,0.00038952109865534733,0.00039168680636962524,0.0002961629375000001,0.000374851803683861,0.00024576646580453044,0.00026046496462855224,0.019052718949553373,0.00037689036018295817,0.0022112957066413013,4968.177363684489,1490.3556984003842,4613.362225894061,2655.031468893457,3689.8133333333335,3569.4528043804685,2167.122870642319,4459.335170485671,99879.61625440359,5423.713074786709,19889.142947043732,4972.7584400917585,3392.5915170859653,5269.823360239049,3066.2484640756084,4273.493333333334,3957.3896908310476,2885.613428113339,5016.752066796381,66020.02020298684,5659.152181262362,15925.410206102017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43881.933468657895,73.33625846670263,0.0,0.0,0.0,0.0,0.0,1.5914997627777782e-05,1.5618195305555557e-05,0.0,0.0,0.0,0.0,0.0,0.004529044210816667,0.0,0.0,0.0,0.0,9.594355358268365e-06,9.644318684503865e-06,0.0,0.0,0.0,0.0,0.0,0.002528272976724634
2026-07-01 03:48:04.573999882,0.0,0.0,0.0,0.0,164.57477400103357,165.57953941687367,0.0,0.0,0.0,0.0,0.0,43255.74307451614,0.0004017772049346551,0.00025948018684542284,0.00041950076505612225,0.0004186275036972638,0.0004096109006858817,0.0004017066582253603,0.0002643134132995289,0.00027835680422089783,0.014188235712527489,0.00040380494482750655,0.002425504506184681,5271.214480361069,1594.3861391259375,4922.586771503998,2816.996384163942,3604.6999710169634,3793.1623012314762,2319.13410803218,4741.753894629465,72887.70788839483,5786.045988531239,21207.629563241047,5276.074982417649,3629.4026294284977,5623.049197323357,3253.2988544384916,3982.3983135683734,4205.412484546858,3088.0226563941033,5334.473131458148,48497.78087422483,6037.213680992627,16720.227497030377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31393.634288102545,79.09061919319068,0.0,0.0,0.0,0.0,0.0,1.7132975885185187e-05,1.72244328e-05,0.0,0.0,0.0,0.0,0.0,0.0048523303423259265,0.0,0.0,0.0,0.0,1.0349924676065e-05,1.0413113256661165e-05,0.0,0.0,0.0,0.0,0.0,0.0027203056200195705
2026-07-01 03:48:19.573999882,0.0,0.0,0.0,0.0,178.52191381880712,179.52395147009094,0.0,0.0,0.0,0.0,0.0,46209.497834704845,0.0004268586074385709,0.0002658794256552381,0.0004082606598663154,0.0004455682010249023,0.0004365424596021768,0.00042856151276685967,0.0002828603607945274,0.0002664776674133789,0.015018702548171283,0.00033322234374999997,0.002581654790248822,5574.251597037651,1226.145011809524,4081.7627982794706,2978.9612994344266,3814.1961776489643,4016.871798082484,2471.145345422041,2705.9206400201338,77116.90896287348,4835.839999999999,22500.568859153016,5579.391524743541,2714.431370971429,4474.540410361038,3440.349244801375,4213.845409498213,4453.435278262668,3290.4318846748683,3037.4407184331963,51329.75450216792,5045.759999999999,17741.961293049895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33234.28428955566,64.0,0.0,0.0,0.0,0.0,0.0,1.8467614774074073e-05,1.8582432800000004e-05,0.0,0.0,0.0,0.0,0.0,0.005191537120103704,0.0,0.0,0.0,0.0,1.1227044802382757e-05,1.129006183689683e-05,0.0,0.0,0.0,0.0,0.0,0.0029060639749381046
2026-07-01 03:48:34.573999882,0.0,0.0,0.0,0.0,190.67270471010184,191.87000034769687,0.0,0.0,0.0,0.0,0.0,49256.44341300095,0.0004519400099424866,0.0002822332859726984,0.0004351662732782435,0.00047250889835254086,0.0004634740185184721,0.00045541636730835896,0.0002744646239765694,0.0002822818783488222,0.015849169383815077,0.00043042141087671666,0.002735365608909795,5877.2887137142325,1301.5634245079364,4327.971007603563,3140.926214704911,4023.692384280965,4240.581294933491,1521.4828101921066,2859.5254719602112,81346.11003735212,4040.828306021918,23368.913406852385,5882.708067069432,2881.3921328761903,4744.440607023042,3627.3996351642577,4445.292505428052,4701.458071978479,1721.1638637408566,3209.8646854122903,54161.72813011101,4217.155359375602,28137.953215023583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35074.93429100878,54.440614292982275,0.0,0.0,0.0,0.0,0.0,1.9802253662962967e-05,1.9940432800000007e-05,0.0,0.0,0.0,0.0,0.0,0.005530743897881482,0.0,0.0,0.0,0.0,1.1991194540657515e-05,1.2066491132977379e-05,0.0,0.0,0.0,0.0,0.0,0.003097682996862059
2026-07-01 03:48:49.573999882,0.0,0.0,0.0,0.0,204.0577225470625,202.67876203911698,0.0,0.0,0.0,0.0,0.0,52317.63772163723,0.0004770214124464024,0.00029858714629015876,0.0004620718866901714,0.0004994495956801793,0.0004904055774347673,0.0004822712218498582,0.00029110398074049513,0.00029808608928426556,0.016679636219458876,0.00045560759761385913,0.002832308339370002,6180.325830390813,1376.9818372063492,4574.179216927656,3302.8911299753963,4233.188590912966,4464.2907917845,1608.0301938429388,3013.1303039002883,85575.31111183074,4262.701350337997,24614.079256995632,6186.024609395323,3048.3528947809523,5014.340803685047,3814.450025527141,4676.739601357891,4949.4808656942905,1819.0698198537095,3382.2886523913835,56993.70175805409,4448.710136534564,29553.33499496501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36915.5842924619,57.898376022583506,0.0,0.0,0.0,0.0,0.0,2.1136892551851854e-05,2.1298432800000003e-05,0.0,0.0,0.0,0.0,0.0,0.00586995067565926,0.0,0.0,0.0,0.0,1.2832963440181928e-05,1.2746242146015578e-05,0.0,0.0,0.0,0.0,0.0,0.0032901981056051854
2026-07-01 03:49:04.573999882,0.0,0.0,0.0,0.0,216.28486020662893,214.92971745843877,0.0,0.0,0.0,0.0,0.0,55365.41283447465,0.0004985347741890493,0.0003149410066076191,0.0004889775001020995,0.0005263902930078179,0.0005173371363510624,0.0004993143333336566,0.0003077433375044208,0.0003138903002197089,0.017510103055102665,0.00048079378435100177,0.002982268130769003,4428.630568709129,1452.400249904762,4820.387426251749,3464.8560452458805,4442.684797544966,3433.5217873773977,1694.5775774937706,3166.735135840366,89804.51218630938,4484.574394654075,24965.372379288012,4426.628475323637,3215.3136566857142,5284.241000347051,4001.5004158900233,4908.18669728773,12150.806468846928,1916.9757759665622,3554.712619370477,59825.67538599718,4680.264913693526,35106.320563243586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38756.23429391502,61.35613775218475,0.0,0.0,0.0,0.0,0.0,2.2856848719444448e-05,2.270398885555556e-05,0.0,0.0,0.0,0.0,0.0,0.006197444457102778,0.0,0.0,0.0,0.0,1.3601914541883552e-05,1.3516691120164037e-05,0.0,0.0,0.0,0.0,0.0,0.0034818692960347387
2026-07-01 03:49:19.573999882,0.0,0.0,0.0,0.0,230.44469983440825,230.41291004330583,0.0,0.0,0.0,0.0,0.0,58448.07582680907,0.0005234216348119823,0.000319206723648755,0.0005158831135140275,0.0005355154059879389,0.0005363739016931349,0.000525618416048911,0.00032438269426834655,0.0003296945111551522,0.015590146777777779,0.0005059799710881444,0.003090574456088859,4635.789104223777,1153.0237072273685,5066.595635575841,2455.5136731262737,3422.5964738357657,3599.562099571914,1781.1249611446028,3320.3399677804437,80027.02222222224,4706.4474389701545,20708.396005451905,4633.693358697456,2534.6811752040953,5554.141197009055,2831.1103369432863,3779.0300895640944,12738.402477970703,2014.881732079415,3727.1365863495707,53278.43555555557,4911.819690852489,37239.3091598873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34500.83555555555,64.81389948178597,0.0,0.0,0.0,0.0,0.0,2.4215119552777774e-05,2.4064905522222227e-05,0.0,0.0,0.0,0.0,0.0,0.006536011352936112,0.0,0.0,0.0,0.0,1.449241112291945e-05,1.449041189827901e-05,0.0,0.0,0.0,0.0,0.0,0.0036757345464415478
2026-07-01 03:49:34.573999882,0.0,0.0,0.0,0.0,242.77822827210392,242.84179265098675,0.0,0.0,0.0,0.0,0.0,61497.670886470245,0.0005483084954349154,0.0003349593742600911,0.0005427887269259554,0.0005615312461962099,0.0005628873646995393,0.0005519224987641654,0.00034102205103227234,0.00034549872209059556,0.01452218014395696,0.0005311661578252869,0.0032320983305371646,4842.947639738425,1209.9247004111037,5312.803844899933,2565.030463219328,3579.117176844404,3765.6024117664306,1867.6723447954346,3473.944799720521,141734.64561633617,4928.320483286234,25245.03205930728,4840.758242071274,2659.7660935532977,5824.041393671058,2957.3788728893896,3951.8510606692475,13325.998487094479,2112.7876881922675,3899.5605533286644,94155.49926432985,5143.374468011451,41743.02902221861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30586.338299126783,68.2716612113872,0.0,0.0,0.0,0.0,0.0,2.557339038611111e-05,2.5425822188888893e-05,0.0,0.0,0.0,0.0,0.0,0.006874578248769445,0.0,0.0,0.0,0.0,1.5268053022445647e-05,1.52720505156065e-05,0.0,0.0,0.0,0.0,0.0,0.003867520191304684
2026-07-01 03:49:49.573999882,0.0,0.0,0.0,0.0,255.13684523980194,253.8206289396036,0.0,0.0,0.0,0.0,0.0,64473.380119759284,0.0005731953560578484,0.0003507120248714272,0.0005513558577450946,0.000587547086404481,0.000589400827705944,0.0005782265814794198,0.000357661407796198,0.0003613029330260389,0.015150922137081744,0.00046897334722222224,0.0034464656863900855,5050.106175253073,1266.8256935948389,12536.470152610626,2674.547253312381,3735.637879853043,3931.6427239609466,1954.2197284462666,3627.549631660599,147850.18755575767,4380.444444444444,27247.39258797551,5047.823125445093,2784.8510119025004,4005.6769172883355,3083.647408835492,4124.672031774402,13913.594496218255,2210.6936443051204,4071.9845203077584,98231.35283238193,4571.591111111111,44361.93213340993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31912.73697793628,59.73333333333333,0.0,0.0,0.0,0.0,0.0,2.6931661219444442e-05,2.6786738855555562e-05,0.0,0.0,0.0,0.0,0.0,0.007213145144602778,0.0,0.0,0.0,0.0,1.6045272711747542e-05,1.5962497331090624e-05,0.0,0.0,0.0,0.0,0.0,0.004054659238642639
