timestamp,nginx-ingress_nginx-ingress_energy
2026-06-14 09:14:02.414999962,768.5063999999974
2026-06-14 09:14:17.414999962,768.5063999999974
2026-06-14 09:14:32.414999962,784.4796000000007
2026-06-14 09:14:47.414999962,784.4796000000007
2026-06-14 09:15:02.414999962,771.9912000000008
2026-06-14 09:15:17.414999962,771.9912000000008
2026-06-14 09:15:32.414999962,766.0548000000006
2026-06-14 09:15:47.414999962,766.0548000000006
2026-06-14 09:16:02.414999962,756.846
2026-06-14 09:16:17.414999962,756.846
2026-06-14 09:16:32.414999962,752.5584000000025
2026-06-14 09:16:47.414999962,752.5584000000025
2026-06-14 09:17:02.414999962,743.9291999999995
2026-06-14 09:17:17.414999962,743.9291999999995
2026-06-14 09:17:32.414999962,748.4759999999994
2026-06-14 09:17:47.414999962,748.4759999999994
2026-06-14 09:18:02.414999962,757.4796000000024
2026-06-14 09:18:17.414999962,757.4796000000024
