timestamp,nginx-ingress_nginx-ingress_energy
2026-06-14 09:19:03.901000023,750.7511999999984
2026-06-14 09:19:18.901000023,750.7511999999984
2026-06-14 09:19:33.901000023,749.1096000000001
2026-06-14 09:19:48.901000023,749.1096000000001
2026-06-14 09:20:03.901000023,744.1056000000007
2026-06-14 09:20:18.901000023,744.1056000000007
2026-06-14 09:20:33.901000023,732.8628000000007
2026-06-14 09:20:48.901000023,732.8628000000007
2026-06-14 09:21:03.901000023,721.0332000000025
2026-06-14 09:21:18.901000023,721.0332000000025
2026-06-14 09:21:33.901000023,713.1203999999996
2026-06-14 09:21:48.901000023,713.1203999999996
2026-06-14 09:22:03.901000023,696.607200000001
2026-06-14 09:22:18.901000023,696.607200000001
2026-06-14 09:22:33.901000023,685.0691999999971
2026-06-14 09:22:48.901000023,685.0691999999971
2026-06-14 09:23:03.901000023,682.261199999997
2026-06-14 09:23:18.901000023,682.261199999997
