,api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy,api-gateway_sidecar_energy_anomaly,api-gateway_sidecar_energy_anomaly_score,clientone_sidecar_energy_anomaly,clientone_sidecar_energy_anomaly_score,clientthree_sidecar_energy_anomaly,clientthree_sidecar_energy_anomaly_score,clienttwo_sidecar_energy_anomaly,clienttwo_sidecar_energy_anomaly_score,orchestrator_sidecar_energy_anomaly,orchestrator_sidecar_energy_anomaly_score,policy-enforcer_sidecar_energy_anomaly,policy-enforcer_sidecar_energy_anomaly_score,server_sidecar_energy_anomaly,server_sidecar_energy_anomaly_score
0,297.6659999999947,543.1530000000217,405.92199999999485,467.6579999999872,280.78900000002074,231.7740000000074,499.34700000001055,1,0.07895260469220639,1,0.00817825655390525,-1,-0.06368075922672745,1,0.006329434038990056,-1,-0.07503911668183794,1,0.022482584665370897,1,0.09591320608043308
1,297.66599999999465,534.4319999999917,410.2910000000027,467.6579999999872,280.7890000000207,231.7740000000074,499.34700000001055,1,0.07895260469220639,1,0.017734952220317346,-1,-0.002415832181548172,1,0.006329434038990056,-1,-0.07503911668183794,1,0.022482584665370897,1,0.09591320608043308
2,297.66399999999254,534.4319999999917,410.2910000000027,469.5350000000159,281.46799999999536,229.68599999999597,499.2730000000254,1,0.07895260469220639,1,0.017734952220317346,-1,-0.002415832181548172,1,0.0068194669252326645,-1,-0.007032964283017473,1,0.060166718710353784,1,0.09736159665144373
3,297.6639999999925,541.9579999999802,416.80299999999056,469.5350000000159,281.46799999999536,229.68599999999597,499.2730000000253,1,0.07895260469220639,1,0.05657331631325763,1,0.021499303961450944,1,0.0068194669252326645,-1,-0.007032964283017473,1,0.060166718710353784,1,0.09736159665144373
4,304.2220000000056,541.9579999999802,416.80299999999056,473.9250000000054,287.4739999999998,232.7779999999951,509.6240000000104,1,0.001240851108166685,1,0.05657331631325763,1,0.021499303961450944,-1,-0.022843416223620183,1,0.012229141560710421,-1,-0.01102968885333222,-1,-0.02325382058953107
5,304.22200000000555,553.8729999999671,423.3690000000048,473.9250000000054,287.4739999999998,232.7779999999951,509.6240000000104,1,0.001240851108166685,-1,-0.024599834805796195,-1,-0.03479593569776429,-1,-0.022843416223620183,1,0.012229141560710421,-1,-0.01102968885333222,-1,-0.02325382058953107
6,302.91400000001147,553.8729999999671,423.3690000000048,473.112000000014,285.612999999989,229.4419999999971,523.641999999981,-1,-0.003480135266038964,-1,-0.024599834805796195,-1,-0.03479593569776429,-1,-0.007743682542086905,-1,-0.03537402918675647,1,0.03931007709940526,-1,-0.06598156850878412
7,302.91400000001147,565.1690000000219,423.6090000000009,473.112000000014,285.612999999989,229.4419999999971,523.6419999999808,-1,-0.003480135266038964,-1,-0.10291245658497117,-1,-0.05029427417065169,-1,-0.007743682542086905,-1,-0.03537402918675647,1,0.03931007709940526,-1,-0.06598156850878412
8,305.21200000000425,565.1690000000219,423.6090000000009,463.90199999998674,288.30800000000744,230.3440000000026,531.4229999999997,-1,-0.037972438080858484,-1,-0.10291245658497117,-1,-0.05029427417065169,-1,-0.041427384198636785,1,0.008098622858645765,1,0.04106348720408576,-1,-0.11664403716666516
9,305.21200000000425,524.5100000000405,405.3559999999952,463.90199999998674,288.30800000000744,230.3440000000026,531.4229999999997,-1,-0.037972438080858484,-1,-0.008034025096406272,1,0.002836096778000785,-1,-0.041427384198636785,1,0.008098622858645765,1,0.04106348720408576,-1,-0.11664403716666516
