api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
293.7528,542.9428000000003,428.39279999999945,465.11360000000025,293.75079999999974,284.27880000000005,568.4700000000001
293.7528,542.9428000000003,428.39279999999945,466.79079999999965,293.75079999999974,284.2788,567.6939999999997
292.30200000000013,546.9359999999999,415.6052000000003,466.79079999999965,292.29960000000005,284.1111999999998,563.7819999999995
292.3020000000001,546.9359999999999,415.6052000000003,465.2116000000001,292.29960000000005,284.1111999999998,565.4239999999998
292.51319999999976,550.5208000000005,414.78880000000055,465.2116000000001,292.5172,284.8856000000001,559.3296
292.51319999999976,550.5208000000005,414.78880000000055,467.47559999999976,292.5172,284.8856000000001,558.6292
292.62319999999994,549.148,408.2088,467.47559999999976,292.62480000000016,284.71359999999976,545.3483999999997
292.62319999999994,549.148,408.2088,462.2392000000003,292.62480000000016,284.71359999999976,546.5748000000001
293.2611999999999,548.2012000000001,411.7051999999997,462.2392000000003,293.2676,284.43360000000007,543.5264
293.26119999999986,548.2012000000001,411.7051999999997,462.4243999999999,293.2676,284.43360000000007,541.0464000000005
292.6368000000001,546.7051999999998,408.8139999999994,462.4243999999999,292.63439999999997,283.79560000000015,540.1680000000005
292.6368000000001,546.7051999999998,408.8139999999994,462.2036000000001,292.6343999999999,283.79560000000015,540.9343999999999
292.36640000000017,552.1300000000002,419.4548000000003,462.2036000000001,292.362,283.42040000000026,545.6319999999996
292.36640000000017,552.1300000000002,419.4548000000003,467.1991999999997,292.362,283.42040000000026,543.4503999999997
293.7700000000001,557.2132000000001,422.34080000000023,467.1991999999997,293.7655999999999,284.86080000000004,544.2160000000003
293.7700000000001,557.2132000000001,422.34080000000023,469.658,293.7655999999999,284.8608,544.1580000000001
295.46519999999975,565.5616000000002,434.5956000000002,469.658,295.4656000000002,286.2811999999998,545.2352
295.46519999999975,565.5616000000002,434.5956000000002,472.28679999999986,295.46560000000017,286.2811999999998,544.2048000000002
297.02639999999974,567.9163999999994,434.24760000000026,472.28679999999986,297.02639999999997,287.8555999999999,548.5536000000001
297.02639999999974,567.9163999999994,434.24760000000026,471.67760000000015,297.02639999999997,287.8555999999999,547.9065953801543
296.85879999999986,563.4487999999997,440.09559999999976,471.67760000000015,296.84639999999985,288.11280000000016,557.4893953801537
296.85879999999986,563.4487999999997,440.09559999999976,470.2191999999999,296.84639999999985,288.11280000000016,557.6511999999991
295.6680000000004,555.9327999999994,429.97879999999975,470.2191999999999,295.6531999999998,287.4495999999998,564.7219999999991
295.6680000000004,555.9327999999994,429.97879999999975,465.4112000000003,295.6531999999998,287.4495999999998,564.6095999999994
294.3636,553.0240000000002,424.81079999999946,465.4112000000003,294.3535999999998,287.3416000000001,569.3544
