timestamp,api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
2026-06-19 13:46:57.243999958,454.04999999999995,874.025999999995,727.1496000000018,769.6656000000002,454.04999999999995,454.04999999999995,823.8527999999965
2026-06-19 13:47:12.243999958,457.383599999998,885.7512000000004,746.8380000000025,769.6656000000002,457.36199999999803,457.379999999998,823.8527999999965
2026-06-19 13:47:27.243999958,457.383599999998,885.7512000000003,746.8380000000025,789.7968000000016,457.36199999999803,457.379999999998,856.033200000002
2026-06-19 13:47:42.243999958,454.80240000000043,849.8088000000034,751.7879999999982,789.7968000000016,454.7808000000004,454.7988000000004,856.033200000002
2026-06-19 13:47:57.243999958,454.80240000000043,849.8088000000032,751.7879999999982,801.1656000000039,454.7808000000004,454.7988000000004,866.2104000000018
2026-06-19 13:48:12.243999958,455.46479999999997,847.5732000000063,749.5415999999989,801.1656000000039,455.42159999999996,455.4396,866.2104000000018
2026-06-19 13:48:27.243999958,455.46479999999997,847.5732000000062,749.5415999999989,812.3148000000008,455.42159999999996,455.4396,864.8244000000075
2026-06-19 13:48:42.243999958,454.7700000000025,830.6820000000014,713.9952000000003,812.3148000000008,454.7267999999981,454.7448000000025,864.8244000000075
2026-06-19 13:48:57.243999958,454.7700000000025,830.6820000000013,713.9952000000003,785.2211999999962,454.7267999999981,454.7448000000025,833.9399999999997
2026-06-19 13:49:12.243999958,454.3308000000003,813.5892000000043,679.2731999999995,785.2211999999962,454.3236000000003,454.2840000000003,833.9399999999997
2026-06-19 13:49:27.243999958,454.3308000000003,813.5892000000042,679.2731999999995,734.2128000000037,454.3236000000003,454.2840000000003,766.4328000000074
2026-06-19 13:49:42.243999958,446.8031999999991,779.1192000000053,652.6403999999984,734.2128000000037,446.8175999999991,446.7599999999991,766.4328000000074
2026-06-19 13:49:57.243999958,446.8031999999991,779.1192000000052,652.6403999999984,692.3123999999989,446.8175999999991,446.7599999999991,740.2680000000003
2026-06-19 13:50:12.243999958,448.64999999999986,757.8540000000021,646.405200000004,692.3123999999989,448.6643999999999,448.60679999999985,740.2680000000003
2026-06-19 13:50:27.243999958,448.64999999999986,757.854000000002,646.405200000004,668.671199999995,448.6643999999999,448.60679999999985,725.0147999999994
2026-06-19 13:50:42.243999958,444.72599999999943,721.0727999999954,626.7168000000003,668.671199999995,444.76199999999943,444.7043999999994,725.0147999999994
2026-06-19 13:50:57.243999958,444.72599999999943,721.0727999999951,626.7168000000003,622.9871999999964,444.76199999999943,444.7043999999994,690.6167999999984
2026-06-19 13:51:12.243999958,445.48919999999765,723.7511999999946,635.9760000000044,622.9871999999964,445.52520000000203,445.4675999999977,690.6167999999984
