api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
436.8711599999998,780.8475599999994,682.2306,711.4784400000004,436.8801600000003,436.86971999999935,737.5888799999977
438.70607999999874,786.2806799999992,687.8505600000013,719.1309599999998,438.7071600000005,438.6985199999987,740.4397199999966
440.4463199999994,795.6820799999998,689.1552000000015,726.7352400000002,440.4448800000003,440.44055999999983,751.4909999999983
441.41183999999964,797.7441600000008,689.5130399999994,731.1621599999993,441.4086000000005,441.4060800000005,749.2831199999998
444.3339599999995,818.3872800000014,702.3517199999977,741.2014799999993,444.3343200000003,444.3318000000004,762.8335200000004
446.6397600000002,824.4486000000019,705.7025999999992,759.1809599999993,446.64156000000014,446.64300000000014,777.5924400000018
448.39547999999985,823.577759999999,712.3445999999998,759.5650799999997,448.39151999999984,448.39512000000076,780.8598000000011
449.66232000000036,820.2891599999988,706.4600399999994,761.7636000000015,449.6583599999991,449.6619600000008,779.3175600000012
452.0052000000002,824.9576400000009,717.0580799999998,755.878680000001,452.0048399999988,452.0066400000002,776.8818000000012
452.5703999999996,820.032480000001,711.3254400000008,755.927999999999,452.5790399999995,452.5714799999995,777.3573600000007
449.5881600000005,795.6583200000007,696.4704000000004,737.8696799999996,449.61768,449.5910400000009,758.676600000002
447.3842400000006,786.5823600000004,689.4608399999994,729.3736800000004,447.4252799999993,447.39108000000107,752.6066400000036
445.3916400000001,776.5592399999994,688.2742799999987,719.7321599999998,445.43735999999916,445.39667999999966,742.4362800000014
444.18924000000044,769.1184,687.3364799999999,715.8038400000002,444.2345999999996,444.1921199999996,744.0620399999999
441.2019600000009,748.3939199999995,676.8457200000015,705.2590800000003,441.24372000000005,441.20124,731.2917599999998
438.15131999999977,738.3171599999977,670.3632000000006,687.7814400000005,438.1952399999997,438.14879999999977,716.9453999999976
436.23179999999957,735.4108800000004,664.0077600000004,679.9021200000009,436.27571999999964,436.22747999999876,706.8441599999989
434.65355999999974,738.4518000000016,667.3039200000013,679.2523199999986,434.6996400000006,434.6510399999994,708.7640399999997
