api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,0.0,0.0,0.0,42753.32125433622,0.0,0.0,0.0,0.0,0.0,6.515991485859226
0.0,0.0,0.0,0.0,41745.175552063294,0.0,0.0,0.0,0.0,0.0,6.703883307371403
0.0,0.0,0.0,0.0,40344.849650251235,0.0,0.0,0.0,0.0,0.0,7.66679131689516
0.0,0.0,0.0,0.0,39828.8488748565,0.0,0.0,0.0,0.0,0.0,7.492841153334358
0.0,0.0,0.0,0.0,39419.00794239693,0.0,0.0,0.0,0.0,0.0,8.394188125287373
0.0,0.0,0.0,0.0,39221.38742038719,0.0,0.0,0.0,0.0,0.0,7.925577790489288
0.0,0.0,0.0,0.0,38619.65694644234,0.0,0.0,0.0,0.0,0.0,8.005601348340514
0.0,0.0,0.0,0.0,38060.850789619035,0.0,0.0,0.0,0.0,0.0,8.304892989565426
0.0,0.0,0.0,0.0,37338.18993818872,0.0,0.0,0.0,0.0,0.0,10.672963370924183
0.0,0.0,0.0,0.0,36988.44988828066,0.0,0.0,0.0,0.0,0.0,10.37682465903542
0.0,0.0,0.0,0.0,36826.651716872235,0.0,0.0,0.0,0.0,0.0,12.664966434575046
0.0,0.0,0.0,0.0,36767.37044766107,0.0,0.0,0.0,0.0,0.0,13.073243806845863
0.0,0.0,0.0,0.0,36650.86620912081,0.0,0.0,0.0,0.0,0.0,11.330752746172214
0.0,0.0,0.0,0.0,36727.68175444353,0.0,0.0,0.0,0.0,0.0,11.710239296671478
0.0,0.0,0.0,0.0,37524.886532115444,0.0,0.0,0.0,0.0,0.0,12.40504587478962
0.0,0.0,0.0,0.0,38587.133450857764,0.0,0.0,0.0,0.0,0.0,11.613458119889376
0.0,0.0,0.0,0.0,40447.48779937889,0.0,0.0,0.0,0.0,0.0,12.837794525106357
0.0,0.0,0.0,0.0,41450.89550816281,0.0,0.0,0.0,0.0,0.0,12.697485300746772
0.0,0.0,0.0,0.0,42361.08545048448,0.0,0.0,0.0,0.0,0.0,11.406614150996512
0.0,0.0,0.0,0.0,42796.82632162627,0.0,0.0,0.0,0.0,0.0,11.354622984305852
0.0,0.0,0.0,0.0,43453.10791313368,0.0,0.0,0.0,0.0,0.0,9.667883752727192
0.0,0.0,0.0,0.0,44000.86292011639,0.0,0.0,0.0,0.0,0.0,9.515197768501203
0.0,0.0,0.0,0.0,44749.653063792866,0.0,0.0,0.0,0.0,0.0,10.704159808843048
0.0,0.0,0.0,0.0,45232.299809960285,0.0,0.0,0.0,0.0,0.0,9.807654111700845
0.0,0.0,0.0,0.0,44771.46789441239,0.0,0.0,0.0,0.0,0.0,8.496981997410822
