api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,0.0,0.0,0.0,1895.6677496545713,0.0,0.0,0.0,0.0,0.0,4.837042400362281
0.0,0.0,0.0,0.0,1325.0571619435468,0.0,0.0,0.0,0.0,0.0,5.900605690496948
0.0,0.0,0.0,0.0,1281.7202292391717,0.0,0.0,0.0,0.0,0.0,5.867586202624945
0.0,0.0,0.0,0.0,914.9617905404747,0.0,0.0,0.0,0.0,0.0,6.071732443069396
0.0,0.0,0.0,0.0,1015.907169411939,0.0,0.0,0.0,0.0,0.0,5.968181102192211
0.0,0.0,0.0,0.0,937.1569503879184,0.0,0.0,0.0,0.0,0.0,4.883360528996864
0.0,0.0,0.0,0.0,975.8903662612281,0.0,0.0,0.0,0.0,0.0,4.726650149444952
0.0,0.0,0.0,0.0,753.2466474585264,0.0,0.0,0.0,0.0,0.0,4.324642678866043
0.0,0.0,0.0,0.0,611.1514720222804,0.0,0.0,0.0,0.0,0.0,3.361489302546936
0.0,0.0,0.0,0.0,306.307156447051,0.0,0.0,0.0,0.0,0.0,3.2049304927372284
0.0,0.0,0.0,0.0,362.81573127041923,0.0,0.0,0.0,0.0,0.0,4.29145987956254
0.0,0.0,0.0,0.0,346.07579590014376,0.0,0.0,0.0,0.0,0.0,3.970069357344001
0.0,0.0,0.0,0.0,408.02241816233857,0.0,0.0,0.0,0.0,0.0,1.9715791896302328
0.0,0.0,0.0,0.0,544.312886232756,0.0,0.0,0.0,0.0,0.0,2.367482352246127
0.0,0.0,0.0,0.0,643.4675660784171,0.0,0.0,0.0,0.0,0.0,2.445174355551355
0.0,0.0,0.0,0.0,1180.3047077475692,0.0,0.0,0.0,0.0,0.0,2.6928123710521192
0.0,0.0,0.0,0.0,796.2047916591921,0.0,0.0,0.0,0.0,0.0,4.111671844758792
0.0,0.0,0.0,0.0,878.3861169452019,0.0,0.0,0.0,0.0,0.0,4.825616742495448
0.0,0.0,0.0,0.0,334.8811758663957,0.0,0.0,0.0,0.0,0.0,3.6343735880042582
0.0,0.0,0.0,0.0,599.8192966637885,0.0,0.0,0.0,0.0,0.0,3.766161756094404
0.0,0.0,0.0,0.0,519.9808636331568,0.0,0.0,0.0,0.0,0.0,3.2606399857161024
0.0,0.0,0.0,0.0,843.1700063386853,0.0,0.0,0.0,0.0,0.0,2.4493362951568636
0.0,0.0,0.0,0.0,872.8655850282382,0.0,0.0,0.0,0.0,0.0,2.5865654450724502
0.0,0.0,0.0,0.0,1085.0558591110475,0.0,0.0,0.0,0.0,0.0,3.8625741965136506
0.0,0.0,0.0,0.0,1340.1403295422379,0.0,0.0,0.0,0.0,0.0,2.912849926184854
